RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF BIRDIE OR BETTER,ATTEMPTS,RTP-SUCCESSES,RTP-NOT GOING FOR THE GRN
1,0,20157,Retief Goosen,72.46,50,69,-51,+10.00
2,0,06527,Steve Stricker,69.15,65,94,-69,-30.00
3,0,22378,Trevor Immelman,68.57,72,105,-76,+3.00
4,0,06567,Vijay Singh,67.91,91,134,-94,-3.00
5,0,19846,Brian Gay,67.80,40,59,-41,-43.00
6,0,24502,Adam Scott,67.59,73,108,-78,+2.00
7,0,23983,Luke Donald,67.47,56,83,-58,-25.00
8,0,22405,Justin Rose,66.67,92,138,-96,-5.00
9,0,25900,Lucas Glover,66.10,78,118,-87,-15.00
9,0,27649,Brandt Snedeker,66.10,78,118,-85,-11.00
11,0,23638,Brendon de Jonge,65.79,100,152,-105,-12.00
12,0,35087,Bio Kim,65.77,73,111,-76,+8.00
13,0,21949,Joe Ogilvie,65.35,66,101,-71,+8.00
14,0,08075,Jerry Kelly,65.17,58,89,-63,-17.00
15,0,01810,Phil Mickelson,65.10,97,149,-102,E
16,0,24925,Jonathan Byrd,64.78,103,159,-109,-11.00
17,0,29221,Webb Simpson,64.48,118,183,-129,-22.00
18,0,33911,Nate Smith,64.41,38,59,-42,-6.00
19,0,20127,Chris Riley,63.95,55,86,-58,-13.00
20,0,24663,Y.E. Yang,63.75,51,80,-52,+2.00
21,0,24490,George McNeill,63.48,73,115,-78,+6.00
22,0,26881,Jarrod Lyle,63.41,78,123,-84,-3.00
23,0,29910,Blake Adams,63.37,109,172,-113,-22.00
24,0,22348,Nick O'Hern,63.33,57,90,-61,-39.00
25,0,30925,Dustin Johnson,63.23,98,155,-105,+11.00
26,0,25562,Andres Romero,63.06,99,157,-106,+11.00
27,0,22293,Heath Slocum,63.00,63,100,-67,-11.00
28,0,29518,Brendan Steele,62.91,95,151,-102,-13.00
29,0,25686,Jason Dufner,62.75,64,102,-67,-18.00
29,0,24024,Zach Johnson,62.75,64,102,-69,-35.00
29,0,27095,Nick Watney,62.75,96,153,-104,-4.00
32,0,12716,Charley Hoffman,62.56,132,211,-139,+14.00
