RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
1,0,25804,Bubba Watson,75.11,169,56,-121,+2
2,0,24358,Robert Garrigus,73.18,191,70,-107,+3
3,0,11123,Chris Couch,71.24,166,67,-102,-4
4,0,26289,Boo Weekley,71.14,143,58,-76,+4
5,0,27064,Jhonattan Vegas,70.90,173,71,-101,+5
6,0,21209,Sergio Garcia,70.21,99,42,-62,+4
7,0,31323,Gary Woodland,70.04,166,71,-106,+24
8,0,12716,Charley Hoffman,69.23,198,88,-126,+14
9,0,30925,Dustin Johnson,68.21,133,62,-94,+11
10,0,20848,Ángel Cabrera,68.00,85,40,-49,-4
11,0,27095,Nick Watney,66.99,140,69,-91,-4
12,0,22371,Aaron Baddeley,66.51,139,70,-91,-6
13,0,24502,Adam Scott,66.44,97,49,-71,+2
14,0,27141,J.B. Holmes,66.32,126,64,-76,-8
15,0,25274,Steven Bowditch,66.17,178,91,-109,-5
16,0,25818,Scott Piercy,66.06,146,75,-77,+2
17,0,24924,Bill Haas,65.87,166,86,-98,-7
18,0,23623,Bo Van Pelt,65.27,156,83,-92,-11
19,0,23497,Tag Ridings,65.10,166,89,-86,+9
20,0,01810,Phil Mickelson,64.93,137,74,-99,E
21,0,23788,D.J. Trahan,64.39,179,99,-104,+4
22,0,28475,Jeff Overton,63.86,159,90,-83,-5
23,0,30110,Kyle Stanley,63.47,172,99,-114,-5
24,0,27936,Martin Laird,63.32,145,84,-90,-3
25,0,29221,Webb Simpson,62.59,174,104,-126,-22
26,0,28089,Jason Day,61.73,121,75,-83,+3
27,0,25562,Andres Romero,61.54,144,90,-99,+11
28,0,27330,Josh Teater,60.77,189,122,-129,+1
29,0,08725,Tom Gillis,60.69,88,57,-38,-2
30,0,20572,Rod Pampling,60.53,115,75,-64,-2
31,0,23320,Ryan Palmer,60.44,136,89,-76,+1
32,0,20645,John Senden,60.34,175,115,-99,+2
33,0,26596,Ryan Moore,60.19,130,86,-59,-8
34,0,34255,Joseph Bramlett,59.91,130,87,-63,+2
35,0,34072,Will Strickler,59.86,88,59,-52,+9
36,0,24925,Jonathan Byrd,59.84,149,100,-104,-11
37,0,10885,Robert Allenby,59.49,141,96,-64,-10
38,0,32366,Kevin Chappell,59.05,124,86,-72,+9
39,0,10585,Scott McCarron,58.89,106,74,-54,+5
40,0,26331,Charl Schwartzel,58.62,85,60,-45,+3
41,0,32698,Bobby Gates,58.61,143,101,-79,+5
42,0,33419,Cameron Tringale,58.36,192,137,-102,-5
43,0,23409,James Driscoll,57.80,126,92,-71,+4
44,0,27120,Troy Matteson,57.73,168,123,-80,+4
45,0,26679,Kevin Stadler,57.31,149,111,-67,+2
46,0,24781,Hunter Mahan,57.30,157,117,-98,-23
47,0,24490,George McNeill,57.07,109,82,-75,+6
48,0,27974,Sung Kang,57.06,101,76,-53,-7
49,0,19970,Robert Karlsson,57.05,85,64,-56,-4
50,0,33141,Keegan Bradley,57.03,146,110,-82,+1
51,0,26851,Marc Leishman,56.93,156,118,-94,+9
52,0,22405,Justin Rose,56.83,129,98,-88,-5
53,0,29718,Anthony Kim,56.78,113,86,-68,-1
54,0,22913,John Rollins,56.76,147,112,-88,-1
55,0,23621,Rory Sabbatini,55.98,117,92,-74,-10
56,0,20070,Matt Bettencourt,55.97,150,118,-81,+12
57,0,30750,Tommy Gainey,55.81,173,137,-83,-1
58,0,23353,J.J. Henry,55.71,161,128,-79,-7
59,0,31401,Zack Miller,55.68,147,117,-87,+22
60,0,26300,Matt Jones,55.51,136,109,-76,-4
61,0,27797,Derek Lamely,55.45,122,98,-71,+12
62,0,27214,Kevin Streelman,55.42,138,111,-77,-14
