RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,# HOLES,RELATIVE/PAR
1,0,26289,Boo Weekley,71.68,800,1116,-0.23
2,0,22293,Heath Slocum,71.40,1131,1584,-0.23
3,0,06621,Joe Durant,71.26,885,1242,-0.18
4,0,12510,Chad Campbell,71.13,1242,1746,-0.22
5,0,20645,John Senden,70.86,1199,1692,-0.26
6,0,02206,David Toms,70.20,935,1332,-0.27
7,0,06522,Ernie Els,69.89,868,1242,-0.22
8,0,29221,Webb Simpson,69.84,1232,1764,-0.32
9,0,25804,Bubba Watson,69.83,993,1422,-0.29
10,0,22405,Justin Rose,69.48,963,1386,-0.26
11,0,24924,Bill Haas,69.44,1150,1656,-0.27
12,0,31323,Gary Woodland,69.41,1162,1674,-0.28
13,0,23548,Bill Lunde,69.38,1099,1584,-0.25
14,0,06573,Brandt Jobe,69.16,1195,1728,-0.26
15,0,20498,Briny Baird,69.14,672,972,-0.24
16,0,22913,John Rollins,69.08,1032,1494,-0.26
17,0,23788,D.J. Trahan,68.99,1130,1638,-0.23
18,0,23353,J.J. Henry,68.96,1142,1656,-0.24
19,0,21961,Charles Howell III,68.91,1290,1872,-0.25
20,0,28087,Kris Blanks,68.89,1116,1620,-0.24
21,0,26758,David Hearn,68.82,991,1440,-0.23
22,0,24781,Hunter Mahan,68.79,1102,1602,-0.29
23,0,01766,Billy Mayfair,68.77,1114,1620,-0.24
24,0,27933,John Merrick,68.69,779,1134,-0.25
25,0,31202,William McGirt,68.63,1223,1782,-0.23
26,0,26476,Chez Reavie,68.60,1136,1656,-0.26
27,0,30925,Dustin Johnson,68.39,874,1278,-0.30
28,0,01706,Davis Love III,68.25,860,1260,-0.25
29,0,25457,Alexandre Rocha,68.23,700,1026,-0.19
30,0,30110,Kyle Stanley,68.21,1105,1620,-0.28
31,0,22378,Trevor Immelman,68.12,1030,1512,-0.24
32,0,24502,Adam Scott,68.08,723,1062,-0.28
33,0,26679,Kevin Stadler,68.06,980,1440,-0.26
34,0,23623,Bo Van Pelt,68.02,1102,1620,-0.26
35,0,27466,Spencer Levin,67.99,1334,1962,-0.26
36,0,31557,Jim Herman,67.94,746,1098,-0.21
37,0,01116,Michael Bradley,67.62,852,1260,-0.25
38,0,10809,Jim Furyk,67.57,1046,1548,-0.24
39,0,10885,Robert Allenby,67.54,1009,1494,-0.24
40,0,21753,Brian Davis,67.35,1273,1890,-0.27
41,0,23983,Luke Donald,67.33,812,1206,-0.33
42,0,24507,Jason Bohn,67.30,848,1260,-0.26
42,0,33419,Cameron Tringale,67.30,1284,1908,-0.25
44,0,27064,Jhonattan Vegas,67.22,968,1440,-0.25
45,0,26951,Johnson Wagner,67.17,931,1386,-0.22
46,0,28620,Aron Price,67.09,628,936,-0.25
47,0,29420,Billy Horschel,67.07,833,1242,-0.24
48,0,30750,Tommy Gainey,67.00,1206,1800,-0.27
48,0,27963,Chris Stroud,67.00,1013,1512,-0.25
50,0,23108,Matt Kuchar,66.98,1061,1584,-0.30
51,0,01810,Phil Mickelson,66.96,928,1386,-0.28
52,0,25686,Jason Dufner,66.95,940,1404,-0.26
53,0,27330,Josh Teater,66.89,1180,1764,-0.27
