RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
157,0,02239,Scott Verplank,45' 2",1220.167,27,+10
158,0,28089,Jason Day,45' 3",3124.333,69,+14
159,0,27933,John Merrick,45' 4",3221.333,71,+19
160,0,31560,Brian Stuard,45' 7",3009.000,66,+17
161,0,24357,K.J. Choi,45' 8",2144.500,47,+11
161,0,24781,Hunter Mahan,45' 8",2422.500,53,+12
161,0,23349,Charles Warren,45' 8",1872.750,41,+17
164,0,25345,Carl Pettersson,45' 10",3576.500,78,+12
165,0,29910,Blake Adams,46' 1",2210.083,48,+9
165,0,06621,Joe Durant,46' 1",1383.250,30,+6
165,0,20105,Jeff Gove,46' 1",1889.917,41,+14
168,0,23718,Nathan Green,46' 3",2869.667,62,+12
168,0,32617,Jerod Turner,46' 3",1109.333,24,+4
170,0,27936,Martin Laird,46' 6",3254.667,70,+13
170,0,26882,Michael Sim,46' 6",1767.250,38,E
172,0,30925,Dustin Johnson,46' 11",3096.750,66,+12
173,0,26881,Jarrod Lyle,47' 0",1787.500,38,+4
173,0,23800,Bryce Molder,47' 0",3244.750,69,+5
175,0,10885,Robert Allenby,47' 5",2085.250,44,+11
176,0,25720,Chad Collins,47' 6",1947.667,41,+6
176,0,08075,Jerry Kelly,47' 6",2849.417,60,+19
178,0,20691,Greg Owen,47' 8",2288.750,48,+21
179,0,20160,Charlie Wi,47' 9",3393.000,71,+10
180,0,08375,Paul Stankowski,47' 11",2204.583,46,+11
181,0,12782,Tim Herron,48' 3",3187.000,66,+11
182,0,01619,Skip Kendall,48' 5",1015.917,21,+2
182,0,06012,Greg Kraft,48' 5",1596.917,33,+12
184,0,26695,Michael Letzig,48' 6",3201.250,66,+19
185,0,06643,Paul Goydos,48' 8",1606.583,33,+13
186,0,01249,John Daly,48' 9",1705.250,35,+12
186,0,27060,John Mallinger,48' 9",1950.333,40,+15
188,0,06004,Stephen Ames,48' 11",2447.333,50,+11
189,0,06595,Kevin Sutherland,49' 1",3237.750,66,+7
190,0,32640,Troy Merritt,49' 5",3164.000,64,+19
191,0,09011,David Duval,50' 0",2600.083,52,+10
192,0,06514,Kevin Johnson,50' 7",2021.750,40,+17
