RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,# OF BIRDIES,TOTAL ROUNDS
1,8,01226,Fred Couples,4.18,343,82
1,8,01553,John Huston,4.18,405,97
3,11,01098,Jay Don Blake,4.00,400,100
4,21,01958,Dan Pohl,3.99,271,68
5,21,01706,Davis Love III,3.95,391,99
6,21,02049,Gene Sauers,3.92,325,83
7,22,02131,Mike Springer,3.89,350,90
8,22,01527,Scott Hoch,3.88,446,115
9,24,01723,Andrew Magee,3.86,355,92
10,24,01928,Corey Pavin,3.85,381,99
10,24,02104,Jeff Sluman,3.85,420,109
12,24,02133,Craig Stadler,3.84,269,70
13,24,01876,Greg Norman,3.83,241,63
13,24,02170,Hal Sutton,3.83,387,101
15,25,01161,Mark Calcavecchia,3.82,298,78
15,25,01926,Steve Pate,3.82,367,96
15,25,01968,Nick Price,3.82,317,83
18,25,01724,Jeff Maggert,3.81,343,90
18,25,01887,Mark O'Meara,3.81,309,81
20,25,01042,Paul Azinger,3.79,288,76
21,25,01639,Kenny Knox,3.78,438,116
22,26,01203,Russ Cochran,3.77,373,99
22,26,01388,Robert Gamez,3.77,298,79
22,26,01468,Gary Hallberg,3.77,324,86
25,26,01690,Bruce Lietzke,3.76,267,71
25,26,02146,Payne Stewart,3.76,267,71
27,26,01249,John Daly,3.75,394,105
27,26,01599,Steve Jones,3.75,341,91
29,32,02242,Lanny Wadkins,3.73,321,86
29,32,02256,Tom Watson,3.73,190,51
29,32,02321,Fuzzy Zoeller,3.73,209,56
32,32,01938,David Peoples,3.72,361,97
33,32,06034,Marco Dawson,3.70,303,82
33,32,01715,Mark Lye,3.70,337,91
35,33,01361,Dan Forsman,3.69,325,88
35,33,01577,Lee Janzen,3.69,402,109
37,33,01049,Ian Baker-Finch,3.68,276,75
37,33,01093,Ronnie Black,3.68,280,76
39,33,01072,Chip Beck,3.67,341,93
39,33,01771,Blaine McCallister,3.67,360,98
39,33,02303,Robert Wrenn,3.67,327,89
42,37,02099,Scott Simpson,3.66,238,65
43,37,06284,Jim Hallet,3.65,391,107
43,37,02033,Dave Rummells,3.65,372,102
45,39,01329,Brad Faxon,3.62,355,98
45,39,01355,Raymond Floyd,3.62,217,60
45,39,01444,Ken Green,3.62,337,93
48,39,01633,Tom Kite,3.61,321,89
48,39,06332,Neal Lancaster,3.61,397,110
48,39,02246,Duffy Waldorf,3.61,347,96
51,39,01457,Jay Haas,3.60,335,93
51,39,02067,Ted Schulz,3.60,356,99
53,40,02267,D.A. Weibring,3.59,305,85
54,40,01024,Billy Andrade,3.58,354,99
54,40,01219,John Cook,3.58,329,92
54,40,01306,David Edwards,3.58,347,97
54,40,01390,Buddy Gardner,3.58,379,106
58,40,01200,Keith Clearwater,3.57,371,104
58,40,01385,Jim Gallagher Jr.,3.57,400,112
60,41,01701,Bob Lohr,3.56,288,81
61,41,01096,Phil Blackmar,3.55,291,82
61,41,01261,Jay Delsing,3.55,334,94
61,41,01381,Fred Funk,3.55,344,97
64,41,02101,Joey Sindelar,3.54,333,94
65,43,01323,Brad Fabel,3.52,327,93
65,43,01797,Rocco Mediate,3.52,296,84
67,68,01414,Bob Gilder,3.49,272,78
67,68,01823,Larry Mize,3.49,318,91
69,68,01549,Mike Hulbert,3.48,383,110
69,68,02007,Larry Rinker,3.48,282,81
69,68,02010,Loren Roberts,3.48,372,107
72,68,01559,Hale Irwin,3.47,208,60
73,68,02100,Tim Simpson,3.46,287,83
73,68,02214,Kirk Triplett,3.46,318,92
75,68,01846,Jodie Mudd,3.45,207,60
75,68,06072,Greg Whisman,3.45,290,84
77,68,01068,Andy Bean,3.44,251,73
77,68,01129,Bill Britton,3.44,330,96
77,68,01132,Mark Brooks,3.44,372,108
77,68,01313,Steve Elkington,3.44,313,91
77,68,01510,Nolan Henke,3.44,327,95
77,68,01569,Peter Jacobsen,3.44,248,72
77,68,02255,Denis Watson,3.44,196,57
84,68,06044,Scott Gump,3.43,316,92
