RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,WGC POINTS
1,0,22792,Peter Hanson,602,236
2,0,30852,Ryo Ishikawa,431,66
3,0,23452,Nicolas Colsaerts,345,79
4,0,21099,David Lynn,330,0
5,0,27408,Martin Kaymer,293,157
6,0,25198,Francesco Molinari,270,137
7,0,19958,Miguel Angel Jiménez,218,92
8,0,19904,Paul Lawrie,198,96
9,0,10944,Thomas Bjørn,184,98
10,0,35539,Luke Guthrie,181,0
11,0,34360,Patrick Reed,154,0
12,0,25369,Jamie Donaldson,153,34
13,0,35541,John Peterson,142,0
14,0,24512,Simon Dyson,141,78
15,0,24461,Thomas Aiken,138,0
16,0,20859,Anders Hansen,132,86
17,0,28258,K.T. Kim,126,87
18,0,29974,Branden Grace,125,66
19,0,33968,Thorbjørn Olesen,110,0
20,0,35450,Patrick Cantlay,93,0
21,0,26539,Robert Rock,93,93
22,0,27072,Alvaro Quiros,93,64
23,0,25191,Gonzalo Fernandez-Castaño,84,52
24,0,25321,Lee Slattery,77,72
25,0,34261,Scott Langley,77,0
25,0,28300,Joost Luiten,77,7
27,0,27349,Alex Noren,75,2
28,0,26497,Casey Wittenberg,73,0
29,0,33199,Matteo Manassero,70,47
30,0,26499,Rafa Cabrera Bello,68,68
31,0,19825,Darren Clarke,65,50
32,0,36690,Hunter Hamrick,58,0
33,0,28135,Aaron Watkins,56,0
34,0,31557,Jim Herman,56,0
35,0,32622,Matthew Baldwin,54,0
36,0,20771,Steven Alker,51,0
37,0,29419,Tadd Fujikawa,51,0
38,0,29720,Andres Gonzales,50,0
39,0,24083,Marcus Fraser,50,45
40,0,26500,Alejandro Cañizares,48,0
41,0,20832,Raphael Jacquelin,48,0
42,0,27896,Ross Fisher,45,0
43,0,29256,James Morrison,45,0
44,0,23481,Marcel Siem,43,10
45,0,25190,Jeff Quinney,42,0
46,0,31420,Anirban Lahiri,39,0
47,0,33461,Morgan Hoffmann,38,0
47,0,25336,Alistair Presnell,38,0
49,0,26444,Juvic Pagunsan,33,33
50,0,33418,Shawn Stefani,33,0
51,0,24459,Richard Sterne,30,0
52,0,34255,Joseph Bramlett,27,0
52,0,29670,Pablo Larrazabal,27,5
54,0,36684,Dustin Morris,26,0
55,0,29833,Yoshinori Fujimoto,25,10
56,0,27503,Steve LeBrun,23,0
57,0,34358,Jonathan Randolph,23,0
58,0,28937,George Coetzee,23,23
59,0,25539,Rafael Echenique,22,0
59,0,25444,Justin Hicks,22,0
59,0,33520,Randall Hutchison,22,0
59,0,24957,Simon Khan,22,0
63,0,22400,Hennie Otto,21,21
64,0,32139,Danny Willett,19,19
65,0,34554,Jung-gon Hwang,19,0
66,0,21284,Hiroyuki Fujita,18,0
66,0,28593,Jesse Mueller,18,0
66,0,28780,Nicholas Thompson,18,0
66,0,06078,Esteban Toledo,18,0
70,0,26595,Derek Tolan,17,0
71,0,22806,Doug LaBelle II,15,0
72,0,29253,Jeff Curl,14,0
73,0,29454,Bernd Wiesberger,14,14
74,0,30008,Jbe' Kruger,14,14
75,0,31646,Emiliano Grillo,13,0
76,0,23814,Edoardo Molinari,13,0
77,0,35879,Kelly Kraft,12,0
78,0,26808,Tadahiro Takayama,10,9
79,0,29342,Jae-bum Park,10,0
79,0,22295,Darron Stiles,10,0
79,0,33117,Dale Whitnell,10,0
82,0,27119,Koumei Oda,9,0
83,0,02002,John Riegger,7,0
84,0,32058,José de Jesús Rodríguez,7,0
85,0,25841,Marc Warren,6,0
86,0,20686,Jeev Milkha Singh,5,4
87,0,32868,Brandon Brown,5,0
88,0,27118,Toshinori Muto,4,4
89,0,20935,Toru Taniguchi,3,0
90,0,36982,Jake Sarnoff,2,0
91,0,20698,Adilson da Silva,1,0
92,0,23580,Tetsuji Hiratsuka,1,1
93,0,29223,Sam Saunders,1,0
94,0,20378,Mathias Grönberg,1,0
95,0,36884,Ben Kohles,1,0
96,0,23373,Michael Hoey,1,1
97,0,25936,Alex Aragon,1,0
98,0,23725,Brendan Jones,1,0
98,0,35104,Tom Lewis,1,1
100,0,31678,Oliver Bekker,1,1
101,0,33451,Matt Hill,1,0
102,0,36670,Jonathan Fly,1,0
103,0,19929,Warren Bennett,1,0
103,0,24511,Thongchai Jaidee,1,0
105,0,34359,Diego Velásquez,1,0
106,0,35621,Scott Smith,1,0
