RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,08793,Tiger Woods,2269,3,6,0
2,0,25686,Jason Dufner,2110,2,8,159
3,0,28237,Rory McIlroy,2092,2,7,177
4,0,24024,Zach Johnson,2019,2,6,250
5,0,25804,Bubba Watson,1777,1,5,492
6,0,24781,Hunter Mahan,1739,2,4,530
7,0,25345,Carl Pettersson,1691,1,6,578
8,0,33141,Keegan Bradley,1670,1,5,599
9,0,23108,Matt Kuchar,1600,1,8,669
10,0,06527,Steve Stricker,1456,1,7,813
11,0,06522,Ernie Els,1447,1,5,822
12,0,22405,Justin Rose,1426,1,7,843
13,0,29221,Webb Simpson,1424,1,6,845
14,0,01810,Phil Mickelson,1373,1,5,896
15,0,25818,Scott Piercy,1304,1,3,965
16,0,23983,Luke Donald,1294,1,6,975
17,0,10809,Jim Furyk,1284,0,5,985
18,0,32102,Rickie Fowler,1246,1,5,1023
19,0,27649,Brandt Snedeker,1194,1,4,1075
20,0,26951,Johnson Wagner,1181,1,4,1088
21,0,24924,Bill Haas,1181,1,3,1088
22,0,30110,Kyle Stanley,1177,1,2,1092
23,0,23623,Bo Van Pelt,1175,0,8,1094
24,0,24358,Robert Garrigus,1155,0,5,1114
25,0,34174,John Huh,1123,1,4,1146
26,0,30925,Dustin Johnson,1097,1,5,1172
27,0,25572,Graeme McDowell,1037,0,4,1232
28,0,26851,Marc Leishman,1003,1,2,1266
29,0,22621,Ben Curtis,997,1,3,1272
30,0,21878,Mark Wilson,986,1,2,1283
31,0,27936,Martin Laird,976,0,3,1293
32,0,24502,Adam Scott,966,0,3,1303
33,0,21209,Sergio Garcia,935,1,2,1334
34,0,26329,Louis Oosthuizen,928,0,3,1341
35,0,34021,Bud Cauley,902,0,5,1367
36,0,20160,Charlie Wi,901,0,3,1368
37,0,20645,John Senden,867,0,5,1402
38,0,25396,Kevin Na,866,0,6,1403
39,0,23541,Ben Crane,849,0,4,1420
40,0,29289,S.Y. Noh,827,0,3,1442
41,0,23638,Brendon de Jonge,815,0,2,1454
42,0,20104,Ken Duke,776,0,6,1493
43,0,25632,Jimmy Walker,763,0,4,1506
44,0,23320,Ryan Palmer,745,0,4,1524
45,0,27466,Spencer Levin,735,0,3,1534
46,0,22913,John Rollins,732,0,5,1537
47,0,24925,Jonathan Byrd,732,0,5,1537
48,0,21753,Brian Davis,728,0,4,1541
49,0,27095,Nick Watney,726,0,3,1543
50,0,25240,D.A. Points,714,0,3,1555
51,0,20396,Lee Westwood,713,0,5,1556
52,0,23353,J.J. Henry,713,1,3,1556
53,0,28307,Matt Every,711,0,5,1558
54,0,23135,Tim Clark,707,0,2,1562
55,0,24138,Ian Poulter,698,0,4,1571
56,0,33419,Cameron Tringale,689,0,4,1580
57,0,06567,Vijay Singh,669,0,3,1600
58,0,28475,Jeff Overton,667,0,2,1602
59,0,21961,Charles Howell III,666,0,1,1603
60,0,27120,Troy Matteson,662,0,3,1607
61,0,27556,Ted Potter Jr.,647,1,1,1622
62,0,20766,Padraig Harrington,646,0,3,1623
63,0,24140,Sean O'Hair,644,0,2,1625
64,0,26596,Ryan Moore,635,0,4,1634
65,0,22371,Aaron Baddeley,635,0,3,1634
66,0,32150,Michael Thompson,634,0,2,1635
67,0,12716,Charley Hoffman,628,0,2,1641
68,0,22046,Geoff Ogilvy,624,0,1,1645
69,0,02206,David Toms,623,0,4,1646
70,0,26679,Kevin Stadler,620,0,3,1649
71,0,28259,Sangmoon Bae,604,0,2,1665
72,0,24361,Pat Perez,603,0,1,1666
73,0,23621,Rory Sabbatini,602,0,2,1667
74,0,31202,William McGirt,602,0,2,1667
75,0,29910,Blake Adams,599,0,2,1670
76,0,24490,George McNeill,599,1,1,1670
77,0,24357,K.J. Choi,597,0,2,1672
78,0,20593,Greg Chalmers,589,0,1680
79,0,10213,Dicky Pride,586,0,3,1683
80,0,30926,Chris Kirk,574,0,4,1695
81,0,27933,John Merrick,572,0,2,1697
82,0,27141,J.B. Holmes,568,0,2,1701
83,0,25834,Daniel Summerhays,567,0,4,1702
84,0,20691,Greg Owen,556,0,2,1713
85,0,28500,Martin Flores,556,0,2,1713
86,0,30692,Scott Stallings,554,1,2,1715
87,0,34099,Harris English,549,0,3,1720
88,0,27060,John Mallinger,543,0,2,1726
89,0,28455,Will Claxton,530,0,2,1739
90,0,26331,Charl Schwartzel,519,0,2,1750
91,0,12510,Chad Campbell,517,0,2,1752
92,0,08725,Tom Gillis,511,0,1,1758
93,0,25562,Andres Romero,506,0,2,1763
94,0,27330,Josh Teater,506,0,3,1763
95,0,21731,Freddie Jacobson,500,0,1,1769
96,0,23800,Bryce Molder,495,0,1,1774
97,0,27644,Brian Harman,493,0,1776
98,0,24846,Ricky Barnes,489,0,1,1780
99,0,27963,Chris Stroud,484,0,2,1785
100,0,32200,Roberto Castro,477,0,1,1792
101,0,27895,Jonas Blixt,470,0,3,1799
102,0,30750,Tommy Gainey,464,0,1,1805
103,0,01320,Bob Estes,458,0,1,1811
104,0,32366,Kevin Chappell,447,0,1,1822
105,0,01706,Davis Love III,443,0,2,1826
106,0,27436,Graham DeLaet,441,0,2,1828
107,0,01724,Jeff Maggert,433,0,1,1836
108,0,26758,David Hearn,432,0,1,1837
109,0,27214,Kevin Streelman,424,0,3,1845
110,0,19846,Brian Gay,424,0,2,1845
111,0,23204,Gary Christian,422,0,1,1847
112,0,10885,Robert Allenby,417,0,2,1852
113,0,28089,Jason Day,417,0,3,1852
114,0,22378,Trevor Immelman,411,0,1858
115,0,23409,James Driscoll,408,0,2,1861
116,0,20572,Rod Pampling,398,0,1,1871
117,0,21528,Henrik Stenson,394,0,1,1875
118,0,28308,Troy Kelly,394,0,1,1875
119,0,01766,Billy Mayfair,393,0,1,1876
120,0,30711,Colt Knost,390,0,2,1879
121,0,21805,Harrison Frazar,387,0,2,1882
122,0,08075,Jerry Kelly,385,0,1884
123,0,26289,Boo Weekley,365,0,2,1904
124,0,22293,Heath Slocum,365,0,1904
125,0,24507,Jason Bohn,363,0,2,1906
126,0,27064,Jhonattan Vegas,361,0,2,1908
127,0,24663,Y.E. Yang,351,0,1918
128,0,12782,Tim Herron,339,0,1930
129,0,32698,Bobby Gates,338,0,1,1931
130,0,29518,Brendan Steele,334,0,3,1935
131,0,20157,Retief Goosen,330,0,2,1939
132,0,26476,Chez Reavie,327,0,1942
133,0,22961,David Mathis,322,0,1,1947
134,0,31323,Gary Woodland,321,0,1948
135,0,06251,Chris DiMarco,316,0,1,1953
136,0,23325,Vaughn Taylor,312,0,1957
137,0,24494,Erik Compton,311,0,1958
138,0,29476,Kyle Reifers,311,0,1958
139,0,20229,Stewart Cink,310,0,1959
140,0,01249,John Daly,298,0,1,1971
141,0,28087,Kris Blanks,297,0,1972
142,0,23548,Bill Lunde,294,0,1975
143,0,29420,Billy Horschel,289,0,1,1980
144,0,20098,Stuart Appleby,287,0,1982
145,0,31558,J.J. Killeen,286,0,1,1983
146,0,30927,Brendon Todd,281,0,1,1988
147,0,10860,Justin Leonard,277,0,2,1992
148,0,27770,Camilo Villegas,267,0,2002
149,0,35139,Richard Lee,262,0,2007
150,0,29222,Billy Hurley III,256,0,2,2013
151,0,24604,Hunter Haas,251,0,1,2018
152,0,22348,Nick O'Hern,250,0,1,2019
153,0,29478,Kevin Kisner,248,0,1,2021
154,0,23718,Nathan Green,245,0,1,2024
155,0,06573,Brandt Jobe,245,0,1,2024
156,0,23788,D.J. Trahan,243,0,1,2026
157,0,11123,Chris Couch,242,0,2027
158,0,19970,Robert Karlsson,239,0,2030
159,0,29926,Danny Lee,226,0,2043
160,0,32334,Charlie Beljan,222,0,1,2047
161,0,01577,Lee Janzen,219,0,1,2050
162,0,28093,Miguel Angel Carballo,213,0,2056
163,0,29479,Scott Brown,212,0,3,2057
164,0,33120,Mark Anderson,209,0,2060
165,0,06621,Joe Durant,205,0,1,2064
166,0,26881,Jarrod Lyle,199,0,1,2070
167,0,01797,Rocco Mediate,195,0,2074
168,0,26287,Roland Thatcher,188,0,1,2081
169,0,20623,Gavin Coles,184,0,2085
170,0,25457,Alexandre Rocha,183,0,1,2086
171,0,21407,Arjun Atwal,181,0,2088
172,0,20848,Ángel Cabrera,177,0,2092
173,0,20070,Matt Bettencourt,177,0,1,2092
174,0,27302,Garth Mulroy,173,0,2096
175,0,01116,Michael Bradley,173,0,2096
176,0,02246,Duffy Waldorf,168,0,2101
177,0,20472,Alex Cejka,166,0,2103
178,0,30944,Jason Kokrak,165,0,1,2104
