RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,23063,Scott Hend,66.25,2725603,411432
2,0,08793,Tiger Woods,65.71,2334197,355236
3,0,01249,John Daly,65.64,2368895,360881
4,0,23322,Brett Wetterich,65.60,2811076,428487
5,0,24980,Scott Gutschewski,64.75,2950459,455654
6,0,06567,Vijay Singh,64.70,3627278,560625
7,0,21209,Sergio Garcia,64.63,2154070,333272
8,0,23552,Hank Kuehne,64.58,3061623,474055
9,0,20663,Brenden Pappas,64.54,2020564,313084
10,0,20378,Mathias Grönberg,64.19,2270764,353765
11,0,01945,Kenny Perry,64.17,2419308,377025
12,0,23725,Brendan Jones,64.15,2957428,461052
13,0,06599,John Elliott,64.03,2077708,324487
13,0,25900,Lucas Glover,64.03,3205805,500639
15,0,21805,Harrison Frazar,63.77,3778233,592454
16,0,20098,Stuart Appleby,63.76,2569800,403055
17,0,01810,Phil Mickelson,63.72,2034797,319343
18,0,26679,Kevin Stadler,63.70,3337236,523871
19,0,02106,Chris Smith,63.69,3452504,542104
20,0,23497,Tag Ridings,63.63,3380153,531198
21,0,01706,Davis Love III,63.60,2273147,357428
22,0,23349,Charles Warren,63.53,3245542,510835
23,0,20572,Rod Pampling,63.52,2809136,442219
24,0,20396,Lee Westwood,63.48,1319235,207829
25,0,24912,Will MacKenzie,63.41,2745918,433035
26,0,23320,Ryan Palmer,63.40,3249674,512527
27,0,01226,Fred Couples,63.35,1759580,277748
28,0,23540,Jason Allred,63.32,2542853,401598
29,0,23788,D.J. Trahan,63.25,2832951,447873
30,0,22913,John Rollins,63.20,3301771,522431
31,0,24140,Sean O'Hair,63.18,3451957,546352
31,0,24502,Adam Scott,63.18,2105672,333302
33,0,24925,Jonathan Byrd,63.15,3761537,595687
34,0,06573,Brandt Jobe,63.14,3278953,519313
35,0,20157,Retief Goosen,63.13,1738193,275343
36,0,23621,Rory Sabbatini,63.11,2414271,382545
37,0,27095,Nick Watney,63.09,3183802,504644
38,0,26758,David Hearn,63.06,2446799,388030
39,0,01927,Dennis Paulson,63.03,2271389,360338
40,0,20850,Daniel Chopra,63.02,3690356,585589
41,0,21633,Steve Allan,63.01,3519894,558584
42,0,24781,Hunter Mahan,62.92,3694808,587207
43,0,20433,Mark Hensby,62.90,1990501,316469
44,0,20502,Michael Long,62.89,2553969,406115
45,0,21959,Ted Purdy,62.75,3997023,636949
46,0,10885,Robert Allenby,62.73,2898261,462024
47,0,26287,Roland Thatcher,62.71,2697105,430080
48,0,06034,Marco Dawson,62.66,3112010,496621
48,0,23353,J.J. Henry,62.66,3436859,548536
50,0,24024,Zach Johnson,62.61,3316926,529812
51,0,20094,Jonathan Kaye,62.58,2560223,409087
52,0,10117,Bob Heintz,62.57,2474180,395414
53,0,06332,Neal Lancaster,62.56,3399896,543484
54,0,21961,Charles Howell III,62.54,2886657,461577
55,0,01553,John Huston,62.49,3127412,500491
56,0,23409,James Driscoll,62.46,2483357,397598
57,0,21407,Arjun Atwal,62.44,2422956,388057
57,0,22046,Geoff Ogilvy,62.44,2961700,474291
59,0,19824,Craig Barlow,62.42,2518189,403429
60,0,01361,Dan Forsman,62.33,1842212,295570
61,0,24507,Jason Bohn,62.27,3207872,515157
62,0,24361,Pat Perez,62.26,2886346,463560
63,0,22405,Justin Rose,62.24,3489266,560624
64,0,23541,Ben Crane,62.19,2535128,407654
64,0,12782,Tim Herron,62.19,3056485,491438
64,0,20691,Greg Owen,62.19,2793902,449271
64,0,23623,Bo Van Pelt,62.19,3673075,590654
68,0,12823,Carlos Franco,62.17,2663497,428408
69,0,07867,Woody Austin,62.16,3569703,574231
69,0,11032,Frank Lickliter II,62.16,3387290,544908
71,0,07749,Brett Quigley,62.14,3338882,537288
72,0,20645,John Senden,62.11,3549359,571442
73,0,01723,Andrew Magee,62.06,2771215,446518
74,0,01707,Steve Lowery,62.05,3410010,549593
75,0,23325,Vaughn Taylor,62.03,3529565,568965
76,0,21350,Ryuji Imada,62.01,2635798,425053
77,0,24227,Justin Bolli,61.99,2321868,374533
78,0,01685,J.L. Lewis,61.98,3197593,515933
79,0,12660,Jesper Parnevik,61.97,2650241,427673
79,0,21951,Joey Snyder III,61.97,3596568,580337
81,0,02206,David Toms,61.96,2512791,405534
82,0,10962,Bradley Hughes,61.92,1921484,310312
83,0,24290,D.J. Brigman,61.88,2425449,391962
83,0,25240,D.A. Points,61.88,3228077,521681
85,0,06197,Michael Allen,61.86,3023682,488796
85,0,20498,Briny Baird,61.86,3481136,562716
85,0,20766,Padraig Harrington,61.86,1595305,257872
88,0,01161,Mark Calcavecchia,61.84,2975583,481186
88,0,01797,Rocco Mediate,61.84,2547963,412049
90,0,12510,Chad Campbell,61.81,2961518,479130
91,0,08931,Glen Day,61.80,2869676,464347
92,0,21949,Joe Ogilvie,61.77,3063938,496034
92,0,25345,Carl Pettersson,61.77,3671880,594409
94,0,12454,Mario Tiziani,61.72,2357176,381930
95,0,07223,Brian Bateman,61.69,3324108,538848
96,0,01724,Jeff Maggert,61.68,2349606,380960
97,0,22548,Patrick Sheehan,61.66,3766363,610818
98,0,08123,Jeff Brehaut,61.65,2460207,399056
98,0,20634,Peter Lonard,61.65,2584547,419208
100,0,21731,Freddie Jacobson,61.63,2180974,353888
101,0,24357,K.J. Choi,61.60,2119987,344165
101,0,21498,Hideto Tanihara,61.60,1755752,285045
103,0,01941,Tom Pernice Jr.,61.57,3474710,564370
104,0,23614,Rich Beem,61.54,1885518,306397
105,0,10912,Craig Perks,61.53,2282101,370922
106,0,24604,Hunter Haas,61.51,2836737,461155
107,0,01948,Tim Petrovic,61.48,3096866,503693
108,0,01473,Todd Hamilton,61.44,2931863,477189
109,0,06621,Joe Durant,61.36,2674856,435937
109,0,02101,Joey Sindelar,61.36,3838708,625652
111,0,01142,Bart Bryant,61.35,2951352,481107
111,0,01766,Billy Mayfair,61.35,3957657,645075
113,0,20812,Tjaart van der Walt,61.33,2103773,343002
114,0,12680,Shigeki Maruyama,61.31,3320630,541644
115,0,23135,Tim Clark,61.30,2496301,407213
116,0,22295,Darron Stiles,61.28,2708428,441998
117,0,01035,Tommy Armour III,61.27,3552305,579762
117,0,28088,Matt Davidson,61.27,1937000,316130
117,0,06515,Shaun Micheel,61.27,2484631,405551
120,0,10860,Justin Leonard,61.26,2115163,345303
121,0,06373,José María Olazábal,61.24,1604659,262031
122,0,08725,Tom Gillis,61.23,2655064,433595
123,0,26420,Richard Johnson,61.22,1781846,291062
124,0,06595,Kevin Sutherland,61.20,2891426,472426
125,0,12645,Brent Geiberger,61.17,2009908,328554
126,0,06004,Stephen Ames,61.12,2374341,388448
126,0,20628,Arron Oberholser,61.12,1963082,321206
128,0,01677,Tom Lehman,61.10,1945574,318426
129,0,22371,Aaron Baddeley,61.04,2924742,479132
129,0,01418,Bill Glasson,61.04,1711838,280424
131,0,10585,Scott McCarron,61.02,2369419,388312
132,0,01042,Paul Azinger,61.01,2264546,371181
132,0,06527,Steve Stricker,61.01,2287269,374893
134,0,01313,Steve Elkington,61.00,2116674,346979
135,0,20229,Stewart Cink,60.98,2753307,451494
136,0,07457,Steve Flesch,60.95,2460307,403627
136,0,20474,Phillip Price,60.95,2456353,403006
138,0,10733,Kent Jones,60.93,3408683,559449
139,0,22293,Heath Slocum,60.92,3476206,570638
140,0,12652,Cameron Beckman,60.90,3254710,534396
141,0,20472,Alex Cejka,60.89,2675285,439378
142,0,23983,Luke Donald,60.87,1553281,255177
143,0,01577,Lee Janzen,60.86,2278016,374295
144,0,02223,Bob Tway,60.85,2545454,418323
145,0,08537,J.P. Hayes,60.84,2040314,335357
146,0,20548,Hidemichi Tanaka,60.82,3645232,599394
147,0,08545,Glen Hnatiuk,60.79,1933176,318007
148,0,06575,Dudley Hart,60.78,2800885,460817
149,0,01666,Bernhard Langer,60.75,1741658,286710
150,0,10423,Mike Weir,60.74,1822531,300059
150,0,20160,Charlie Wi,60.74,2349150,386758
152,0,06251,Chris DiMarco,60.71,2285091,376404
152,0,10201,Matt Gogel,60.71,2598704,428036
154,0,08075,Jerry Kelly,60.70,2921426,481303
155,0,01024,Billy Andrade,60.68,2823520,465303
156,0,10809,Jim Furyk,60.64,2741616,452082
156,0,01388,Robert Gamez,60.64,3060573,504679
158,0,23108,Matt Kuchar,60.62,2114801,348883
