RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL FAIRWAY BUNKERS,POSSIBLE FWYS,RELATIVE TO PAR
1,0,01139,Olin Browne,2.5,24,969,+0.125
2,0,24024,Zach Johnson,2.8,28,994,+0.357
3,0,26695,Michael Letzig,3.0,31,1023,+0.290
4,0,02002,John Riegger,3.1,28,889,+0.286
5,0,12826,Paul Claxton,3.3,23,689,+0.261
6,0,01142,Bart Bryant,3.4,32,932,+0.313
7,0,08385,Omar Uresti,3.5,31,874,+0.355
7,0,02239,Scott Verplank,3.5,32,904,+0.438
7,0,21878,Mark Wilson,3.5,50,1446,+0.180
10,0,20623,Gavin Coles,3.6,22,610,+0.182
10,0,20105,Jeff Gove,3.6,22,609,+0.273
10,0,01928,Corey Pavin,3.6,28,774,+0.143
13,0,08931,Glen Day,3.7,29,776,+0.241
14,0,12602,Dean Wilson,3.8,49,1275,+0.265
15,0,25364,Paul Casey,3.9,19,492,+0.263
15,0,19846,Brian Gay,3.9,47,1198,+0.277
15,0,12716,Charley Hoffman,3.9,47,1190,+0.213
18,0,22913,John Rollins,4.0,44,1097,+0.159
19,0,10505,Shane Bertsch,4.1,51,1248,+0.373
19,0,26420,Richard Johnson,4.1,28,679,+0.321
19,0,26476,Chez Reavie,4.1,51,1242,+0.275
19,0,23497,Tag Ridings,4.1,45,1103,+0.289
23,0,06197,Michael Allen,4.2,45,1079,+0.267
23,0,06621,Joe Durant,4.2,46,1095,+0.261
23,0,01313,Steve Elkington,4.2,43,1013,+0.233
23,0,06643,Paul Goydos,4.2,39,934,+0.231
23,0,24781,Hunter Mahan,4.2,42,996,+0.167
23,0,06567,Vijay Singh,4.2,37,877,+0.189
29,0,10733,Kent Jones,4.3,33,762,+0.333
29,0,20634,Peter Lonard,4.3,48,1105,+0.271
29,0,01766,Billy Mayfair,4.3,57,1317,+0.123
29,0,20645,John Senden,4.3,48,1125,+0.146
29,0,22293,Heath Slocum,4.3,51,1199,+0.294
34,0,21209,Sergio Garcia,4.4,34,774,-0.118
34,0,01724,Jeff Maggert,4.4,48,1090,+0.271
34,0,22348,Nick O'Hern,4.4,43,986,+0.302
34,0,24502,Adam Scott,4.4,21,481,+0.333
34,0,25349,Tim Wilkinson,4.4,49,1111,+0.204
39,0,19803,Ryan Armour,4.5,47,1046,+0.553
39,0,20104,Ken Duke,4.5,66,1452,+0.303
39,0,01320,Bob Estes,4.5,54,1187,+0.148
39,0,20574,Mathew Goggin,4.5,51,1132,+0.294
39,0,06090,Jim McGovern,4.5,39,865,+0.359
39,0,08845,Scott Sterling,4.5,46,1019,+0.283
39,0,20160,Charlie Wi,4.5,55,1219,+0.218
39,0,10425,Jay Williamson,4.5,50,1111,+0.220
47,0,01553,John Huston,4.6,31,675,+0.226
47,0,23788,D.J. Trahan,4.6,49,1072,+0.327
47,0,26289,Boo Weekley,4.6,41,888,+0.195
47,0,19913,Ron Whittaker,4.6,26,563,+0.346
51,0,01035,Tommy Armour III,4.7,43,907,+0.326
51,0,20848,Ángel Cabrera,4.7,25,535,+0.320
51,0,22378,Trevor Immelman,4.7,35,744,+0.200
51,0,01577,Lee Janzen,4.7,48,1027,+0.354
51,0,07547,Craig Kanada,4.7,36,762,+0.361
51,0,27060,John Mallinger,4.7,55,1162,+0.382
51,0,26596,Ryan Moore,4.7,41,868,+0.268
51,0,20127,Chris Riley,4.7,26,550,+0.462
51,0,23349,Charles Warren,4.7,48,1022,+0.458
60,0,24925,Jonathan Byrd,4.8,51,1065,+0.235
60,0,08537,J.P. Hayes,4.8,42,869,+0.262
60,0,10860,Justin Leonard,4.8,49,1023,+0.306
60,0,10585,Scott McCarron,4.8,36,750,+0.333
