RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,01139,Olin Browne,80.80,783,969,-0.01
2,0,08385,Omar Uresti,75.63,661,874,-0.07
3,0,02239,Scott Verplank,75.22,680,904,-0.13
4,0,24024,Zach Johnson,74.95,745,994,-0.12
5,0,22293,Heath Slocum,74.73,896,1199,-0.10
6,0,01142,Bart Bryant,74.68,696,932,-0.10
7,0,19913,Ron Whittaker,74.42,419,563,-0.10
8,0,26476,Chez Reavie,73.91,918,1242,-0.11
9,0,22348,Nick O'Hern,73.83,728,986,-0.13
10,0,01388,Robert Gamez,73.49,718,977,-0.04
11,0,20105,Jeff Gove,73.40,447,609,-0.12
12,0,06621,Joe Durant,73.24,802,1095,-0.11
13,0,01766,Billy Mayfair,72.97,961,1317,-0.11
14,0,21753,Brian Davis,72.62,1029,1417,-0.12
15,0,19846,Brian Gay,72.54,869,1198,-0.15
16,0,10733,Kent Jones,72.18,550,762,-0.16
17,0,01313,Steve Elkington,71.87,728,1013,-0.10
18,0,20623,Gavin Coles,71.80,438,610,-0.13
19,0,10425,Jay Williamson,71.74,797,1111,-0.12
20,0,12826,Paul Claxton,71.55,493,689,-0.07
21,0,06643,Paul Goydos,71.20,665,934,-0.08
22,0,06012,Greg Kraft,71.18,494,694,-0.13
23,0,27060,John Mallinger,71.17,827,1162,-0.13
24,0,21878,Mark Wilson,71.09,1028,1446,-0.17
25,0,10809,Jim Furyk,70.85,746,1053,-0.19
26,0,06197,Michael Allen,70.81,764,1079,-0.17
27,0,10505,Shane Bertsch,70.67,882,1248,-0.12
28,0,07547,Craig Kanada,70.60,538,762,-0.14
29,0,19803,Ryan Armour,70.46,737,1046,-0.09
30,0,01928,Corey Pavin,70.41,545,774,-0.11
31,0,20645,John Senden,69.96,787,1125,-0.15
32,0,22806,Doug LaBelle II,69.93,493,705,-0.10
33,0,22621,Ben Curtis,69.82,613,878,-0.14
34,0,10585,Scott McCarron,69.60,522,750,-0.14
35,0,01473,Todd Hamilton,69.47,710,1022,-0.16
36,0,02002,John Riegger,69.18,615,889,-0.15
37,0,20443,Jin Park,69.17,664,960,-0.09
38,0,10860,Justin Leonard,69.11,707,1023,-0.21
39,0,22913,John Rollins,69.10,758,1097,-0.10
40,0,24925,Jonathan Byrd,69.01,735,1065,-0.16
41,0,12652,Cameron Beckman,68.92,703,1020,-0.15
41,0,23541,Ben Crane,68.92,714,1036,-0.17
43,0,08931,Glen Day,68.81,534,776,-0.15
44,0,07867,Woody Austin,68.60,841,1226,-0.16
45,0,22892,Jason Gore,68.54,806,1176,-0.16
46,0,02223,Bob Tway,68.44,540,789,-0.17
47,0,23614,Rich Beem,68.34,749,1096,-0.13
48,0,25396,Kevin Na,68.01,859,1263,-0.15
49,0,21461,Kenneth Ferrie,68.00,561,825,-0.10
50,0,08075,Jerry Kelly,67.96,700,1030,-0.12
51,0,08845,Scott Sterling,67.71,690,1019,-0.13
52,0,20160,Charlie Wi,67.68,825,1219,-0.14
53,0,20498,Briny Baird,67.55,893,1322,-0.14
54,0,27963,Chris Stroud,67.54,616,912,-0.13
55,0,26596,Ryan Moore,67.51,586,868,-0.13
55,0,25349,Tim Wilkinson,67.51,750,1111,-0.15
57,0,22548,Patrick Sheehan,67.50,972,1440,-0.13
58,0,01320,Bob Estes,67.48,801,1187,-0.12
59,0,20127,Chris Riley,67.45,371,550,-0.13
60,0,20634,Peter Lonard,67.42,745,1105,-0.12
61,0,01948,Tim Petrovic,67.32,754,1120,-0.12
62,0,24781,Hunter Mahan,67.27,670,996,-0.17
63,0,20382,Stephen Leaney,67.26,419,623,-0.09
64,0,01724,Jeff Maggert,67.25,733,1090,-0.12
65,0,01797,Rocco Mediate,67.22,644,958,-0.12
66,0,12510,Chad Campbell,67.12,786,1171,-0.21
67,0,28780,Nicholas Thompson,66.92,890,1330,-0.15
68,0,02206,David Toms,66.88,519,776,-0.18
69,0,10885,Robert Allenby,66.81,793,1187,-0.18
70,0,27933,John Merrick,66.54,706,1061,-0.16
71,0,23108,Matt Kuchar,66.53,648,974,-0.15
72,0,20572,Rod Pampling,66.42,623,938,-0.17
73,0,01677,Tom Lehman,66.41,350,527,-0.15
74,0,23135,Tim Clark,66.37,673,1014,-0.18
74,0,01553,John Huston,66.37,448,675,-0.22
74,0,26695,Michael Letzig,66.37,679,1023,-0.17
77,0,23349,Charles Warren,66.34,678,1022,-0.06
78,0,23788,D.J. Trahan,66.32,711,1072,-0.16
79,0,24227,Justin Bolli,66.30,671,1012,-0.08
80,0,20574,Mathew Goggin,66.17,749,1132,-0.18
81,0,01161,Mark Calcavecchia,66.09,497,752,-0.10
82,0,23353,J.J. Henry,66.01,901,1365,-0.16
83,0,21949,Joe Ogilvie,65.89,794,1205,-0.17
84,0,10875,Todd Demsey,65.88,643,976,-0.13
85,0,20472,Alex Cejka,65.50,541,826,-0.08
86,0,11032,Frank Lickliter II,65.34,903,1382,-0.13
87,0,26668,Marc Turnesa,65.33,684,1047,-0.13
88,0,24361,Pat Perez,65.21,714,1095,-0.21
89,0,01035,Tommy Armour III,65.05,590,907,-0.14
90,0,25364,Paul Casey,65.04,320,492,-0.15
91,0,01941,Tom Pernice Jr.,64.89,878,1353,-0.16
92,0,26289,Boo Weekley,64.86,576,888,-0.14
93,0,28158,Steve Marino,64.73,927,1432,-0.19
94,0,23621,Rory Sabbatini,64.61,566,876,-0.20
95,0,27561,Nick Flanagan,64.31,708,1101,-0.09
96,0,25190,Jeff Quinney,64.25,647,1007,-0.16
97,0,23320,Ryan Palmer,64.21,531,827,-0.20
98,0,06090,Jim McGovern,64.16,555,865,-0.10
99,0,10649,Tom Scherrer,64.12,386,602,-0.14
100,0,26679,Kevin Stadler,64.04,641,1001,-0.08
101,0,06004,Stephen Ames,63.90,586,917,-0.18
102,0,08537,J.P. Hayes,63.87,555,869,-0.08
103,0,20378,Mathias Grönberg,63.81,693,1086,-0.15
104,0,12716,Charley Hoffman,63.78,759,1190,-0.16
105,0,26420,Richard Johnson,63.77,433,679,-0.09
106,0,24663,Y.E. Yang,63.75,700,1098,-0.16
107,0,24912,Will MacKenzie,63.72,497,780,-0.14
108,0,23325,Vaughn Taylor,63.71,825,1295,-0.16
109,0,12660,Jesper Parnevik,63.68,647,1016,-0.16
110,0,01577,Lee Janzen,63.58,653,1027,-0.12
111,0,06251,Chris DiMarco,63.56,668,1051,-0.13
112,0,12705,Cliff Kresge,63.46,639,1007,-0.10
113,0,24357,K.J. Choi,63.40,504,795,-0.16
114,0,07749,Brett Quigley,63.37,635,1002,-0.14
115,0,06595,Kevin Sutherland,63.24,769,1216,-0.20
116,0,23125,Brad Elder,63.11,462,732,-0.16
117,0,27936,Martin Laird,63.06,734,1164,-0.20
118,0,27214,Kevin Streelman,63.03,844,1339,-0.19
119,0,21731,Freddie Jacobson,63.01,557,884,-0.16
120,0,12602,Dean Wilson,62.98,803,1275,-0.17
121,0,25900,Lucas Glover,62.84,722,1149,-0.15
122,0,22582,Kyle Thompson,62.76,492,784,-0.09
123,0,20104,Ken Duke,62.74,911,1452,-0.16
124,0,28089,Jason Day,62.69,657,1048,-0.14
125,0,10423,Mike Weir,62.38,577,925,-0.18
126,0,24140,Sean O'Hair,62.37,585,938,-0.14
127,0,07457,Steve Flesch,62.35,694,1113,-0.15
128,0,01945,Kenny Perry,62.30,790,1268,-0.20
129,0,23623,Bo Van Pelt,62.29,806,1294,-0.15
130,0,06034,Marco Dawson,62.19,454,730,-0.17
131,0,12309,Bob Sowards,62.13,443,713,-0.13
132,0,12782,Tim Herron,62.08,740,1192,-0.16
133,0,26500,Alejandro Cañizares,61.90,351,567,-0.13
133,0,27120,Troy Matteson,61.90,754,1218,-0.12
135,0,22378,Trevor Immelman,61.83,460,744,-0.16
136,0,27095,Nick Watney,61.62,716,1162,-0.21
137,0,06575,Dudley Hart,61.56,570,926,-0.19
138,0,22046,Geoff Ogilvy,61.55,413,671,-0.16
139,0,22371,Aaron Baddeley,61.32,512,835,-0.19
140,0,06567,Vijay Singh,61.23,537,877,-0.20
141,0,26951,Johnson Wagner,61.15,573,937,-0.14
142,0,27770,Camilo Villegas,61.14,535,875,-0.21
