RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,DISTANCE RANK,ACCURACY RANK
1,0,25900,Lucas Glover,74,20,54
2,0,21528,Henrik Stenson,78,64,14
3,0,24781,Hunter Mahan,81,45,36
4,0,34264,Hudson Swafford,82,33,49
5,0,37273,Derek Ernst,83,38,45
6,0,32366,Kevin Chappell,84,43,41
6,0,33418,Shawn Stefani,84,31,53
8,0,33141,Keegan Bradley,86,17,69
9,0,27436,Graham DeLaet,89,14,75
10,0,24502,Adam Scott,93,13,80
11,0,29420,Billy Horschel,99,76,23
12,0,27064,Jhonattan Vegas,101,8,93
12,0,27095,Nick Watney,101,45,56
14,0,25804,Bubba Watson,103,1,102
15,0,26289,Boo Weekley,110,100,10
16,0,28237,Rory McIlroy,111,3,108
17,0,27214,Kevin Streelman,113,97,16
18,0,26329,Louis Oosthuizen,119,21,98
19,0,34265,Will Wilcox,121,36,85
20,0,33413,Ben Martin,122,75,47
20,0,30110,Kyle Stanley,122,33,89
22,0,23638,Brendon de Jonge,123,106,17
22,0,34098,Russell Henley,123,61,62
24,0,26679,Kevin Stadler,125,76,49
25,0,31557,Jim Herman,126,52,74
25,0,27936,Martin Laird,126,37,89
27,0,23353,J.J. Henry,128,82,46
27,0,25444,Justin Hicks,128,125,3
27,0,24912,Will MacKenzie,128,84,44
27,0,31323,Gary Woodland,128,9,119
31,0,21209,Sergio Garcia,130,57,73
31,0,32839,Hideki Matsuyama,130,51,79
33,0,34099,Harris English,132,26,106
34,0,32334,Charlie Beljan,136,11,125
34,0,28780,Nicholas Thompson,136,114,22
36,0,24924,Bill Haas,137,73,64
36,0,27933,John Merrick,137,122,15
38,0,29479,Scott Brown,138,112,26
38,0,27408,Martin Kaymer,138,50,88
38,0,33122,Russell Knox,138,120,18
38,0,26596,Ryan Moore,138,129,9
42,0,32102,Rickie Fowler,141,33,108
42,0,34431,Robert Streb,141,25,116
44,0,12510,Chad Campbell,142,107,35
44,0,29425,Andrew Svoboda,142,111,31
46,0,23623,Bo Van Pelt,143,78,65
47,0,27330,Josh Teater,144,53,91
48,0,29518,Brendan Steele,145,28,117
49,0,30926,Chris Kirk,146,80,66
49,0,20645,John Senden,146,95,51
51,0,24024,Zach Johnson,147,141,6
52,0,30925,Dustin Johnson,148,2,146
53,0,28089,Jason Day,149,18,131
54,0,20848,Ángel Cabrera,151,12,139
54,0,26331,Charl Schwartzel,151,30,121
56,0,24358,Robert Garrigus,153,7,146
57,0,36689,Brooks Koepka,156,6,150
57,0,23108,Matt Kuchar,156,136,20
57,0,23320,Ryan Palmer,156,23,133
60,0,35541,John Peterson,157,102,55
61,0,12716,Charley Hoffman,158,26,132
