RANK,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 3 AVG,TOTAL PAR
1,0,01219,John Cook,-20,2.94,954
2,0,02010,Loren Roberts,-19,2.95,1242
2,0,02190,Doug Tewell,-19,2.94,930
4,0,01928,Corey Pavin,-13,2.96,1074
5,0,02100,Tim Simpson,-12,2.96,840
6,0,01724,Jeff Maggert,-11,2.97,1074
7,0,01042,Paul Azinger,-10,2.97,1035
7,0,01968,Nick Price,-10,2.97,1191
9,0,01306,David Edwards,-8,2.98,1143
9,0,01313,Steve Elkington,-8,2.98,1038
9,0,02146,Payne Stewart,-8,2.98,999
12,0,01235,Ben Crenshaw,-7,2.98,987
13,0,01706,Davis Love III,-6,2.98,1110
14,0,01185,Brandel Chamblee,-5,2.99,1035
14,0,01200,Keith Clearwater,-5,2.99,1290
14,0,06048,Dicky Thompson,-5,2.98,867
14,0,02242,Lanny Wadkins,-5,2.99,1050
18,0,01549,Mike Hulbert,-3,2.99,1338
18,0,02049,Gene Sauers,-3,2.99,942
18,0,02104,Jeff Sluman,-3,2.99,1350
18,0,02246,Duffy Waldorf,-3,2.99,1026
22,0,01457,Jay Haas,-2,3.00,1266
23,0,01307,Joel Edwards,-1,3.00,675
23,0,01945,Kenny Perry,-1,3.00,1002
23,0,02279,Mark Wiebe,-1,3.00,1023
26,0,01823,Larry Mize,E,3.00,978
27,0,01132,Mark Brooks,+1,3.00,1290
27,0,01633,Tom Kite,+1,3.00,1086
27,0,01876,Greg Norman,+1,3.00,699
30,0,01378,David Frost,+2,3.01,972
30,0,01690,Bruce Lietzke,+2,3.01,792
30,0,02090,Tom Sieckmann,+2,3.01,1134
33,0,01510,Nolan Henke,+3,3.01,1047
33,0,01553,John Huston,+3,3.01,1275
33,0,01837,Gil Morgan,+3,3.01,1035
33,0,01887,Mark O'Meara,+3,3.01,978
37,0,01527,Scott Hoch,+4,3.02,720
37,0,01943,Chris Perry,+4,3.01,960
37,0,01946,Peter Persons,+4,3.01,1188
37,0,02099,Scott Simpson,+4,3.01,882
41,0,01329,Brad Faxon,+5,3.01,1083
41,0,01376,Bob Friend,+5,3.01,1191
41,0,06284,Jim Hallet,+5,3.01,1368
44,0,01129,Bill Britton,+6,3.02,1005
44,0,01361,Dan Forsman,+6,3.01,1314
44,0,01677,Tom Lehman,+6,3.01,1230
47,0,01418,Bill Glasson,+7,3.03,630
47,0,06012,Greg Kraft,+7,3.02,999
47,0,01938,David Peoples,+7,3.02,1191
50,0,01435,Wayne Grady,+8,3.03,840
51,0,01682,Wayne Levi,+9,3.03,1014
51,0,01996,Mike Reid,+9,3.03,942
51,0,02133,Craig Stadler,+9,3.03,987
51,0,02159,Curtis Strange,+9,3.04,723
55,0,01072,Chip Beck,+10,3.03,1059
55,0,06124,Patrick Burke,+10,3.03,1110
55,0,01203,Russ Cochran,+10,3.03,1155
55,0,01226,Fred Couples,+10,3.03,1023
55,0,01475,Donnie Hammond,+10,3.04,798
55,0,01577,Lee Janzen,+10,3.02,1266
61,0,01096,Phil Blackmar,+11,3.03,972
61,0,01133,Billy Ray Brown,+11,3.04,903
61,0,06150,Carl Cooper,+11,3.04,942
