RANK,MOVEMENT,PLAYER_ID,PLAYER,%,POINTS WON,POTENTIAL PTS,# OF WINS,# OF TOP 10'S
1,0,34046,Jordan Spieth,37.22,4169,11200,4,14
2,0,28237,Rory McIlroy,31.35,1567,5000,2,6
3,0,25804,Bubba Watson,29.35,2407,8200,2,7
4,0,28089,Jason Day,28.42,2459,8650,3,8
5,0,22405,Justin Rose,20.02,1742,8700,1,7
6,0,25632,Jimmy Walker,18.83,2014,10700,2,6
7,0,30925,Dustin Johnson,18.78,1718,9150,1,8
8,0,32102,Rickie Fowler,16.28,1498,9200,1,5
9,0,10809,Jim Furyk,16.20,1401,8650,1,6
10,0,36689,Brooks Koepka,15.22,1544,10150,1,8
11,0,21528,Henrik Stenson,14.21,952,6700,0,4
12,0,24024,Zach Johnson,13.98,1559,11150,1,8
13,0,21209,Sergio Garcia,13.64,1051,7700,0,4
14,0,27141,J.B. Holmes,13.25,1484,11200,1,5
15,0,34360,Patrick Reed,13.06,1593,12200,1,3
16,0,25364,Paul Casey,13.05,1389,10650,0,7
17,0,34431,Robert Streb,12.84,1720,13400,1,9
18,0,27649,Brandt Snedeker,12.60,1537,12200,1,8
19,0,32839,Hideki Matsuyama,12.27,1374,11200,0,8
20,0,12716,Charley Hoffman,12.15,1512,12450,1,6
21,0,26329,Louis Oosthuizen,11.82,1088,9200,0,6
22,0,30926,Chris Kirk,11.51,1087,9450,1,3
23,0,24924,Bill Haas,11.44,1281,11200,1,5
24,0,26596,Ryan Moore,10.79,1208,11200,1,4
25,0,29478,Kevin Kisner,10.69,1416,13250,0,6
26,0,23108,Matt Kuchar,10.43,1164,11150,0,5
27,0,34409,David Lingmerth,10.23,1305,12750,1,4
28,0,01810,Phil Mickelson,9.87,849,8600,0,3
29,0,33413,Ben Martin,9.82,1217,12400,1,5
30,0,29926,Danny Lee,9.61,1561,16250,1,7
31,0,25818,Scott Piercy,9.55,1127,11800,1,4
32,0,29221,Webb Simpson,9.39,953,10150,0,5
33,0,31323,Gary Woodland,9.34,1037,11100,0,4
34,0,34265,Will Wilcox,9.02,649,7200,0,4
35,0,25274,Steven Bowditch,8.97,1287,14350,1,2
36,0,24138,Ian Poulter,8.93,777,8700,0,4
37,0,34098,Russell Henley,8.81,986,11200,0,4
38,0,25396,Kevin Na,8.70,1062,12200,0,6
39,0,29518,Brendan Steele,8.69,895,10300,0,4
40,0,24507,Jason Bohn,8.64,1037,12000,0,5
41,0,33418,Shawn Stefani,8.58,987,11500,0,3
42,0,23135,Tim Clark,8.08,481,5950,0,1
43,0,01706,Davis Love III,8.01,649,8100,1,2
