RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD
1,0,34046,Jordan Spieth,4169,4,14,0
2,0,28089,Jason Day,2459,3,8,1710
3,0,25804,Bubba Watson,2407,2,7,1762
4,0,25632,Jimmy Walker,2014,2,6,2155
5,0,22405,Justin Rose,1742,1,7,2427
6,0,34431,Robert Streb,1720,1,9,2449
7,0,30925,Dustin Johnson,1718,1,8,2451
8,0,34360,Patrick Reed,1593,1,3,2576
9,0,28237,Rory McIlroy,1567,2,6,2602
10,0,29926,Danny Lee,1561,1,7,2608
11,0,24024,Zach Johnson,1559,1,8,2610
12,0,36689,Brooks Koepka,1544,1,8,2625
13,0,27649,Brandt Snedeker,1537,1,8,2632
14,0,12716,Charley Hoffman,1512,1,6,2657
15,0,32102,Rickie Fowler,1498,1,5,2671
16,0,27141,J.B. Holmes,1484,1,5,2685
17,0,29478,Kevin Kisner,1416,0,6,2753
18,0,10809,Jim Furyk,1401,1,6,2768
19,0,25364,Paul Casey,1389,0,7,2780
20,0,32839,Hideki Matsuyama,1374,0,8,2795
21,0,34409,David Lingmerth,1305,1,4,2864
22,0,25274,Steven Bowditch,1287,1,2,2882
23,0,24924,Bill Haas,1281,1,5,2888
24,0,33413,Ben Martin,1217,1,5,2952
25,0,26596,Ryan Moore,1208,1,4,2961
26,0,23108,Matt Kuchar,1164,0,5,3005
27,0,25818,Scott Piercy,1127,1,4,3042
28,0,26329,Louis Oosthuizen,1088,0,6,3081
29,0,30926,Chris Kirk,1087,1,3,3082
30,0,25396,Kevin Na,1062,0,6,3107
31,0,21209,Sergio Garcia,1051,0,4,3118
32,0,31323,Gary Woodland,1037,0,4,3132
33,0,24507,Jason Bohn,1037,0,5,3132
34,0,28259,Sangmoon Bae,1025,1,4,3144
35,0,32448,James Hahn,1012,1,2,3157
36,0,33448,Justin Thomas,1007,0,7,3162
37,0,33418,Shawn Stefani,987,0,3,3182
38,0,34098,Russell Henley,986,0,4,3183
39,0,29725,Tony Finau,985,0,5,3184
40,0,29221,Webb Simpson,953,0,5,3216
41,0,21528,Henrik Stenson,952,0,4,3217
42,0,34099,Harris English,932,0,3,3237
43,0,32640,Troy Merritt,930,1,3,3239
44,0,33122,Russell Knox,914,0,3,3255
45,0,29420,Billy Horschel,903,0,2,3266
46,0,40026,Daniel Berger,899,0,5,3270
47,0,29518,Brendan Steele,895,0,4,3274
48,0,23638,Brendon de Jonge,892,0,3,3277
49,0,26758,David Hearn,890,0,4,3279
50,0,26851,Marc Leishman,854,0,4,3315
51,0,01810,Phil Mickelson,849,0,3,3320
52,0,27095,Nick Watney,847,0,3,3322
53,0,30927,Brendon Todd,831,0,4,3338
54,0,24361,Pat Perez,825,0,2,3344
55,0,26300,Matt Jones,821,0,3,3348
56,0,23320,Ryan Palmer,817,0,4,3352
57,0,33419,Cameron Tringale,816,0,2,3353
58,0,28679,Fabián Gómez,797,1,2,3372
59,0,24138,Ian Poulter,777,0,4,3392
60,0,26289,Boo Weekley,776,0,6,3393
61,0,27214,Kevin Streelman,771,0,2,3398
62,0,33141,Keegan Bradley,759,0,3,3410
63,0,20472,Alex Cejka,739,1,1,3430
64,0,28307,Matt Every,727,1,1,3442
