RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,34046,Jordan Spieth,27.82,2114,76,21
2,0,30927,Brendon Todd,27.86,1755,63,21
3,0,06527,Steve Stricker,27.96,1482,53,24
4,0,27895,Jonas Blixt,27.99,2127,76,22
5,0,23800,Bryce Molder,28.01,2185,78,22
6,0,22371,Aaron Baddeley,28.06,2497,89,21
6,0,28089,Jason Day,28.06,1936,69,22
8,0,20098,Stuart Appleby,28.14,1942,69,23
9,0,01810,Phil Mickelson,28.21,2031,72,21
10,0,34262,Jon Curran,28.28,2800,99,23
11,0,35539,Luke Guthrie,28.29,1556,55,23
12,0,24494,Erik Compton,28.30,1783,63,24
13,0,27747,Hiroshi Iwata,28.34,2352,83,22
13,0,34466,Peter Malnati,28.34,2409,85,22
15,0,29222,Billy Hurley III,28.36,1872,66,23
16,0,34360,Patrick Reed,28.40,2812,99,22
17,0,20157,Retief Goosen,28.44,1564,55,23
18,0,21731,Freddie Jacobson,28.48,2449,86,22
19,0,30925,Dustin Johnson,28.49,2336,82,21
19,0,24024,Zach Johnson,28.49,2450,86,24
21,0,31416,Derek Fathauer,28.50,2679,94,22
22,0,24846,Ricky Barnes,28.52,2652,93,23
23,0,39975,Michael Kim,28.54,2740,96,23
23,0,25834,Daniel Summerhays,28.54,2825,99,22
23,0,25349,Tim Wilkinson,28.54,1941,68,21
26,0,20472,Alex Cejka,28.55,1913,67,24
26,0,33399,Adam Hadwin,28.55,2655,93,23
28,0,26596,Ryan Moore,28.58,2315,81,24
29,0,37455,Si Woo Kim,28.60,3117,109,24
30,0,25274,Steven Bowditch,28.61,2031,71,23
30,0,23541,Ben Crane,28.61,2174,76,24
30,0,32640,Troy Merritt,28.61,2203,77,23
33,0,35300,Andrew Loupe,28.63,2147,75,21
34,0,27644,Brian Harman,28.64,2979,104,23
34,0,29478,Kevin Kisner,28.64,2692,94,23
36,0,27649,Brandt Snedeker,28.66,2551,89,22
37,0,30926,Chris Kirk,28.67,2437,85,23
37,0,25892,Steve Wheatcroft,28.67,2322,81,23
39,0,40058,Zac Blair,28.69,2726,95,23
40,0,20766,Padraig Harrington,28.70,1550,54,24
41,0,10213,Dicky Pride,28.74,1523,53,25
41,0,34265,Will Wilcox,28.74,1868,65,23
43,0,36801,Mark Hubbard,28.75,2789,97,22
43,0,34409,David Lingmerth,28.75,2271,79,21
45,0,31560,Brian Stuard,28.76,1898,66,21
46,0,25632,Jimmy Walker,28.78,2360,82,23
47,0,24507,Jason Bohn,28.79,1929,67,22
48,0,25720,Chad Collins,28.81,2103,73,21
48,0,36689,Brooks Koepka,28.81,2017,70,22
48,0,27770,Camilo Villegas,28.81,2276,79,23
51,0,06522,Ernie Els,28.82,1902,66,23
51,0,32839,Hideki Matsuyama,28.82,2104,73,24
53,0,35532,Tom Hoge,28.83,2220,77,21
53,0,30711,Colt Knost,28.83,2479,86,23
55,0,24357,K.J. Choi,28.84,2105,73,22
55,0,27141,J.B. Holmes,28.84,2134,74,23
55,0,25396,Kevin Na,28.84,2682,93,23
55,0,32876,Martin Piller,28.84,1644,57,24
59,0,26851,Marc Leishman,28.85,2481,86,24
60,0,34099,Harris English,28.88,2801,97,24
60,0,32757,Patton Kizzire,28.88,2570,89,25
60,0,31420,Anirban Lahiri,28.88,1993,69,23
63,0,29461,Jamie Lovemark,28.90,2630,91,24
63,0,29289,S.Y. Noh,28.90,2341,81,22
65,0,23320,Ryan Palmer,28.92,2487,86,23
66,0,35732,Wes Roach,28.93,1591,55,24
67,0,20104,Ken Duke,28.94,1563,54,24
67,0,33461,Morgan Hoffmann,28.94,1939,67,23
69,0,23983,Luke Donald,28.95,2345,81,24
70,0,33410,Andrew Landry,28.96,1419,49,24
70,0,28092,D.H. Lee,28.96,1651,57,24
72,0,23325,Vaughn Taylor,28.99,2087,72,24
73,0,27466,Spencer Levin,29.00,2900,100,24
73,0,25493,Nick Taylor,29.00,2291,79,25
75,0,06567,Vijay Singh,29.01,2089,72,22
76,0,23108,Matt Kuchar,29.02,2786,96,23
76,0,24140,Sean O'Hair,29.02,2583,89,24
78,0,32366,Kevin Chappell,29.04,2701,93,21
79,0,28475,Jeff Overton,29.05,1888,65,22
79,0,26476,Chez Reavie,29.05,2498,86,25
81,0,45526,Abraham Ancer,29.06,1395,48,23
81,0,28679,Fabián Gómez,29.06,2296,79,24
81,0,27974,Sung Kang,29.06,2528,87,24
84,0,34174,John Huh,29.07,2471,85,22
85,0,40026,Daniel Berger,29.08,2588,89,23
85,0,26758,David Hearn,29.08,2763,95,24
85,0,21961,Charles Howell III,29.08,2646,91,23
85,0,31202,William McGirt,29.08,2850,98,23
85,0,20572,Rod Pampling,29.08,1454,50,24
90,0,26300,Matt Jones,29.11,2329,80,25
90,0,30692,Scott Stallings,29.11,2038,70,22
92,0,29926,Danny Lee,29.12,2621,90,24
93,0,33419,Cameron Tringale,29.13,2243,77,23
94,0,34261,Scott Langley,29.14,1836,63,23
94,0,27129,Luke List,29.14,2244,77,24
94,0,27942,Rob Oppenheim,29.14,1836,63,25
97,0,28132,Tyrone Van Aswegen,29.15,2973,102,24
98,0,32102,Rickie Fowler,29.16,2245,77,23
98,0,24781,Hunter Mahan,29.16,1779,61,21
100,0,12716,Charley Hoffman,29.17,2567,88,23
100,0,08075,Jerry Kelly,29.17,2217,76,23
100,0,35879,Kelly Kraft,29.17,1721,59,25
100,0,25198,Francesco Molinari,29.17,1867,64,23
104,0,46440,Smylie Kaufman,29.18,2568,88,23
104,0,28237,Rory McIlroy,29.18,1809,62,22
104,0,25240,D.A. Points,29.18,1488,51,22
104,0,29223,Sam Saunders,29.18,1897,65,24
108,0,27963,Chris Stroud,29.19,2335,80,24
109,0,29725,Tony Finau,29.20,2774,95,22
110,0,02206,David Toms,29.21,1811,62,24
111,0,29479,Scott Brown,29.22,2571,88,25
111,0,25572,Graeme McDowell,29.22,1753,60,24
111,0,35891,Cameron Smith,29.22,2016,69,23
114,0,22892,Jason Gore,29.23,2163,74,23
115,0,32200,Roberto Castro,29.25,2837,97,22
115,0,23638,Brendon de Jonge,29.25,2369,81,23
115,0,34563,Chesson Hadley,29.25,2311,79,23
118,0,33413,Ben Martin,29.26,2575,88,23
118,0,31323,Gary Woodland,29.26,2663,91,24
120,0,22046,Geoff Ogilvy,29.27,1727,59,24
121,0,29974,Branden Grace,29.28,1757,60,24
121,0,33448,Justin Thomas,29.28,2811,96,22
123,0,32150,Michael Thompson,29.29,1992,68,21
124,0,29268,Bronson Burgoon,29.30,2315,79,22
124,0,34098,Russell Henley,29.30,2227,76,22
126,0,27936,Martin Laird,29.31,2286,78,25
127,0,29476,Kyle Reifers,29.34,3257,111,24
127,0,26331,Charl Schwartzel,29.34,2054,70,23
129,0,35545,Blayne Barber,29.36,2349,80,26
129,0,29221,Webb Simpson,29.36,2055,70,23
131,0,28158,Steve Marino,29.37,1997,68,23
131,0,26951,Johnson Wagner,29.37,2526,86,24
133,0,12510,Chad Campbell,29.39,2645,90,23
134,0,26289,Boo Weekley,29.42,2442,83,25
135,0,29745,Tyler Aldridge,29.43,2325,79,21
135,0,31557,Jim Herman,29.43,2737,93,25
135,0,24490,George McNeill,29.43,1501,51,23
