RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,19824,Craig Barlow,111' 5",Buick Open,4,1 - Par 5 -
2,0,27214,Kevin Streelman,84' 0",AT&T National,4,6 - Par 4 -
3,0,21805,Harrison Frazar,79' 4",Turning Stone,1,16 - Par 3
4,0,01116,Michael Bradley,77' 11",Turning Stone,4,16 - Par 3
5,0,23598,J.T. Kohut,77' 8",John Deere Clas,2,9 - Par 4 -
6,0,08845,Scott Sterling,77' 0",Frys.com Open,2,17 - Par 4
7,0,22405,Justin Rose,76' 11",Honda Classic,4,7 - Par 3 -
8,0,23541,Ben Crane,76' 2",FBR Open,3,12 - Par 3
9,0,22896,Grégory Havret,76' 1",WGC-CA Champ,1,3 - Par 4 -
10,0,12705,Cliff Kresge,75' 2",Honda Classic,3,12 - Par 4
11,0,12652,Cameron Beckman,75' 0",Ginn Classic,1,5 - Par 4 -
12,0,01157,Tom Byrum,74' 11",AT&T Classic,3,11 - Par 3
13,0,20378,Mathias Grönberg,73' 7",Zurich Classic,4,6 - Par 4 -
14,0,27561,Nick Flanagan,72' 0",Canadian Open,3,4 - Par 4 -
15,0,21633,Steve Allan,71' 1",Turning Stone,1,15 - Par 4
16,0,06197,Michael Allen,70' 8",The Barclays,4,6 - Par 4 -
17,0,12823,Carlos Franco,70' 8",Turning Stone,1,6 - Par 3 -
18,0,19803,Ryan Armour,69' 11",AT&T National,2,6 - Par 4 -
19,0,24610,Stuart Deane,69' 4",EDS B. Nelson,2,3 - Par 4 -
20,0,23409,James Driscoll,68' 7",AT&T National,3,2 - Par 3 -
21,0,23778,Brad Adamonis,68' 3",Wachovia Champ,1,18 - Par 4
23,0,20645,John Senden,67' 7",Zurich Classic,4,17 - Par 3
24,0,23621,Rory Sabbatini,67' 2",Mercedes-Benz,4,13 - Par 4
25,0,23108,Matt Kuchar,66' 9",Deutsche Bank,2,5 - Par 4 -
27,0,24358,Robert Garrigus,66' 8",Crowne Plaza,2,4 - Par 3 -
28,0,07457,Steve Flesch,66' 5",Canadian Open,3,18 - Par 5
29,0,26668,Marc Turnesa,66' 4",Buick Invitatio,4,12 - Par 4
30,0,24925,Jonathan Byrd,66' 1",Reno-Tahoe Open,1,16 - Par 3
32,0,23623,Bo Van Pelt,65' 10",Crowne Plaza,4,14 - Par 4
33,0,20628,Arron Oberholser,65' 1",Frys.com Open,2,5 - Par 3 -
34,0,27963,Chris Stroud,64' 9",Heritage,2,17 - Par 3
35,0,21753,Brian Davis,64' 8",Ginn Classic,2,1 - Par 5 -
36,0,06595,Kevin Sutherland,64' 7",Crowne Plaza,2,9 - Par 4 -
37,0,12602,Dean Wilson,64' 2",BMW Champ,3,15 - Par 4
38,0,24924,Bill Haas,64' 0",Wyndham Champ.,1,15 - Par 5
