RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
1,0,07867,Woody Austin,100.00,4,4
1,0,20498,Briny Baird,100.00,2,2
1,0,12652,Cameron Beckman,100.00,4,4
1,0,01116,Michael Bradley,100.00,2,2
1,0,20848,Ángel Cabrera,100.00,3,3
1,0,21805,Harrison Frazar,100.00,3,3
1,0,29720,Andres Gonzales,100.00,1,1
1,0,26758,David Hearn,100.00,3,3
1,0,31557,Jim Herman,100.00,2,2
1,0,22378,Trevor Immelman,100.00,3,3
1,0,01706,Davis Love III,100.00,3,3
1,0,24490,George McNeill,100.00,5,5
1,0,28475,Jeff Overton,100.00,3,3
1,0,01948,Tim Petrovic,100.00,4,4
1,0,26331,Charl Schwartzel,100.00,3,3
1,0,27214,Kevin Streelman,100.00,4,4
1,0,31323,Gary Woodland,100.00,4,4
18,0,20070,Matt Bettencourt,90.00,9,10
19,0,27330,Josh Teater,88.89,8,9
20,0,22371,Aaron Baddeley,87.50,7,8
20,0,20593,Greg Chalmers,87.50,7,8
20,0,22046,Geoff Ogilvy,87.50,7,8
23,0,11123,Chris Couch,85.71,12,14
23,0,35087,Bio Kim,85.71,6,7
23,0,20127,Chris Riley,85.71,6,7
26,0,34255,Joseph Bramlett,83.33,5,6
26,0,10809,Jim Furyk,83.33,5,6
26,0,19970,Robert Karlsson,83.33,5,6
26,0,26851,Marc Leishman,83.33,5,6
26,0,31401,Zack Miller,83.33,5,6
26,0,28486,Michael Putnam,83.33,5,6
26,0,23788,D.J. Trahan,83.33,5,6
33,0,28089,Jason Day,80.00,4,5
33,0,24980,Scott Gutschewski,80.00,4,5
33,0,21350,Ryuji Imada,80.00,8,10
33,0,24024,Zach Johnson,80.00,4,5
33,0,08075,Jerry Kelly,80.00,4,5
33,0,01810,Phil Mickelson,80.00,4,5
33,0,06527,Steve Stricker,80.00,4,5
40,0,24361,Pat Perez,77.78,7,9
40,0,22405,Justin Rose,77.78,7,9
42,0,21753,Brian Davis,76.92,10,13
43,0,24507,Jason Bohn,75.00,6,8
43,0,24357,K.J. Choi,75.00,3,4
43,0,20229,Stewart Cink,75.00,6,8
43,0,23983,Luke Donald,75.00,3,4
43,0,21731,Freddie Jacobson,75.00,3,4
43,0,27936,Martin Laird,75.00,3,4
43,0,10860,Justin Leonard,75.00,3,4
43,0,22348,Nick O'Hern,75.00,6,8
43,0,23320,Ryan Palmer,75.00,6,8
43,0,27963,Chris Stroud,75.00,6,8
43,0,02206,David Toms,75.00,3,4
43,0,27770,Camilo Villegas,75.00,3,4
43,0,21878,Mark Wilson,75.00,6,8
56,0,26951,Johnson Wagner,72.73,8,11
57,0,08725,Tom Gillis,71.43,5,7
57,0,21961,Charles Howell III,71.43,5,7
57,0,23548,Bill Lunde,71.43,5,7
57,0,06515,Shaun Micheel,71.43,5,7
57,0,24502,Adam Scott,71.43,5,7
57,0,23325,Vaughn Taylor,71.43,5,7
63,0,23108,Matt Kuchar,70.00,7,10
64,0,24925,Jonathan Byrd,66.67,2,3
64,0,25686,Jason Dufner,66.67,4,6
64,0,07457,Steve Flesch,66.67,4,6
64,0,25900,Lucas Glover,66.67,4,6
64,0,27141,J.B. Holmes,66.67,2,3
64,0,29420,Billy Horschel,66.67,2,3
64,0,10733,Kent Jones,66.67,2,3
64,0,29718,Anthony Kim,66.67,4,6
64,0,25572,Graeme McDowell,66.67,2,3
64,0,24138,Ian Poulter,66.67,4,6
64,0,22913,John Rollins,66.67,4,6
64,0,34072,Will Strickler,66.67,2,3
76,0,24604,Hunter Haas,63.64,7,11
77,0,33141,Keegan Bradley,62.50,5,8
77,0,32366,Kevin Chappell,62.50,5,8
77,0,01766,Billy Mayfair,62.50,5,8
77,0,23497,Tag Ridings,62.50,5,8
77,0,29518,Brendan Steele,62.50,5,8
82,0,06004,Stephen Ames,60.00,3,5
82,0,24290,D.J. Brigman,60.00,3,5
82,0,23409,James Driscoll,60.00,3,5
82,0,01313,Steve Elkington,60.00,3,5
82,0,24924,Bill Haas,60.00,3,5
82,0,06573,Brandt Jobe,60.00,6,10
82,0,26300,Matt Jones,60.00,3,5
89,0,10885,Robert Allenby,58.33,7,12
90,0,20098,Stuart Appleby,57.14,4,7
90,0,23541,Ben Crane,57.14,4,7
90,0,12716,Charley Hoffman,57.14,4,7
90,0,23800,Bryce Molder,57.14,8,14
90,0,20572,Rod Pampling,57.14,4,7
90,0,25240,D.A. Points,57.14,4,7
90,0,23621,Rory Sabbatini,57.14,4,7
90,0,23623,Bo Van Pelt,57.14,4,7
90,0,20436,Garrett Willis,57.14,4,7
90,0,24663,Y.E. Yang,57.14,4,7
100,0,26679,Kevin Stadler,56.25,9,16
101,0,23673,Michael Connell,55.56,5,9
101,0,30750,Tommy Gainey,55.56,5,9
101,0,30926,Chris Kirk,55.56,5,9
104,0,23718,Nathan Green,54.55,6,11
105,0,06567,Vijay Singh,53.85,7,13
