RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
1,0,20593,Greg Chalmers,65.17,391,600
2,0,06527,Steve Stricker,64.93,274,422
3,0,28089,Jason Day,64.64,298,461
4,0,24024,Zach Johnson,63.98,302,472
5,0,07867,Woody Austin,63.92,202,316
5,0,21961,Charles Howell III,63.92,372,582
7,0,19846,Brian Gay,63.78,361,566
8,0,23983,Luke Donald,63.71,251,394
9,0,25396,Kevin Na,63.50,374,589
10,0,20572,Rod Pampling,63.10,248,393
11,0,21878,Mark Wilson,62.97,335,532
12,0,27095,Nick Watney,62.96,289,459
13,0,23108,Matt Kuchar,62.91,329,523
14,0,08075,Jerry Kelly,62.55,304,486
15,0,23800,Bryce Molder,62.50,315,504
16,0,29221,Webb Simpson,62.22,331,532
17,0,01810,Phil Mickelson,62.01,284,458
18,0,10860,Justin Leonard,61.97,321,518
19,0,12602,Dean Wilson,61.63,257,417
20,0,20127,Chris Riley,61.62,281,456
21,0,22621,Ben Curtis,61.58,250,406
22,0,27649,Brandt Snedeker,61.45,330,537
23,0,23541,Ben Crane,61.31,271,442
23,0,24663,Y.E. Yang,61.31,244,398
25,0,02206,David Toms,61.21,243,397
26,0,23718,Nathan Green,60.92,318,522
27,0,24357,K.J. Choi,60.87,280,460
27,0,11123,Chris Couch,60.87,280,460
27,0,01766,Billy Mayfair,60.87,308,506
30,0,23673,Michael Connell,60.81,301,495
30,0,22961,David Mathis,60.81,301,495
32,0,32150,Michael Thompson,60.75,277,456
33,0,29910,Blake Adams,60.63,422,696
34,0,21731,Freddie Jacobson,60.62,334,551
35,0,06004,Stephen Ames,60.59,246,406
36,0,10585,Scott McCarron,60.56,261,431
37,0,27214,Kevin Streelman,60.50,337,557
38,0,01948,Tim Petrovic,60.49,346,572
39,0,06251,Chris DiMarco,60.47,338,559
40,0,19970,Robert Karlsson,60.41,235,389
41,0,27466,Spencer Levin,60.35,379,628
42,0,23638,Brendon de Jonge,60.33,368,610
43,0,01313,Steve Elkington,60.26,182,302
44,0,21209,Sergio Garcia,60.16,219,364
45,0,26596,Ryan Moore,60.08,301,501
46,0,20498,Briny Baird,60.00,180,300
47,0,23320,Ryan Palmer,59.96,313,522
48,0,24604,Hunter Haas,59.93,335,559
49,0,20766,Padraig Harrington,59.84,228,381
50,0,26331,Charl Schwartzel,59.77,205,343
51,0,31202,William McGirt,59.75,334,559
52,0,22046,Geoff Ogilvy,59.68,265,444
53,0,26758,David Hearn,59.47,267,449
54,0,25632,Jimmy Walker,59.45,305,513
55,0,22371,Aaron Baddeley,59.44,277,466
56,0,08375,Paul Stankowski,59.42,268,451
57,0,10505,Shane Bertsch,59.33,213,359
58,0,22348,Nick O'Hern,59.22,302,510
59,0,06621,Joe Durant,59.10,211,357
60,0,12782,Tim Herron,59.08,296,501
60,0,27936,Martin Laird,59.08,270,457
62,0,21753,Brian Davis,59.00,364,617
62,0,24502,Adam Scott,59.00,200,339
64,0,20160,Charlie Wi,58.93,320,543
65,0,21350,Ryuji Imada,58.80,314,534
66,0,10885,Robert Allenby,58.76,285,485
67,0,06573,Brandt Jobe,58.72,313,533
68,0,23623,Bo Van Pelt,58.69,304,518
69,0,06515,Shaun Micheel,58.64,285,486
70,0,25686,Jason Dufner,58.62,272,464
71,0,26851,Marc Leishman,58.53,326,557
72,0,32366,Kevin Chappell,58.46,266,455
72,0,25345,Carl Pettersson,58.46,335,573
72,0,23325,Vaughn Taylor,58.46,318,544
75,0,29718,Anthony Kim,58.45,287,491
76,0,10809,Jim Furyk,58.37,293,502
77,0,25240,D.A. Points,58.36,328,562
78,0,24361,Pat Perez,58.35,276,473
79,0,24924,Bill Haas,58.30,295,506
80,0,08537,J.P. Hayes,58.29,218,374
81,0,20157,Retief Goosen,58.28,183,314
82,0,23788,D.J. Trahan,58.27,296,508
83,0,24507,Jason Bohn,58.25,240,412
84,0,23621,Rory Sabbatini,58.23,290,498
85,0,31193,Jim Renner,58.22,209,359
86,0,31323,Gary Woodland,58.20,298,512
87,0,28486,Michael Putnam,58.17,235,404
88,0,20436,Garrett Willis,58.14,257,442
89,0,22378,Trevor Immelman,58.09,280,482
90,0,33911,Nate Smith,58.07,241,415
91,0,27933,John Merrick,58.03,206,355
92,0,24781,Hunter Mahan,58.00,290,500
92,0,26287,Roland Thatcher,58.00,250,431
94,0,28087,Kris Blanks,57.94,292,504
95,0,22405,Justin Rose,57.92,245,423
96,0,26951,Johnson Wagner,57.80,263,455
97,0,28158,Steve Marino,57.69,270,468
97,0,33419,Cameron Tringale,57.69,360,624
99,0,30926,Chris Kirk,57.66,301,522
100,0,25818,Scott Piercy,57.58,262,455
101,0,27939,Matt McQuillan,57.57,213,370
102,0,12510,Chad Campbell,57.54,290,504
103,0,27963,Chris Stroud,57.31,286,499
104,0,26881,Jarrod Lyle,57.30,310,541
105,0,06567,Vijay Singh,57.23,273,477
106,0,24925,Jonathan Byrd,57.20,290,507
107,0,20229,Stewart Cink,57.08,242,424
108,0,07457,Steve Flesch,57.00,346,607
109,0,21949,Joe Ogilvie,56.98,257,451
110,0,26300,Matt Jones,56.96,274,481
111,0,20472,Alex Cejka,56.94,205,360
112,0,23409,James Driscoll,56.91,243,427
113,0,12652,Cameron Beckman,56.76,252,444
114,0,23548,Bill Lunde,56.70,275,485
115,0,24980,Scott Gutschewski,56.68,225,397
115,0,27974,Sung Kang,56.68,212,374
117,0,24846,Ricky Barnes,56.60,266,470
118,0,31557,Jim Herman,56.53,199,352
119,0,34255,Joseph Bramlett,56.51,230,407
120,0,25562,Andres Romero,56.48,279,494
121,0,32640,Troy Merritt,56.35,222,394
122,0,24138,Ian Poulter,56.33,178,316
123,0,22913,John Rollins,56.28,260,462
124,0,24490,George McNeill,56.23,221,393
125,0,33141,Keegan Bradley,56.18,300,534
126,0,23353,J.J. Henry,56.03,288,514
127,0,27770,Camilo Villegas,55.99,257,459
128,0,20098,Stuart Appleby,55.90,251,449
129,0,08725,Tom Gillis,55.86,186,333
130,0,06643,Paul Goydos,55.79,289,518
131,0,21407,Arjun Atwal,55.65,335,602
132,0,27120,Troy Matteson,55.58,299,538
133,0,30750,Tommy Gainey,55.39,329,594
134,0,23497,Tag Ridings,55.37,294,531
135,0,30711,Colt Knost,55.34,280,506
136,0,25457,Alexandre Rocha,55.21,180,326
