RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,AVERAGE DISTANCE (YARDS),AVERAGE CLUB HEAD SPEED,TOTAL ATTEMPTS,HIGHEST DIST. EFFICIENCY
1,0,21753,Brian Davis,2.680,285.117,106.395,87,0223903135
2,0,22293,Heath Slocum,2.674,283.774,106.129,74,0222503034
3,0,21878,Mark Wilson,2.670,287.308,107.609,75,0221603035
4,0,02206,David Toms,2.666,283.289,106.241,58,0226503135
5,0,24781,Hunter Mahan,2.659,297.203,111.763,74,0162703107
6,0,26758,David Hearn,2.653,295.086,111.215,66,0223803098
7,0,23623,Bo Van Pelt,2.651,301.786,113.853,67,0225502970
8,0,26476,Chez Reavie,2.648,292.342,110.412,73,0218202973
9,0,30926,Chris Kirk,2.647,296.274,111.918,75,0217703009
9,0,28620,Aron Price,2.647,280.978,106.156,43,0215702999
11,0,24507,Jason Bohn,2.643,288.005,108.984,65,0235703057
12,0,21949,Joe Ogilvie,2.639,293.124,111.082,52,0221902903
13,0,27933,John Merrick,2.636,291.220,110.483,56,0232003163
14,0,19846,Brian Gay,2.632,272.154,103.393,71,0205302964
15,0,27770,Camilo Villegas,2.631,297.502,113.088,52,0187003062
16,0,20472,Alex Cejka,2.630,282.879,107.550,43,0230002929
16,0,10809,Jim Furyk,2.630,285.921,108.707,65,0208703025
18,0,27649,Brandt Snedeker,2.629,290.333,110.451,67,0207402921
19,0,25345,Carl Pettersson,2.628,291.505,110.915,84,0163803141
20,0,27936,Martin Laird,2.626,308.901,117.653,60,0229203019
21,0,20127,Chris Riley,2.625,282.357,107.556,57,0218203049
22,0,32102,Rickie Fowler,2.624,300.504,114.526,65,0203503068
22,0,29420,Billy Horschel,2.624,292.279,111.380,57,0219402967
24,0,08537,J.P. Hayes,2.622,283.017,107.952,40,0198803114
25,0,10885,Robert Allenby,2.619,293.657,112.113,65,0159002983
25,0,01313,Steve Elkington,2.619,284.558,108.638,35,0224602814
27,0,21407,Arjun Atwal,2.618,285.215,108.938,73,0222503005
27,0,24024,Zach Johnson,2.618,279.904,106.915,67,0225202956
27,0,06527,Steve Stricker,2.618,290.429,110.936,56,0233102997
30,0,21805,Harrison Frazar,2.616,302.660,115.715,39,0229303266
30,0,24358,Robert Garrigus,2.616,318.892,121.890,52,0223203199
32,0,27141,J.B. Holmes,2.615,327.568,125.248,41,0230302925
33,0,23325,Vaughn Taylor,2.613,283.901,108.655,75,0226303177
34,0,24290,D.J. Brigman,2.611,289.158,110.761,45,0199403005
35,0,20436,Garrett Willis,2.610,279.342,107.028,46,0223102917
36,0,10505,Shane Bertsch,2.609,281.493,107.892,44,0203303033
37,0,12652,Cameron Beckman,2.608,287.235,110.154,58,0194502916
37,0,28089,Jason Day,2.608,305.246,117.024,47,0218202966
37,0,25240,D.A. Points,2.608,287.360,110.202,67,0216303013
37,0,27330,Josh Teater,2.608,301.904,115.747,68,0183603015
41,0,23548,Bill Lunde,2.607,293.592,112.597,74,0231903141
42,0,22348,Nick O'Hern,2.606,272.427,104.554,61,0227402846
