RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SMASH FACTOR,TOTAL ATTEMPTS,HIGHEST VALUE,LOWEST VALUE
1,0,21407,Arjun Atwal,1.485,108.394,73,1.500,1.469
1,0,10505,Shane Bertsch,1.485,65.340,44,1.485,1.485
1,0,24507,Jason Bohn,1.485,96.497,65,1.485,1.467
1,0,01313,Steve Elkington,1.485,51.969,35,1.487,1.481
1,0,21805,Harrison Frazar,1.485,57.898,39,1.485,1.475
1,0,31557,Jim Herman,1.485,68.310,46,1.485,1.485
1,0,27936,Martin Laird,1.485,89.070,60,1.485,1.465
1,0,27939,Matt McQuillan,1.485,54.932,37,1.500,1.463
1,0,22348,Nick O'Hern,1.485,90.590,61,1.490,1.485
1,0,21949,Joe Ogilvie,1.485,77.235,52,1.500,1.485
1,0,25345,Carl Pettersson,1.485,124.720,84,1.485,1.473
1,0,02206,David Toms,1.485,86.130,58,1.485,1.485
1,0,20436,Garrett Willis,1.485,68.310,46,1.485,1.485
14,0,10885,Robert Allenby,1.484,96.473,65,1.485,1.455
14,0,23614,Rich Beem,1.484,62.328,42,1.485,1.449
14,0,24290,D.J. Brigman,1.484,66.801,45,1.495,1.455
14,0,25686,Jason Dufner,1.484,91.993,62,1.500,1.455
14,0,30750,Tommy Gainey,1.484,123.181,83,1.485,1.463
14,0,24358,Robert Garrigus,1.484,77.186,52,1.485,1.461
14,0,29720,Andres Gonzales,1.484,60.851,41,1.485,1.451
14,0,20766,Padraig Harrington,1.484,56.394,38,1.485,1.463
14,0,08537,J.P. Hayes,1.484,59.366,40,1.485,1.463
14,0,25444,Justin Hicks,1.484,59.366,40,1.485,1.475
14,0,30926,Chris Kirk,1.484,111.295,75,1.485,1.459
14,0,30711,Colt Knost,1.484,87.540,59,1.485,1.470
14,0,26851,Marc Leishman,1.484,111.301,75,1.490,1.453
14,0,10860,Justin Leonard,1.484,93.497,63,1.485,1.469
14,0,01797,Rocco Mediate,1.484,65.298,44,1.485,1.443
14,0,27933,John Merrick,1.484,83.077,56,1.500,1.467
14,0,28475,Jeff Overton,1.484,105.379,71,1.485,1.467
14,0,23320,Ryan Palmer,1.484,90.533,61,1.485,1.469
14,0,32876,Martin Piller,1.484,65.274,44,1.485,1.451
14,0,24138,Ian Poulter,1.484,59.350,40,1.485,1.449
14,0,28620,Aron Price,1.484,63.798,43,1.485,1.463
14,0,26476,Chez Reavie,1.484,108.319,73,1.485,1.449
14,0,20127,Chris Riley,1.484,84.583,57,1.485,1.455
14,0,22293,Heath Slocum,1.484,109.802,74,1.485,1.461
14,0,27649,Brandt Snedeker,1.484,99.457,67,1.485,1.449
14,0,23325,Vaughn Taylor,1.484,111.303,75,1.485,1.465
14,0,26287,Roland Thatcher,1.484,72.699,49,1.485,1.461
14,0,32150,Michael Thompson,1.484,80.156,54,1.485,1.471
14,0,27770,Camilo Villegas,1.484,77.185,52,1.490,1.449
43,0,20472,Alex Cejka,1.483,63.775,43,1.485,1.449
43,0,23541,Ben Crane,1.483,88.978,60,1.485,1.457
43,0,21753,Brian Davis,1.483,129.063,87,1.485,1.449
43,0,09011,David Duval,1.483,72.685,49,1.485,1.453
43,0,26758,David Hearn,1.483,97.856,66,1.485,1.453
43,0,27141,J.B. Holmes,1.483,60.795,41,1.485,1.449
43,0,06573,Brandt Jobe,1.483,102.333,69,1.485,1.457
43,0,26300,Matt Jones,1.483,77.092,52,1.485,1.461
43,0,27974,Sung Kang,1.483,57.822,39,1.490,1.449
43,0,27466,Spencer Levin,1.483,127.541,86,1.490,1.451
43,0,23548,Bill Lunde,1.483,109.776,74,1.485,1.459
43,0,26881,Jarrod Lyle,1.483,87.525,59,1.485,1.459
43,0,24781,Hunter Mahan,1.483,109.746,74,1.485,1.449
43,0,24490,George McNeill,1.483,78.579,53,1.485,1.457
43,0,25818,Scott Piercy,1.483,77.104,52,1.485,1.435
43,0,25240,D.A. Points,1.483,99.353,67,1.485,1.449
43,0,25457,Alexandre Rocha,1.483,57.833,39,1.485,1.455
43,0,22913,John Rollins,1.483,103.804,70,1.485,1.451
43,0,08375,Paul Stankowski,1.483,84.514,57,1.485,1.455
43,0,29518,Brendan Steele,1.483,105.309,71,1.485,1.457
43,0,06527,Steve Stricker,1.483,83.042,56,1.485,1.455
43,0,27963,Chris Stroud,1.483,108.247,73,1.485,1.455
43,0,23623,Bo Van Pelt,1.483,99.391,67,1.485,1.437
43,0,25632,Jimmy Walker,1.483,84.510,57,1.485,1.447
43,0,27095,Nick Watney,1.483,94.910,64,1.485,1.461
68,0,01116,Michael Bradley,1.482,80.038,54,1.485,1.449
68,0,06522,Ernie Els,1.482,78.526,53,1.490,1.449
68,0,10809,Jim Furyk,1.482,96.319,65,1.485,1.449
68,0,12782,Tim Herron,1.482,96.355,65,1.485,1.457
68,0,29718,Anthony Kim,1.482,88.896,60,1.485,1.457
68,0,23108,Matt Kuchar,1.482,106.696,72,1.485,1.449
68,0,28158,Steve Marino,1.482,96.360,65,1.490,1.449
68,0,31202,William McGirt,1.482,125.935,85,1.485,1.427
68,0,32640,Troy Merritt,1.482,69.633,47,1.485,1.451
68,0,26596,Ryan Moore,1.482,85.936,58,1.485,1.449
68,0,25562,Andres Romero,1.482,94.829,64,1.485,1.372
68,0,23621,Rory Sabbatini,1.482,80.042,54,1.485,1.441
68,0,27330,Josh Teater,1.482,100.808,68,1.485,1.449
81,0,20070,Matt Bettencourt,1.481,102.205,69,1.485,1.455
81,0,34255,Joseph Bramlett,1.481,74.054,50,1.485,1.445
81,0,20593,Greg Chalmers,1.481,99.233,67,1.485,1.443
81,0,32102,Rickie Fowler,1.481,96.263,65,1.485,1.453
81,0,29420,Billy Horschel,1.481,84.437,57,1.485,1.449
81,0,24024,Zach Johnson,1.481,99.239,67,1.485,1.449
81,0,27797,Derek Lamely,1.481,66.659,45,1.485,1.431
81,0,01706,Davis Love III,1.481,57.755,39,1.485,1.455
81,0,23800,Bryce Molder,1.481,88.832,60,1.493,1.449
81,0,31193,Jim Renner,1.481,71.092,48,1.485,1.449
81,0,23497,Tag Ridings,1.481,90.361,61,1.485,1.453
81,0,24502,Adam Scott,1.481,69.591,47,1.485,1.449
81,0,29221,Webb Simpson,1.481,125.869,85,1.485,1.455
81,0,06567,Vijay Singh,1.481,106.608,72,1.485,1.449
81,0,30110,Kyle Stanley,1.481,103.686,70,1.485,1.459
96,0,20098,Stuart Appleby,1.480,87.337,59,1.485,1.443
96,0,22371,Aaron Baddeley,1.480,84.357,57,1.485,1.445
96,0,24925,Jonathan Byrd,1.480,100.624,68,1.490,1.439
96,0,12510,Chad Campbell,1.480,112.484,76,1.485,1.451
96,0,20229,Stewart Cink,1.480,68.101,46,1.485,1.449
96,0,23673,Michael Connell,1.480,100.652,68,1.485,1.449
96,0,19846,Brian Gay,1.480,105.053,71,1.485,1.447
96,0,20157,Retief Goosen,1.480,56.234,38,1.485,1.453
96,0,12716,Charley Hoffman,1.480,109.492,74,1.485,1.445
96,0,21961,Charles Howell III,1.480,124.334,84,1.485,1.441
96,0,01577,Lee Janzen,1.480,62.174,42,1.485,1.451
96,0,01810,Phil Mickelson,1.480,75.479,51,1.485,1.449
96,0,24140,Sean O'Hair,1.480,66.599,45,1.485,1.449
96,0,01948,Tim Petrovic,1.480,99.171,67,1.485,1.451
110,0,29910,Blake Adams,1.479,116.843,79,1.485,1.451
110,0,28089,Jason Day,1.479,69.503,47,1.485,1.429
110,0,06643,Paul Goydos,1.479,94.651,64,1.500,1.449
110,0,24604,Hunter Haas,1.479,112.427,76,1.485,1.447
110,0,29478,Kevin Kisner,1.479,73.942,50,1.485,1.455
110,0,22961,David Mathis,1.479,81.349,55,1.485,1.439
110,0,22046,Geoff Ogilvy,1.479,76.896,52,1.485,1.453
110,0,33911,Nate Smith,1.479,66.577,45,1.485,1.429
110,0,25804,Bubba Watson,1.479,82.816,56,1.485,1.449
119,0,12652,Cameron Beckman,1.478,85.747,58,1.500,1.449
119,0,07457,Steve Flesch,1.478,90.147,61,1.485,1.415
119,0,24924,Bill Haas,1.478,100.510,68,1.485,1.449
119,0,19970,Robert Karlsson,1.478,60.583,41,1.485,1.433
119,0,27120,Troy Matteson,1.478,106.425,72,1.485,1.451
119,0,30946,Alex Prugh,1.478,90.159,61,1.485,1.449
119,0,28486,Michael Putnam,1.478,68.002,46,1.485,1.451
119,0,21878,Mark Wilson,1.478,110.861,75,1.485,1.437
127,0,20848,Ángel Cabrera,1.477,42.822,29,1.485,1.429
127,0,24357,K.J. Choi,1.477,88.602,60,1.485,1.435
127,0,28679,Fabián Gómez,1.477,69.439,47,1.485,1.443
127,0,24980,Scott Gutschewski,1.477,65.000,44,1.485,1.417
127,0,30925,Dustin Johnson,1.477,69.431,47,1.485,1.441
127,0,33413,Ben Martin,1.477,66.453,45,1.485,1.449
127,0,06515,Shaun Micheel,1.477,78.291,53,1.485,1.401
127,0,20572,Rod Pampling,1.477,69.441,47,1.485,1.455
127,0,26331,Charl Schwartzel,1.477,51.703,35,1.485,1.437
127,0,34072,Will Strickler,1.477,50.220,34,1.485,1.350
127,0,27064,Jhonattan Vegas,1.477,94.532,64,1.485,1.443
138,0,33141,Keegan Bradley,1.476,94.454,64,1.485,1.449
138,0,23638,Brendon de Jonge,1.476,129.878,88,1.485,1.439
140,0,32698,Bobby Gates,1.475,82.600,56,1.485,1.399
140,0,01766,Billy Mayfair,1.475,116.552,79,1.500,1.437
140,0,25834,Daniel Summerhays,1.475,82.584,56,1.485,1.399
143,0,07867,Woody Austin,1.474,61.899,42,1.500,1.401
143,0,06621,Joe Durant,1.474,75.175,51,1.485,1.437
143,0,22378,Trevor Immelman,1.474,81.070,55,1.485,1.421
143,0,20645,John Senden,1.474,116.468,79,1.490,1.385
147,0,10733,Kent Jones,1.473,83.951,57,1.485,1.441
147,0,25572,Graeme McDowell,1.473,54.483,37,1.485,1.419
147,0,26679,Kevin Stadler,1.473,89.848,61,1.485,1.383
147,0,27214,Kevin Streelman,1.473,91.344,62,1.485,1.449
147,0,26668,Marc Turnesa,1.473,51.553,35,1.485,1.437
152,0,06004,Stephen Ames,1.472,72.119,49,1.485,1.393
152,0,23353,J.J. Henry,1.472,110.415,75,1.485,1.427
152,0,21731,Freddie Jacobson,1.472,95.710,65,1.493,1.445
152,0,30692,Scott Stallings,1.472,98.653,67,1.485,1.377
152,0,20160,Charlie Wi,1.472,98.633,67,1.485,1.405
152,0,24663,Y.E. Yang,1.472,61.816,42,1.485,1.397
158,0,25900,Lucas Glover,1.471,83.852,57,1.485,1.421
158,0,21350,Ryuji Imada,1.471,110.357,75,1.485,1.427
160,0,28087,Kris Blanks,1.470,111.710,76,1.485,1.421
160,0,25274,Steven Bowditch,1.470,95.545,65,1.485,1.425
160,0,23718,Nathan Green,1.470,80.869,55,1.485,1.417
160,0,31323,Gary Woodland,1.470,77.927,53,1.485,1.429
164,0,06251,Chris DiMarco,1.469,107.232,73,1.485,1.445
164,0,23409,James Driscoll,1.469,79.318,54,1.485,1.393
164,0,26420,Richard Johnson,1.469,70.505,48,1.500,1.381
164,0,31401,Zack Miller,1.469,77.843,53,1.485,1.393
168,0,22621,Ben Curtis,1.468,83.663,57,1.485,1.399
168,0,23788,D.J. Trahan,1.468,110.093,75,1.485,1.441
168,0,33419,Cameron Tringale,1.468,127.687,87,1.485,1.423
168,0,26289,Boo Weekley,1.468,71.935,49,1.485,1.399
172,0,20498,Briny Baird,1.467,58.680,40,1.485,1.437
172,0,25396,Kevin Na,1.467,71.899,49,1.485,1.439
172,0,26951,Johnson Wagner,1.467,102.684,70,1.485,1.441
172,0,12602,Dean Wilson,1.467,73.344,50,1.485,1.431
176,0,21209,Sergio Garcia,1.466,63.057,43,1.485,1.395
176,0,35087,Bio Kim,1.466,70.360,48,1.485,1.431
178,0,23983,Luke Donald,1.465,70.312,48,1.485,1.443
178,0,08725,Tom Gillis,1.465,71.769,49,1.485,1.417
178,0,08075,Jerry Kelly,1.465,98.129,67,1.485,1.415
181,0,32366,Kevin Chappell,1.464,80.495,55,1.485,1.391
182,0,24846,Ricky Barnes,1.463,83.372,57,1.485,1.377
182,0,11123,Chris Couch,1.463,73.160,50,1.487,1.387
184,0,10585,Scott McCarron,1.462,68.719,47,1.485,1.377
185,0,22405,Justin Rose,1.454,93.036,64,1.485,1.375
186,0,24361,Pat Perez,1.450,88.421,61,1.485,1.372
