RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
1,0,23621,Rory Sabbatini,.11,6,54
2,0,21209,Sergio Garcia,.06,3,51
3,0,20472,Alex Cejka,.04,3,67
3,0,25900,Lucas Glover,.04,3,75
3,0,28092,D.H. Lee,.04,2,57
6,0,20098,Stuart Appleby,.03,2,69
6,0,25364,Paul Casey,.03,2,74
6,0,29720,Andres Gonzales,.03,2,78
6,0,34563,Chesson Hadley,.03,2,79
6,0,34098,Russell Henley,.03,2,76
6,0,33461,Morgan Hoffmann,.03,2,67
6,0,35532,Tom Hoge,.03,2,77
6,0,37454,Whee Kim,.03,2,78
6,0,33122,Russell Knox,.03,3,89
6,0,27129,Luke List,.03,2,77
6,0,28158,Steve Marino,.03,2,68
6,0,29223,Sam Saunders,.03,2,65
6,0,35891,Cameron Smith,.03,2,69
6,0,34046,Jordan Spieth,.03,2,76
6,0,27963,Chris Stroud,.03,2,80
6,0,34264,Hudson Swafford,.03,3,104
6,0,32150,Michael Thompson,.03,2,68
23,0,24461,Thomas Aiken,.02,1,66
23,0,29479,Scott Brown,.02,2,88
23,0,27436,Graham DeLaet,.02,1,66
23,0,25686,Jason Dufner,.02,2,102
23,0,06522,Ernie Els,.02,1,66
23,0,37273,Derek Ernst,.02,1,57
23,0,31416,Derek Fathauer,.02,2,94
23,0,24358,Robert Garrigus,.02,1,65
23,0,32618,Rhein Gibson,.02,1,54
23,0,24924,Bill Haas,.02,2,82
23,0,23353,J.J. Henry,.02,1,66
23,0,27747,Hiroshi Iwata,.02,2,83
23,0,23108,Matt Kuchar,.02,2,96
23,0,33410,Andrew Landry,.02,1,49
23,0,34261,Scott Langley,.02,1,63
23,0,29461,Jamie Lovemark,.02,2,91
23,0,24781,Hunter Mahan,.02,1,61
23,0,28237,Rory McIlroy,.02,1,62
23,0,24490,George McNeill,.02,1,51
23,0,25396,Kevin Na,.02,2,93
23,0,22046,Geoff Ogilvy,.02,1,59
23,0,26329,Louis Oosthuizen,.02,1,56
23,0,27942,Rob Oppenheim,.02,1,63
23,0,20691,Greg Owen,.02,2,81
23,0,20572,Rod Pampling,.02,1,50
23,0,25240,D.A. Points,.02,1,51
23,0,10213,Dicky Pride,.02,1,53
23,0,27214,Kevin Streelman,.02,2,82
23,0,31560,Brian Stuard,.02,1,66
23,0,37189,Harold Varner III,.02,2,92
23,0,31323,Gary Woodland,.02,2,91
54,0,29745,Tyler Aldridge,.01,1,79
54,0,33141,Keegan Bradley,.01,1,82
54,0,34262,Jon Curran,.01,1,99
54,0,28089,Jason Day,.01,1,69
54,0,23638,Brendon de Jonge,.01,1,81
54,0,29725,Tony Finau,.01,1,95
54,0,28679,Fabián Gómez,.01,1,79
54,0,31646,Emiliano Grillo,.01,1,90
54,0,33399,Adam Hadwin,.01,1,93
54,0,32448,James Hahn,.01,1,85
54,0,27644,Brian Harman,.01,1,104
54,0,29420,Billy Horschel,.01,1,70
54,0,34174,John Huh,.01,1,85
54,0,24024,Zach Johnson,.01,1,86
54,0,27974,Sung Kang,.01,1,87
54,0,08075,Jerry Kelly,.01,1,76
54,0,30711,Colt Knost,.01,1,86
54,0,30944,Jason Kokrak,.01,1,89
54,0,31420,Anirban Lahiri,.01,1,69
54,0,29926,Danny Lee,.01,1,90
54,0,34409,David Lingmerth,.01,1,81
54,0,24912,Will MacKenzie,.01,1,80
54,0,33413,Ben Martin,.01,1,88
54,0,31202,William McGirt,.01,1,98
54,0,23320,Ryan Palmer,.01,1,86
54,0,34360,Patrick Reed,.01,1,101
54,0,26331,Charl Schwartzel,.01,1,70
54,0,20645,John Senden,.01,1,86
54,0,29221,Webb Simpson,.01,1,70
54,0,06567,Vijay Singh,.01,1,72
54,0,33418,Shawn Stefani,.01,1,87
54,0,33448,Justin Thomas,.01,1,96
54,0,33419,Cameron Tringale,.01,1,77
54,0,28132,Tyrone Van Aswegen,.01,1,102
54,0,25632,Jimmy Walker,.01,1,82
54,0,26289,Boo Weekley,.01,1,83
