RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,1ST,2ND,3RD
1,0,46046,Scottie Scheffler,16,7,2,1
2,0,48081,Xander Schauffele,15,2,3,1
3,0,51634,Sahith Theegala,9,0,2,1
4,0,52955,Ludvig Åberg,8,0,3,0
4,0,47504,Sam Burns,8,0,1,1
4,0,51766,Wyndham Clark,8,1,2,1
4,0,39971,Sungjae Im,8,0,0,1
4,0,50525,Collin Morikawa,8,0,2,1
9,0,34098,Russell Henley,7,0,0,0
9,0,29420,Billy Horschel,7,1,1,0
9,0,33204,Shane Lowry,7,1,0,1
9,0,32839,Hideki Matsuyama,7,2,0,0
9,0,28237,Rory McIlroy,7,2,1,1
9,0,40250,Taylor Pendrith,7,1,0,0
15,0,51977,Max Greyserman,6,0,3,0
15,0,35506,Mackenzie Hughes,6,0,0,1
15,0,52215,Robert MacIntyre,6,2,0,0
15,0,46442,Maverick McNealy,6,1,0,1
15,0,49771,J.T. Poston,6,1,0,0
15,0,46414,Aaron Rai,6,1,1,0
15,0,33448,Justin Thomas,6,0,1,1
15,0,57366,Cameron Young,6,0,1,0
23,0,33948,Byeong Hun An,5,0,1,1
23,0,47591,Eric Cole,5,0,0,0
23,0,29725,Tony Finau,5,0,1,1
23,0,54576,Patrick Fishburn,5,0,0,2
23,0,54591,Ben Griffin,5,0,1,0
23,0,33399,Adam Hadwin,5,0,0,1
23,0,40162,Justin Lower,5,0,1,1
23,0,51997,Andrew Novak,5,0,1,0
23,0,36699,Patrick Rodgers,5,0,0,0
23,0,24502,Adam Scott,5,0,2,0
23,0,58168,Davis Thompson,5,1,2,0
23,0,45242,Kevin Yu,5,1,0,1
35,0,35450,Patrick Cantlay,4,0,0,2
35,0,66743,Luke Clanton,4,0,2,0
35,0,39997,Corey Conners,4,0,0,0
35,0,28089,Jason Day,4,0,0,0
35,0,33653,Thomas Detry,4,0,1,0
35,0,59866,Nick Dunlap,4,2,0,0
35,0,51349,Nico Echavarria,4,1,1,0
35,0,34099,Harris English,4,0,0,0
35,0,30911,Tommy Fleetwood,4,0,0,1
35,0,51696,Rico Hoey,4,0,1,1
35,0,35532,Tom Hoge,4,0,0,1
35,0,36799,Stephan Jaeger,4,1,1,2
35,0,48117,Kurt Kitayama,4,0,0,0
35,0,47420,Jake Knapp,4,1,0,1
35,0,32791,K.H. Lee,4,0,0,0
35,0,36326,David Lipsky,4,0,1,0
35,0,47993,Denny McCarthy,4,0,1,0
35,0,39546,Keith Mitchell,4,0,0,1
35,0,27349,Alex Noren,4,0,0,1
35,0,48153,Matthieu Pavon,4,1,0,1
35,0,51890,Greyson Sigg,4,0,0,0
35,0,39324,J.J. Spaun,4,0,0,1
35,0,50484,Hayden Springer,4,0,0,1
35,0,55893,Sam Stevens,4,0,0,0
35,0,49960,Sepp Straka,4,0,0,0
35,0,40006,Erik van Rooyen,4,0,1,0
61,0,45522,Christiaan Bezuidenhout,3,0,1,0
61,0,56630,Akshay Bhatia,3,1,1,0
61,0,33141,Keegan Bradley,3,1,2,0
61,0,47959,Bryson DeChambeau,3,1,1,0
61,0,57362,Austin Eckroat,3,2,0,0
61,0,40098,Matt Fitzpatrick,3,0,0,0
61,0,29936,Ryan Fox,3,0,0,0
61,0,27644,Brian Harman,3,0,1,0
61,0,60067,Joe Highsmith,3,0,0,0
61,0,12716,Charley Hoffman,3,0,1,0
61,0,39977,Max Homa,3,0,0,1
