RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,24924,Bill Haas,62.15,110,177,+27.00
2,0,10423,Mike Weir,61.95,70,113,+33.00
3,0,06567,Vijay Singh,61.36,81,132,+40.00
4,0,01810,Phil Mickelson,61.27,87,142,+35.00
5,0,20160,Charlie Wi,61.02,72,118,+26.00
6,0,23135,Tim Clark,60.98,75,123,+43.00
7,0,10860,Justin Leonard,60.58,83,137,+47.00
8,0,29289,S.Y. Noh,60.28,85,141,+33.00
9,0,27895,Jonas Blixt,59.29,67,113,+31.00
10,0,19846,Brian Gay,59.18,87,147,+56.00
10,0,22293,Heath Slocum,59.18,58,98,+21.00
12,0,20157,Retief Goosen,59.15,84,142,+37.00
13,0,20645,John Senden,59.01,95,161,+36.00
14,0,34360,Patrick Reed,58.97,92,156,+55.00
15,0,30927,Brendon Todd,58.24,106,182,+60.00
16,0,22405,Justin Rose,58.16,57,98,+17.00
17,0,20593,Greg Chalmers,58.08,97,167,+65.00
18,0,30926,Chris Kirk,57.89,99,171,+35.00
19,0,34046,Jordan Spieth,57.64,117,203,+54.00
20,0,28089,Jason Day,57.30,51,89,+16.00
21,0,26851,Marc Leishman,56.94,82,144,+46.00
22,0,33461,Morgan Hoffmann,56.89,95,167,+47.00
22,0,25396,Kevin Na,56.89,95,167,+48.00
24,0,35139,Richard Lee,56.83,79,139,+43.00
25,0,25720,Chad Collins,56.52,78,138,+44.00
26,0,21209,Sergio Garcia,56.36,62,110,+12.00
27,0,25191,Gonzalo Fernandez-Castaño,56.34,80,142,+44.00
27,0,23108,Matt Kuchar,56.34,80,142,+36.00
29,0,21753,Brian Davis,56.22,104,185,+67.00
30,0,23409,James Driscoll,55.97,75,134,+43.00
31,0,34261,Scott Langley,55.63,84,151,+54.00
32,0,21961,Charles Howell III,55.32,78,141,+35.00
33,0,33122,Russell Knox,55.20,69,125,+37.00
34,0,25349,Tim Wilkinson,55.07,76,138,+56.00
35,0,26758,David Hearn,54.88,90,164,+51.00
36,0,26331,Charl Schwartzel,54.78,63,115,+30.00
