RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,21099,David Lynn,10.81,865000,8000000
2,0,28237,Rory McIlroy,6.54,8047951,123000000
3,0,08793,Tiger Woods,4.31,6133157,142400000
4,0,25804,Bubba Watson,3.36,4644994,138400000
5,0,27649,Brandt Snedeker,3.22,4989737,155200000
6,0,25686,Jason Dufner,3.11,4869302,156500000
7,0,22405,Justin Rose,3.03,4290929,141400000
8,0,23983,Luke Donald,2.71,3512022,129400000
9,0,01810,Phil Mickelson,2.65,4203820,158500000
10,0,24024,Zach Johnson,2.60,4504243,173400000
11,0,20396,Lee Westwood,2.57,3016569,117200000
12,0,30925,Dustin Johnson,2.48,3393820,136600000
13,0,23108,Matt Kuchar,2.46,3903064,158800000
14,0,26329,Louis Oosthuizen,2.45,3460992,141300000
14,0,06527,Steve Stricker,2.45,3420021,139400000
16,0,24781,Hunter Mahan,2.41,4019192,166800000
17,0,24502,Adam Scott,2.32,2899555,124800000
18,0,06522,Ernie Els,2.25,3453116,153300000
19,0,29221,Webb Simpson,2.24,3436757,153300000
20,0,33141,Keegan Bradley,2.19,3910657,178200000
21,0,10809,Jim Furyk,2.17,3623801,167300000
22,0,22621,Ben Curtis,2.09,2494151,119500000
23,0,21209,Sergio Garcia,2.08,2510115,120700000
24,0,26497,Casey Wittenberg,2.04,163594,8000000
25,0,25345,Carl Pettersson,2.03,3538653,174600000
26,0,25572,Graeme McDowell,2.00,2408278,120700000
27,0,24358,Robert Garrigus,1.89,3206527,169400000
28,0,32102,Rickie Fowler,1.84,3066291,167000000
28,0,26596,Ryan Moore,1.84,2858942,155500000
30,0,27895,Jonas Blixt,1.83,2255693,123300000
31,0,22792,Peter Hanson,1.78,1511220,84900000
31,0,23623,Bo Van Pelt,1.78,3043506,171300000
33,0,27095,Nick Watney,1.68,3044221,181400000
34,0,35539,Luke Guthrie,1.56,284672,18200000
35,0,34174,John Huh,1.50,2692112,179400000
36,0,24138,Ian Poulter,1.49,1715270,115500000
37,0,25818,Scott Piercy,1.48,2699204,182500000
38,0,24924,Bill Haas,1.44,2349948,163000000
39,0,02294,Willie Wood,1.40,42000,3000000
40,0,27936,Martin Laird,1.38,2172883,157100000
41,0,28307,Matt Every,1.32,1972165,149400000
42,0,02206,David Toms,1.28,1658427,129300000
43,0,30110,Kyle Stanley,1.27,2351856,185200000
44,0,29419,Tadd Fujikawa,1.26,69025,5500000
44,0,20766,Padraig Harrington,1.26,1546269,122500000
46,0,21878,Mark Wilson,1.25,2144778,171000000
47,0,26851,Marc Leishman,1.24,1933759,156000000
48,0,26951,Johnson Wagner,1.23,2225004,180200000
49,0,32334,Charlie Beljan,1.21,1373528,113200000
49,0,29720,Andres Gonzales,1.21,78780,6500000
49,0,20645,John Senden,1.21,1916650,158300000
52,0,10213,Dicky Pride,1.19,1259710,106100000
53,0,25396,Kevin Na,1.18,2029940,171400000
54,0,20160,Charlie Wi,1.14,1845394,162100000
55,0,33968,Thorbjørn Olesen,1.10,176243,16000000
56,0,24925,Jonathan Byrd,1.09,1616789,148100000
56,0,23541,Ben Crane,1.09,1701362,156600000
56,0,23638,Brendon de Jonge,1.09,2015249,185600000
59,0,25369,Jamie Donaldson,1.08,320333,29700000
60,0,23135,Tim Clark,1.06,1407025,133300000
61,0,34021,Bud Cauley,1.04,1774474,171300000
61,0,26679,Kevin Stadler,1.04,1546035,149100000
63,0,24461,Thomas Aiken,1.03,257179,24900000
63,0,23452,Nicolas Colsaerts,1.03,677009,65900000
65,0,20771,Steven Alker,.99,79276,8000000
65,0,26331,Charl Schwartzel,.99,1138844,115300000
67,0,29289,S.Y. Noh,.98,1629749,166500000
68,0,23320,Ryan Palmer,.97,1501213,154000000
69,0,22913,John Rollins,.95,1489154,157300000
70,0,28089,Jason Day,.94,1143231,121300000
71,0,25632,Jimmy Walker,.93,1638417,175400000
72,0,26881,Jarrod Lyle,.91,363685,39900000
73,0,27556,Ted Potter Jr.,.90,1383168,153200000
73,0,32150,Michael Thompson,.90,1408372,157200000
75,0,28475,Jeff Overton,.89,1563667,176400000
75,0,34358,Jonathan Randolph,.89,26700,3000000
75,0,06567,Vijay Singh,.89,1586301,179000000
78,0,25240,D.A. Points,.87,1533358,176500000
78,0,21528,Henrik Stenson,.87,791106,91000000
80,0,08725,Tom Gillis,.86,1238054,144600000
80,0,27408,Martin Kaymer,.86,576356,67000000
80,0,22046,Geoff Ogilvy,.86,1255220,146700000
83,0,20104,Ken Duke,.85,1511624,177000000
84,0,28135,Aaron Watkins,.84,118969,14100000
85,0,30750,Tommy Gainey,.80,1540746,192200000
85,0,27466,Spencer Levin,.80,1283615,159500000
87,0,21731,Freddie Jacobson,.79,953493,121300000
87,0,19958,Miguel Angel Jiménez,.79,386803,49000000
87,0,01706,Davis Love III,.79,989752,125400000
87,0,24140,Sean O'Hair,.79,1160978,147700000
87,0,30692,Scott Stallings,.79,1293737,162800000
92,0,22371,Aaron Baddeley,.78,1215753,155500000
92,0,23353,J.J. Henry,.78,1297800,166300000
94,0,27141,J.B. Holmes,.77,1179504,152200000
94,0,27060,John Mallinger,.77,1146850,148200000
96,0,21753,Brian Davis,.76,1318028,174400000
96,0,12716,Charley Hoffman,.76,1276661,168900000
96,0,30926,Chris Kirk,.76,1197560,158200000
96,0,23800,Bryce Molder,.76,1166113,154400000
96,0,33419,Cameron Tringale,.76,1225734,161600000
101,0,26500,Alejandro Cañizares,.75,129962,17400000
101,0,31557,Jim Herman,.75,105000,14000000
101,0,30852,Ryo Ishikawa,.75,871050,116700000
101,0,29256,James Morrison,.75,60044,8000000
101,0,25834,Daniel Summerhays,.75,1111518,148000000
106,0,27436,Graham DeLaet,.73,1051948,145000000
106,0,19904,Paul Lawrie,.73,360639,49500000
106,0,24490,George McNeill,.73,1119532,153300000
106,0,25562,Andres Romero,.73,970917,133200000
110,0,20691,Greg Owen,.72,1151619,159900000
110,0,24361,Pat Perez,.72,1064049,147400000
112,0,34099,Harris English,.71,1186001,165900000
112,0,25190,Jeff Quinney,.71,43310,6100000
114,0,06197,Michael Allen,.70,121895,17400000
114,0,01226,Fred Couples,.70,188378,26800000
114,0,21961,Charles Howell III,.70,1284574,182500000
114,0,31202,William McGirt,.70,1228942,175000000
114,0,27933,John Merrick,.70,1084626,154000000
119,0,28259,Sangmoon Bae,.68,1165949,171700000
119,0,20593,Greg Chalmers,.68,1166625,172500000
119,0,25198,Francesco Molinari,.68,453961,67000000
122,0,01320,Bob Estes,.67,1009767,149600000
122,0,35541,John Peterson,.67,327091,48700000
124,0,33461,Morgan Hoffmann,.66,53168,8000000
124,0,25336,Alistair Presnell,.66,53168,8000000
126,0,24357,K.J. Choi,.65,969056,148200000
126,0,01948,Tim Petrovic,.65,558862,85400000
128,0,29910,Blake Adams,.64,1234344,192100000
128,0,20157,Retief Goosen,.64,571172,89200000
128,0,23621,Rory Sabbatini,.64,1128819,175200000
131,0,01161,Mark Calcavecchia,.63,124343,19800000
131,0,27644,Brian Harman,.63,1146447,181700000
131,0,26289,Boo Weekley,.63,848346,134000000
134,0,06621,Joe Durant,.62,427677,69100000
134,0,27120,Troy Matteson,.62,1198952,192300000
136,0,21805,Harrison Frazar,.61,730203,119400000
136,0,19846,Brian Gay,.61,960656,156600000
136,0,26758,David Hearn,.61,1012571,164800000
136,0,28308,Troy Kelly,.61,786832,128400000
136,0,29518,Brendan Steele,.61,840964,138800000
141,0,28500,Martin Flores,.60,1035566,173700000
141,0,25321,Lee Slattery,.60,147338,24500000
143,0,01249,John Daly,.59,488503,83200000
143,0,31420,Anirban Lahiri,.59,47123,8000000
145,0,34554,Jung-gon Hwang,.58,17400,3000000
145,0,22400,Hennie Otto,.58,49000,8500000
145,0,27330,Josh Teater,.58,1011428,174000000
145,0,32139,Danny Willett,.58,49000,8500000
149,0,29420,Billy Horschel,.57,486176,85100000
149,0,28300,Joost Luiten,.57,139346,24500000
149,0,07749,Brett Quigley,.57,31857,5600000
149,0,25457,Alexandre Rocha,.57,614658,107600000
149,0,27214,Kevin Streelman,.57,893735,155600000
149,0,27064,Jhonattan Vegas,.57,801801,141100000
155,0,12510,Chad Campbell,.56,895196,158800000
155,0,01761,Len Mattiace,.56,16650,3000000
157,0,27349,Alex Noren,.55,178193,32500000
157,0,27963,Chris Stroud,.55,903568,163600000
159,0,20832,Raphael Jacquelin,.54,86348,16000000
159,0,06078,Esteban Toledo,.54,19980,3700000
161,0,33199,Matteo Manassero,.52,126979,24500000
162,0,24507,Jason Bohn,.51,795548,155300000
162,0,28455,Will Claxton,.51,780966,154600000
162,0,30711,Colt Knost,.51,848196,165500000
162,0,30944,Jason Kokrak,.51,750220,147600000
162,0,26595,Derek Tolan,.51,17780,3500000
167,0,32622,Matthew Baldwin,.50,79999,16000000
167,0,32200,Roberto Castro,.50,755093,151500000
167,0,01928,Corey Pavin,.50,59120,11900000
170,0,10885,Robert Allenby,.49,808926,164600000
170,0,34360,Patrick Reed,.49,302976,62000000
172,0,24846,Ricky Barnes,.48,805403,166900000
172,0,31678,Oliver Bekker,.48,40750,8500000
174,0,36690,Hunter Hamrick,.47,115979,24700000
174,0,26444,Juvic Pagunsan,.47,77839,16500000
176,0,33418,Shawn Stefani,.46,27650,6000000
177,0,23580,Tetsuji Hiratsuka,.45,38000,8500000
177,0,01577,Lee Janzen,.45,258588,58000000
