RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL LEFT ROUGH,POSSIBLE FWYS,RELATIVE TO PAR
1,0,10809,Jim Furyk,7.96,76,955,+0.11
2,0,20104,Ken Duke,8.05,117,1454,-0.06
3,0,02036,Jim Rutledge,8.44,65,770,+0.09
4,0,01388,Robert Gamez,8.45,99,1172,+0.23
5,0,24024,Zach Johnson,8.47,72,850,+0.17
6,0,27963,Chris Stroud,8.63,75,869,+0.09
7,0,01766,Billy Mayfair,8.70,109,1253,+0.25
8,0,01320,Bob Estes,8.77,103,1174,+0.11
9,0,02239,Scott Verplank,8.91,81,909,+0.23
10,0,01142,Bart Bryant,8.94,100,1119,+0.09
11,0,20127,Chris Riley,8.97,69,769,+0.16
12,0,02214,Kirk Triplett,8.99,94,1046,+0.30
13,0,21806,Paul Gow,9.00,83,922,+0.16
14,0,06621,Joe Durant,9.05,98,1083,+0.17
15,0,27060,John Mallinger,9.06,121,1336,+0.14
16,0,19972,José Coceres,9.09,56,616,+0.23
17,0,25892,Steve Wheatcroft,9.13,88,964,+0.09
18,0,21660,Jason Schultz,9.21,76,825,+0.08
19,0,19846,Brian Gay,9.31,134,1439,+0.19
20,0,19803,Ryan Armour,9.32,134,1438,+0.15
21,0,07363,Craig Bowden,9.42,100,1062,+0.07
22,0,21753,Brian Davis,9.44,128,1356,+0.15
23,0,01157,Tom Byrum,9.52,61,641,+0.31
24,0,06643,Paul Goydos,9.54,70,734,+0.24
25,0,10425,Jay Williamson,9.57,67,700,+0.09
26,0,23933,Michael Boyd,9.64,77,799,+0.04
27,0,01313,Steve Elkington,9.65,106,1098,+0.16
28,0,01381,Fred Funk,9.72,72,741,+0.28
29,0,22295,Darron Stiles,9.82,81,825,+0.26
30,0,20691,Greg Owen,9.84,109,1108,+0.13
30,0,22293,Heath Slocum,9.84,133,1351,+0.10
32,0,01928,Corey Pavin,9.85,106,1076,+0.20
33,0,12652,Cameron Beckman,9.88,127,1285,+0.08
34,0,02246,Duffy Waldorf,9.91,93,938,+0.14
35,0,24449,Parker McLachlin,9.95,110,1105,+0.15
36,0,12195,Tom Johnson,9.98,100,1002,+0.25
36,0,08075,Jerry Kelly,9.98,116,1162,+0.18
38,0,01797,Rocco Mediate,10.09,100,991,+0.25
39,0,21646,David Branshaw,10.12,117,1156,+0.21
40,0,08931,Glen Day,10.19,115,1129,+0.14
40,0,10860,Justin Leonard,10.19,127,1246,+0.29
42,0,19824,Craig Barlow,10.21,74,725,+0.19
43,0,27933,John Merrick,10.24,126,1231,+0.10
44,0,12782,Tim Herron,10.26,123,1199,+0.17
45,0,10213,Dicky Pride,10.35,97,937,+0.23
46,0,22806,Doug LaBelle II,10.46,146,1396,+0.23
47,0,26881,Jarrod Lyle,10.50,107,1019,+0.07
48,0,01132,Mark Brooks,10.52,69,656,+0.25
49,0,08123,Jeff Brehaut,10.55,78,739,+0.17
50,0,20574,Mathew Goggin,10.58,137,1295,+0.13
51,0,20623,Gavin Coles,10.63,123,1157,+0.19
52,0,10733,Kent Jones,10.64,144,1354,+0.25
53,0,21959,Ted Purdy,10.66,143,1342,+0.24
54,0,10423,Mike Weir,10.68,100,936,+0.09
55,0,06004,Stephen Ames,10.72,95,886,+0.24
55,0,23788,D.J. Trahan,10.72,145,1352,+0.14
57,0,06515,Shaun Micheel,10.74,114,1061,+0.15
58,0,22212,Craig Lile,10.75,113,1051,+0.21
59,0,22913,John Rollins,10.76,134,1245,+0.10
60,0,01035,Tommy Armour III,10.78,116,1076,+0.16
61,0,24457,Jaco Van Zyl,10.80,74,685,+0.24
62,0,25190,Jeff Quinney,10.84,141,1301,+0.18
63,0,07867,Woody Austin,10.88,135,1241,+0.15
64,0,20634,Peter Lonard,10.90,123,1128,+0.11
65,0,20160,Charlie Wi,10.92,134,1227,+0.12
66,0,23800,Bryce Molder,10.98,83,756,+0.27
67,0,28158,Steve Marino,11.00,154,1400,+0.08
67,0,28475,Jeff Overton,11.00,89,809,+0.04
69,0,11032,Frank Lickliter II,11.01,140,1271,+0.11
70,0,20498,Briny Baird,11.04,171,1549,+0.11
71,0,21633,Steve Allan,11.08,91,821,+0.05
71,0,06197,Michael Allen,11.08,108,975,+0.23
73,0,01941,Tom Pernice Jr.,11.12,143,1286,+0.06
74,0,27120,Troy Matteson,11.14,126,1131,+0.13
75,0,24138,Ian Poulter,11.22,69,615,+0.10
76,0,20645,John Senden,11.24,140,1245,+0.11
77,0,26951,Johnson Wagner,11.31,150,1326,+0.16
78,0,21805,Harrison Frazar,11.32,130,1148,+0.19
79,0,22892,Jason Gore,11.33,136,1200,+0.10
80,0,23613,Rich Barcelo,11.38,124,1090,+0.08
80,0,20859,Anders Hansen,11.38,62,545,+0.31
80,0,29476,Kyle Reifers,11.38,110,967,+0.15
83,0,24290,D.J. Brigman,11.39,94,825,+0.38
84,0,21470,Daisuke Maruyama,11.44,131,1145,+0.16
85,0,01677,Tom Lehman,11.45,86,751,+0.14
86,0,26420,Richard Johnson,11.53,146,1266,+0.16
87,0,07547,Craig Kanada,11.54,166,1438,+0.21
88,0,01707,Steve Lowery,11.55,120,1039,+0.15
89,0,25900,Lucas Glover,11.63,135,1161,+0.09
90,0,21878,Mark Wilson,11.65,131,1124,+0.19
91,0,24925,Jonathan Byrd,11.79,110,933,+0.10
92,0,02101,Joey Sindelar,11.82,120,1015,+0.11
93,0,24490,George McNeill,11.83,143,1209,+0.08
94,0,23108,Matt Kuchar,11.84,131,1106,+0.22
95,0,01473,Todd Hamilton,11.85,109,920,+0.17
96,0,23623,Bo Van Pelt,11.89,169,1421,+0.02
97,0,10117,Bob Heintz,11.90,134,1126,+0.10
98,0,27702,Matt Hendrix,11.99,102,851,+0.12
98,0,21949,Joe Ogilvie,11.99,160,1334,+0.12
100,0,08793,Tiger Woods,12.01,74,616,-0.09
101,0,26596,Ryan Moore,12.05,141,1170,+0.01
102,0,23614,Rich Beem,12.07,130,1077,+0.15
102,0,01948,Tim Petrovic,12.07,175,1450,+0.14
104,0,23322,Brett Wetterich,12.18,128,1051,+0.22
105,0,20105,Jeff Gove,12.19,175,1436,+0.14
105,0,02206,David Toms,12.19,108,886,+0.15
107,0,24924,Bill Haas,12.25,152,1241,+0.11
108,0,25273,Andrew Buckle,12.32,126,1023,+0.15
109,0,23983,Luke Donald,12.35,92,745,+0.13
110,0,26289,Boo Weekley,12.39,147,1186,+0.16
110,0,12602,Dean Wilson,12.39,142,1146,+0.17
112,0,06034,Marco Dawson,12.41,123,991,+0.02
113,0,25396,Kevin Na,12.43,146,1175,+0.11
114,0,22046,Geoff Ogilvy,12.44,112,900,+0.04
115,0,24507,Jason Bohn,12.48,99,793,+0.08
116,0,24140,Sean O'Hair,12.49,154,1233,+0.03
117,0,23621,Rory Sabbatini,12.54,118,941,+0.05
118,0,23349,Charles Warren,12.55,177,1410,+0.10
119,0,20098,Stuart Appleby,12.56,104,828,+0.13
120,0,23353,J.J. Henry,12.59,125,993,+0.17
121,0,01724,Jeff Maggert,12.66,140,1106,+0.20
122,0,08537,J.P. Hayes,12.67,157,1239,+0.09
122,0,20382,Stephen Leaney,12.67,141,1113,+0.18
124,0,08881,Tripp Isenhour,12.71,142,1117,+0.16
125,0,07223,Brian Bateman,12.75,84,659,+0.21
126,0,06595,Kevin Sutherland,12.85,138,1074,+0.11
127,0,01161,Mark Calcavecchia,12.89,142,1102,+0.20
127,0,24781,Hunter Mahan,12.89,142,1102,+0.17
129,0,24912,Will MacKenzie,12.91,173,1340,+0.14
130,0,20572,Rod Pampling,13.01,139,1068,+0.07
131,0,20229,Stewart Cink,13.03,135,1036,+0.09
131,0,23135,Tim Clark,13.03,98,752,+0.09
133,0,27649,Brandt Snedeker,13.04,169,1296,+0.14
134,0,23497,Tag Ridings,13.06,91,697,-0.03
135,0,06527,Steve Stricker,13.12,121,922,+0.20
136,0,23638,Brendon de Jonge,13.13,132,1005,+0.13
137,0,01024,Billy Andrade,13.15,161,1224,+0.11
137,0,06522,Ernie Els,13.15,81,616,+0.07
139,0,24502,Adam Scott,13.16,100,760,+0.11
140,0,24980,Scott Gutschewski,13.17,116,881,+0.20
140,0,12716,Charley Hoffman,13.17,167,1268,+0.07
140,0,12714,Chris Tidland,13.17,101,767,+0.05
143,0,22371,Aaron Baddeley,13.19,126,955,+0.21
144,0,24361,Pat Perez,13.23,129,975,+0.15
145,0,12680,Shigeki Maruyama,13.28,154,1160,+0.17
146,0,21731,Freddie Jacobson,13.31,131,984,+0.03
147,0,12510,Chad Campbell,13.36,146,1093,+0.24
148,0,23325,Vaughn Taylor,13.42,144,1073,+0.15
149,0,29718,Anthony Kim,13.46,159,1181,+0.16
150,0,22621,Ben Curtis,13.56,130,959,+0.33
151,0,25345,Carl Pettersson,13.60,187,1375,+0.15
152,0,20433,Mark Hensby,13.64,150,1100,+0.17
153,0,07457,Steve Flesch,13.65,183,1341,+0.13
154,0,10885,Robert Allenby,13.74,156,1135,+0.01
155,0,22378,Trevor Immelman,13.76,104,756,+0.19
156,0,20472,Alex Cejka,13.80,150,1087,+0.11
157,0,20378,Mathias Grönberg,13.81,183,1325,+0.02
158,0,26882,Michael Sim,13.84,101,730,+0.16
159,0,27095,Nick Watney,13.91,153,1100,+0.12
160,0,12660,Jesper Parnevik,13.93,163,1170,-0.03
161,0,06567,Vijay Singh,13.97,168,1203,+0.07
162,0,20850,Daniel Chopra,13.98,203,1452,E
163,0,26360,Bubba Dickerson,14.05,92,655,+0.24
164,0,01577,Lee Janzen,14.08,118,838,+0.14
165,0,01945,Kenny Perry,14.13,155,1097,+0.14
166,0,06251,Chris DiMarco,14.14,128,905,+0.09
167,0,24358,Robert Garrigus,14.16,188,1328,+0.04
168,0,27770,Camilo Villegas,14.21,142,999,+0.09
169,0,21350,Ryuji Imada,14.32,192,1341,+0.09
170,0,25686,Jason Dufner,14.40,193,1340,+0.08
171,0,02104,Jeff Sluman,14.46,96,664,+0.29
172,0,26679,Kevin Stadler,14.47,176,1216,+0.07
173,0,08375,Paul Stankowski,14.52,97,668,+0.18
174,0,28486,Michael Putnam,14.55,175,1203,+0.19
175,0,23320,Ryan Palmer,14.67,182,1241,+0.19
176,0,24357,K.J. Choi,14.90,148,993,+0.12
177,0,11123,Chris Couch,15.16,161,1062,+0.10
178,0,06373,José María Olazábal,15.21,85,559,+0.18
179,0,25804,Bubba Watson,15.24,157,1030,+0.08
180,0,22405,Justin Rose,15.31,92,601,+0.21
181,0,12705,Cliff Kresge,15.41,230,1493,+0.20
182,0,23718,Nathan Green,15.47,200,1293,+0.06
183,0,20628,Arron Oberholser,15.80,119,753,+0.09
184,0,27141,J.B. Holmes,15.84,153,966,+0.02
185,0,07749,Brett Quigley,16.36,151,923,+0.13
186,0,23048,Eric Axley,16.53,238,1440,+0.20
187,0,01810,Phil Mickelson,16.63,137,824,+0.10
188,0,21961,Charles Howell III,16.75,168,1003,+0.12
189,0,20157,Retief Goosen,17.02,81,476,+0.21
190,0,02223,Bob Tway,18.24,242,1327,+0.10
191,0,21528,Henrik Stenson,18.25,92,504,+0.15
192,0,21209,Sergio Garcia,18.46,144,780,+0.08
193,0,22348,Nick O'Hern,18.62,146,784,+0.16
194,0,01706,Davis Love III,18.63,144,773,+0.10
195,0,01249,John Daly,18.98,141,743,+0.16
196,0,20766,Padraig Harrington,19.08,128,671,+0.01
