RANK,MOVEMENT,PLAYER_ID,PLAYER,RTP SCORE
1,0,25804,Bubba Watson,-.060
2,0,28475,Jeff Overton,-.055
3,0,24138,Ian Poulter,-.024
4,0,20645,John Senden,-.006
5,0,06522,Ernie Els,E
5,0,20766,Padraig Harrington,E
5,0,23322,Brett Wetterich,E
5,0,08793,Tiger Woods,E
9,0,20104,Ken Duke,+.009
9,0,24358,Robert Garrigus,+.009
11,0,23621,Rory Sabbatini,+.012
12,0,20850,Daniel Chopra,+.018
13,0,20628,Arron Oberholser,+.019
14,0,01249,John Daly,+.021
15,0,12660,Jesper Parnevik,+.023
16,0,20472,Alex Cejka,+.030
16,0,29718,Anthony Kim,+.030
18,0,21633,Steve Allan,+.031
18,0,01945,Kenny Perry,+.031
20,0,25345,Carl Pettersson,+.033
20,0,06567,Vijay Singh,+.033
22,0,19824,Craig Barlow,+.036
23,0,23497,Tag Ridings,+.040
24,0,08375,Paul Stankowski,+.045
25,0,20382,Stephen Leaney,+.046
26,0,01810,Phil Mickelson,+.048
27,0,20229,Stewart Cink,+.049
27,0,10809,Jim Furyk,+.049
27,0,22293,Heath Slocum,+.049
30,0,06527,Steve Stricker,+.050
31,0,21753,Brian Davis,+.053
32,0,28158,Steve Marino,+.055
33,0,08123,Jeff Brehaut,+.056
34,0,21949,Joe Ogilvie,+.057
34,0,02223,Bob Tway,+.057
36,0,01766,Billy Mayfair,+.060
37,0,21209,Sergio Garcia,+.061
38,0,12705,Cliff Kresge,+.065
39,0,22046,Geoff Ogilvy,+.066
40,0,07363,Craig Bowden,+.068
40,0,08075,Jerry Kelly,+.068
42,0,27649,Brandt Snedeker,+.070
43,0,06004,Stephen Ames,+.071
43,0,27933,John Merrick,+.071
45,0,01724,Jeff Maggert,+.072
46,0,23623,Bo Van Pelt,+.075
47,0,21805,Harrison Frazar,+.076
47,0,02101,Joey Sindelar,+.076
49,0,01161,Mark Calcavecchia,+.077
50,0,06373,José María Olazábal,+.078
51,0,23353,J.J. Henry,+.079
51,0,23108,Matt Kuchar,+.079
51,0,12602,Dean Wilson,+.079
54,0,01706,Davis Love III,+.080
54,0,27770,Camilo Villegas,+.080
56,0,23788,D.J. Trahan,+.081
57,0,20160,Charlie Wi,+.083
58,0,24140,Sean O'Hair,+.084
59,0,24490,George McNeill,+.085
60,0,23048,Eric Axley,+.087
60,0,24924,Bill Haas,+.087
62,0,28486,Michael Putnam,+.088
63,0,24357,K.J. Choi,+.089
64,0,24980,Scott Gutschewski,+.092
65,0,23135,Tim Clark,+.093
66,0,22348,Nick O'Hern,+.095
67,0,21731,Freddie Jacobson,+.096
68,0,10117,Bob Heintz,+.097
68,0,02239,Scott Verplank,+.097
70,0,21961,Charles Howell III,+.098
70,0,02206,David Toms,+.098
72,0,11123,Chris Couch,+.099
72,0,21350,Ryuji Imada,+.099
74,0,07867,Woody Austin,+.100
75,0,07547,Craig Kanada,+.101
75,0,20634,Peter Lonard,+.101
75,0,12714,Chris Tidland,+.101
78,0,12195,Tom Johnson,+.102
79,0,22371,Aaron Baddeley,+.104
79,0,12652,Cameron Beckman,+.104
81,0,24290,D.J. Brigman,+.105
81,0,20623,Gavin Coles,+.105
81,0,01948,Tim Petrovic,+.105
84,0,02246,Duffy Waldorf,+.106
85,0,06034,Marco Dawson,+.107
85,0,24502,Adam Scott,+.107
87,0,01035,Tommy Armour III,+.108
87,0,26881,Jarrod Lyle,+.108
89,0,23320,Ryan Palmer,+.109
89,0,27095,Nick Watney,+.109
91,0,07223,Brian Bateman,+.110
91,0,01313,Steve Elkington,+.110
91,0,07457,Steve Flesch,+.110
91,0,20574,Mathew Goggin,+.110
91,0,12716,Charley Hoffman,+.110
91,0,25396,Kevin Na,+.110
97,0,06515,Shaun Micheel,+.111
98,0,12782,Tim Herron,+.112
99,0,23614,Rich Beem,+.113
99,0,06621,Joe Durant,+.113
99,0,10860,Justin Leonard,+.113
99,0,21959,Ted Purdy,+.113
103,0,01797,Rocco Mediate,+.114
104,0,06595,Kevin Sutherland,+.115
105,0,20859,Anders Hansen,+.117
106,0,01707,Steve Lowery,+.119
107,0,25273,Andrew Buckle,+.121
108,0,23718,Nathan Green,+.122
109,0,11032,Frank Lickliter II,+.125
110,0,20127,Chris Riley,+.126
111,0,21806,Paul Gow,+.127
112,0,25900,Lucas Glover,+.128
112,0,26679,Kevin Stadler,+.128
114,0,02104,Jeff Sluman,+.131
115,0,27141,J.B. Holmes,+.134
116,0,24361,Pat Perez,+.135
117,0,19846,Brian Gay,+.136
118,0,23613,Rich Barcelo,+.139
119,0,01320,Bob Estes,+.143
119,0,26596,Ryan Moore,+.143
121,0,08931,Glen Day,+.144
121,0,22913,John Rollins,+.144
123,0,06197,Michael Allen,+.145
124,0,22212,Craig Lile,+.146
125,0,01157,Tom Byrum,+.147
125,0,22892,Jason Gore,+.147
125,0,20105,Jeff Gove,+.147
125,0,10733,Kent Jones,+.147
125,0,27120,Troy Matteson,+.147
125,0,01928,Corey Pavin,+.147
131,0,26360,Bubba Dickerson,+.148
132,0,20498,Briny Baird,+.149
132,0,20157,Retief Goosen,+.149
132,0,24912,Will MacKenzie,+.149
132,0,24457,Jaco Van Zyl,+.149
136,0,01388,Robert Gamez,+.150
136,0,08537,J.P. Hayes,+.150
138,0,27060,John Mallinger,+.152
138,0,07749,Brett Quigley,+.152
138,0,26951,Johnson Wagner,+.152
141,0,24449,Parker McLachlin,+.153
141,0,22295,Darron Stiles,+.153
143,0,20433,Mark Hensby,+.155
144,0,23325,Vaughn Taylor,+.156
145,0,20691,Greg Owen,+.157
146,0,20572,Rod Pampling,+.158
147,0,23800,Bryce Molder,+.159
148,0,26289,Boo Weekley,+.167
148,0,25892,Steve Wheatcroft,+.167
150,0,01024,Billy Andrade,+.168
150,0,20098,Stuart Appleby,+.168
152,0,25686,Jason Dufner,+.169
152,0,10425,Jay Williamson,+.169
154,0,01473,Todd Hamilton,+.170
155,0,22405,Justin Rose,+.172
156,0,29476,Kyle Reifers,+.174
157,0,21646,David Branshaw,+.175
158,0,01677,Tom Lehman,+.179
158,0,21878,Mark Wilson,+.179
160,0,21660,Jason Schultz,+.182
161,0,22378,Trevor Immelman,+.186
161,0,26882,Michael Sim,+.186
163,0,10885,Robert Allenby,+.187
164,0,19803,Ryan Armour,+.192
164,0,12680,Shigeki Maruyama,+.192
166,0,01142,Bart Bryant,+.197
166,0,10213,Dicky Pride,+.197
168,0,20378,Mathias Grönberg,+.200
168,0,24781,Hunter Mahan,+.200
170,0,01941,Tom Pernice Jr.,+.201
171,0,26420,Richard Johnson,+.204
172,0,23933,Michael Boyd,+.206
173,0,02036,Jim Rutledge,+.210
174,0,21528,Henrik Stenson,+.212
175,0,27963,Chris Stroud,+.213
176,0,23638,Brendon de Jonge,+.219
177,0,10423,Mike Weir,+.223
178,0,22621,Ben Curtis,+.224
179,0,22806,Doug LaBelle II,+.225
180,0,06251,Chris DiMarco,+.229
180,0,23983,Luke Donald,+.229
182,0,08881,Tripp Isenhour,+.230
182,0,02214,Kirk Triplett,+.230
184,0,21470,Daisuke Maruyama,+.236
185,0,24024,Zach Johnson,+.243
186,0,25190,Jeff Quinney,+.251
187,0,12510,Chad Campbell,+.252
188,0,23349,Charles Warren,+.254
189,0,01577,Lee Janzen,+.258
190,0,24925,Jonathan Byrd,+.266
191,0,24507,Jason Bohn,+.271
191,0,06643,Paul Goydos,+.271
193,0,19972,José Coceres,+.281
194,0,27702,Matt Hendrix,+.302
195,0,01381,Fred Funk,+.304
196,0,01132,Mark Brooks,+.340
