RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,06621,Joe Durant,61.54,88,143,-0.08
2,0,02246,Duffy Waldorf,60.16,77,128,-0.13
3,0,06567,Vijay Singh,60.12,98,163,-0.06
4,0,02206,David Toms,59.56,81,136,-0.05
5,0,01142,Bart Bryant,59.52,75,126,-0.05
6,0,02101,Joey Sindelar,58.47,107,183,-0.01
7,0,06251,Chris DiMarco,57.71,101,175,-0.21
8,0,20094,Jonathan Kaye,56.69,72,127,-0.06
9,0,01797,Rocco Mediate,56.32,49,87,+0.08
10,0,20498,Briny Baird,55.83,91,163,-0.08
11,0,06522,Ernie Els,55.71,39,70,-0.03
12,0,10885,Robert Allenby,55.56,85,153,-0.06
13,0,23135,Tim Clark,55.17,96,174,-0.08
14,0,08075,Jerry Kelly,55.16,123,223,-0.10
15,0,01527,Scott Hoch,55.05,60,109,-0.10
16,0,25900,Lucas Glover,54.78,86,157,-0.02
17,0,21878,Mark Wilson,54.24,64,118,-0.06
18,0,06515,Shaun Micheel,53.24,74,139,-0.05
19,0,01381,Fred Funk,53.11,111,209,-0.05
20,0,07867,Woody Austin,53.05,87,164,-0.08
21,0,02104,Jeff Sluman,52.84,93,176,-0.14
22,0,22405,Justin Rose,52.21,59,113,-0.05
23,0,01161,Mark Calcavecchia,52.14,61,117,+0.03
24,0,02239,Scott Verplank,51.83,85,164,-0.14
25,0,21209,Sergio Garcia,51.82,57,110,+0.05
26,0,20628,Arron Oberholser,51.75,74,143,-0.04
27,0,24507,Jason Bohn,51.48,87,169,-0.22
28,0,23983,Luke Donald,51.25,82,160,-0.09
29,0,12510,Chad Campbell,51.22,84,164,-0.08
30,0,23320,Ryan Palmer,51.16,88,172,-0.06
31,0,20548,Hidemichi Tanaka,51.10,93,182,-0.18
32,0,23613,Rich Barcelo,50.89,57,112,-0.04
33,0,20229,Stewart Cink,50.56,91,180,-0.09
34,0,25396,Kevin Na,50.52,98,194,-0.01
35,0,19824,Craig Barlow,50.40,63,125,-0.06
36,0,23325,Vaughn Taylor,50.39,65,129,-0.09
37,0,01127,Danny Briggs,50.34,75,149,-0.11
38,0,11032,Frank Lickliter II,50.31,82,163,-0.11
39,0,22548,Patrick Sheehan,50.25,102,203,-0.10
40,0,10425,Jay Williamson,50.00,91,182,-0.14
41,0,24024,Zach Johnson,49.73,93,187,-0.11
42,0,07721,Pat Bates,49.49,97,196,-0.13
43,0,12645,Brent Geiberger,49.43,86,174,-0.03
44,0,23497,Tag Ridings,49.40,41,83,-0.20
45,0,22046,Geoff Ogilvy,49.26,67,136,-0.12
46,0,01457,Jay Haas,49.15,87,177,-0.11
47,0,08123,Jeff Brehaut,49.14,86,175,-0.09
48,0,02010,Loren Roberts,49.07,79,161,-0.14
49,0,01677,Tom Lehman,49.02,50,102,-0.14
50,0,01577,Lee Janzen,49.01,74,151,-0.01
51,0,06595,Kevin Sutherland,48.84,63,129,+0.02
52,0,20580,Andre Stolz,48.75,39,80,-0.03
53,0,21633,Steve Allan,48.67,73,150,-0.11
54,0,01724,Jeff Maggert,48.48,48,99,-0.04
55,0,01139,Olin Browne,48.47,79,163,E
56,0,08793,Tiger Woods,48.39,60,124,-0.17
57,0,26287,Roland Thatcher,48.35,44,91,-0.14
58,0,20157,Retief Goosen,48.28,42,87,-0.10
59,0,01945,Kenny Perry,48.21,54,112,-0.17
60,0,12823,Carlos Franco,48.17,92,191,-0.03
61,0,01553,John Huston,48.10,38,79,E
62,0,23108,Matt Kuchar,48.08,75,156,-0.03
63,0,01810,Phil Mickelson,48.04,49,102,-0.22
64,0,01685,J.L. Lewis,47.98,83,173,-0.06
65,0,06332,Neal Lancaster,47.96,94,196,-0.05
66,0,01968,Nick Price,47.87,45,94,E
67,0,01388,Robert Gamez,47.85,89,186,-0.03
68,0,19846,Brian Gay,47.62,90,189,-0.18
69,0,02214,Kirk Triplett,47.59,69,145,-0.13
70,0,02106,Chris Smith,47.47,75,158,-0.03
71,0,21959,Ted Purdy,47.45,93,196,-0.08
72,0,23623,Bo Van Pelt,47.43,83,175,-0.13
73,0,20029,Notah Begay III,47.37,63,133,E
74,0,20850,Daniel Chopra,47.34,80,169,-0.09
75,0,21407,Arjun Atwal,47.06,72,153,-0.08
76,0,20433,Mark Hensby,46.95,77,164,-0.16
77,0,12680,Shigeki Maruyama,46.90,106,226,-0.19
78,0,01203,Russ Cochran,46.83,59,126,-0.12
79,0,08339,Spike McRoy,46.82,81,173,-0.01
80,0,20378,Mathias Grönberg,46.71,71,152,-0.11
81,0,10213,Dicky Pride,46.62,62,133,-0.03
82,0,01927,Dennis Paulson,46.61,55,118,-0.09
83,0,22293,Heath Slocum,46.56,88,189,-0.08
84,0,23621,Rory Sabbatini,46.48,66,142,-0.02
85,0,07457,Steve Flesch,46.43,91,196,-0.14
85,0,24502,Adam Scott,46.43,39,84,-0.31
87,0,24290,D.J. Brigman,46.32,63,136,-0.02
87,0,06575,Dudley Hart,46.32,44,95,-0.11
89,0,19972,José Coceres,46.26,68,147,-0.07
90,0,20121,Todd Fischer,46.19,91,197,-0.01
91,0,23353,J.J. Henry,46.07,82,178,-0.04
92,0,20572,Rod Pampling,46.00,69,150,-0.07
93,0,10733,Kent Jones,45.99,86,187,-0.06
94,0,01766,Billy Mayfair,45.96,91,198,+0.02
95,0,10585,Scott McCarron,45.95,68,148,-0.07
96,0,21805,Harrison Frazar,45.93,62,135,-0.08
97,0,06613,Tommy Tolles,45.87,50,109,-0.12
98,0,19825,Darren Clarke,45.83,33,72,-0.06
98,0,02099,Scott Simpson,45.83,55,120,-0.05
100,0,23614,Rich Beem,45.76,54,118,E
101,0,24357,K.J. Choi,45.75,70,153,-0.07
102,0,10860,Justin Leonard,45.74,59,129,+0.02
103,0,24925,Jonathan Byrd,45.52,66,145,-0.12
104,0,06004,Stephen Ames,45.45,80,176,-0.11
105,0,20382,Stephen Leaney,45.39,69,152,-0.09
105,0,01707,Steve Lowery,45.39,69,152,-0.06
107,0,07223,Brian Bateman,45.38,59,130,-0.08
108,0,02049,Gene Sauers,45.25,81,179,-0.06
109,0,24781,Hunter Mahan,45.07,64,142,-0.13
110,0,21961,Charles Howell III,45.03,77,171,-0.05
111,0,21893,Brian Kortan,45.00,45,100,-0.07
112,0,07749,Brett Quigley,44.90,88,196,-0.05
113,0,08537,J.P. Hayes,44.76,64,143,-0.02
114,0,06214,Guy Boros,44.72,55,123,-0.11
114,0,07363,Craig Bowden,44.72,89,199,-0.03
116,0,23307,Roger Tambellini,44.53,61,137,-0.20
117,0,20585,Niclas Fasth,44.44,52,117,-0.02
117,0,12782,Tim Herron,44.44,56,126,-0.18
119,0,12705,Cliff Kresge,44.32,78,176,-0.04
120,0,12660,Jesper Parnevik,44.31,74,167,-0.04
121,0,01361,Dan Forsman,44.29,62,140,-0.08
122,0,25686,Jason Dufner,44.23,69,156,-0.12
123,0,22621,Ben Curtis,44.21,42,95,E
124,0,10423,Mike Weir,44.09,56,127,-0.16
125,0,01938,David Peoples,44.03,70,159,-0.14
126,0,01666,Bernhard Langer,43.93,47,107,+0.02
127,0,01249,John Daly,43.75,56,128,-0.05
128,0,20645,John Senden,43.64,72,165,-0.04
129,0,21949,Joe Ogilvie,43.48,70,161,-0.07
130,0,01941,Tom Pernice Jr.,43.41,79,182,-0.08
131,0,20098,Stuart Appleby,43.33,52,120,-0.12
131,0,08337,Mike Heinen,43.33,39,90,-0.08
133,0,19881,Robert Damron,43.27,90,208,-0.03
134,0,10912,Craig Perks,43.26,61,141,-0.02
135,0,01261,Jay Delsing,43.20,54,125,-0.15
136,0,23552,Hank Kuehne,43.11,72,167,+0.04
137,0,20104,Ken Duke,43.04,68,158,-0.09
138,0,01920,Craig Parry,43.00,43,100,-0.09
