RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL 3 PUTTS INSIDE 5',TOTAL 3 PUTTS
1,0,25900,Lucas Glover,5,41
2,0,32102,Rickie Fowler,3,26
2,0,23108,Matt Kuchar,3,28
2,0,22046,Geoff Ogilvy,3,49
5,0,22371,Aaron Baddeley,2,24
5,0,21753,Brian Davis,2,38
5,0,25686,Jason Dufner,2,27
5,0,28307,Matt Every,2,31
5,0,26758,David Hearn,2,30
5,0,34261,Scott Langley,2,30
5,0,01706,Davis Love III,2,41
5,0,32839,Hideki Matsuyama,2,47
5,0,24490,George McNeill,2,39
5,0,25345,Carl Pettersson,2,46
5,0,25240,D.A. Points,2,32
5,0,33419,Cameron Tringale,2,45
5,0,27770,Camilo Villegas,2,46
18,0,20098,Stuart Appleby,1,38
18,0,32334,Charlie Beljan,1,36
18,0,27895,Jonas Blixt,1,15
18,0,24507,Jason Bohn,1,22
18,0,33141,Keegan Bradley,1,26
18,0,20848,Ángel Cabrera,1,38
18,0,32200,Roberto Castro,1,24
18,0,34021,Bud Cauley,1,24
18,0,23135,Tim Clark,1,29
18,0,23638,Brendon de Jonge,1,33
18,0,34099,Harris English,1,38
18,0,10809,Jim Furyk,1,32
18,0,29535,Brice Garnett,1,38
18,0,20157,Retief Goosen,1,33
18,0,24924,Bill Haas,1,38
18,0,12716,Charley Hoffman,1,33
18,0,29420,Billy Horschel,1,39
18,0,34174,John Huh,1,36
18,0,29222,Billy Hurley III,1,33
18,0,26300,Matt Jones,1,22
18,0,27408,Martin Kaymer,1,23
18,0,08075,Jerry Kelly,1,27
18,0,26956,Bronson La'Cassie,1,17
18,0,27936,Martin Laird,1,29
18,0,29926,Danny Lee,1,39
18,0,35139,Richard Lee,1,28
18,0,26851,Marc Leishman,1,30
18,0,01724,Jeff Maggert,1,29
18,0,31202,William McGirt,1,27
18,0,28237,Rory McIlroy,1,18
18,0,01810,Phil Mickelson,1,28
18,0,27556,Ted Potter Jr.,1,31
18,0,24138,Ian Poulter,1,27
18,0,28486,Michael Putnam,1,58
18,0,34360,Patrick Reed,1,35
18,0,25562,Andres Romero,1,46
18,0,30692,Scott Stallings,1,39
18,0,29518,Brendan Steele,1,41
18,0,27963,Chris Stroud,1,28
18,0,32150,Michael Thompson,1,35
18,0,28780,Nicholas Thompson,1,55
18,0,30927,Brendon Todd,1,32
18,0,27064,Jhonattan Vegas,1,45
18,0,25632,Jimmy Walker,1,26
18,0,20160,Charlie Wi,1,32
