RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,20848,Ángel Cabrera,$623504,1021420
2,0,21528,Henrik Stenson,$582303,821678
3,0,08635,Colin Montgomerie,$501249,638749
4,0,29718,Anthony Kim,$338067,338067
5,0,19958,Miguel Angel Jiménez,$334011,458511
6,0,20400,Michael Campbell,$323983,515983
7,0,21498,Hideto Tanihara,$310831,310831
8,0,25364,Paul Casey,$209401,529151
9,0,21461,Kenneth Ferrie,$183255,183255
10,0,25562,Andres Romero,$177225,177225
11,0,28089,Jason Day,$174508,174508
12,0,20104,Ken Duke,$138231,138231
13,0,25818,Scott Piercy,$132042,132042
14,0,12461,Paul McGinley,$130734,199984
15,0,25732,S.K. Ho,$128891,128891
15,0,22540,Anthony Wall,$128891,172891
17,0,19970,Robert Karlsson,$118283,234283
18,0,26331,Charl Schwartzel,$108282,211282
19,0,10944,Thomas Bjørn,$104773,234273
20,0,24956,Mikko Ilonen,$83655,83655
20,0,26539,Robert Rock,$83655,83655
20,0,23797,Brett Rumford,$83655,83655
23,0,20218,Shingo Katayama,$82262,207262
24,0,26679,Kevin Stadler,$75973,170973
25,0,19991,Peter Hedblom,$74252,74252
26,0,26287,Roland Thatcher,$74250,74250
27,0,23063,Scott Hend,$61162,61162
28,0,08191,Paul Broadhurst,$54097,133097
28,0,25321,Lee Slattery,$54097,54097
30,0,23903,Stephen Gangluff,$53584,53584
31,0,20859,Anders Hansen,$53100,53100
32,0,23540,Jason Allred,$52500,52500
33,0,26758,David Hearn,$50438,50438
34,0,24957,Simon Khan,$45546,45546
34,0,22110,Thaworn Wiratchant,$45546,86046
36,0,07707,Mike Small,$40256,40256
37,0,24083,Marcus Fraser,$36483,36483
38,0,24449,Parker McLachlin,$34674,34674
39,0,25720,Chad Collins,$29459,29459
39,0,25686,Jason Dufner,$29459,29459
39,0,28310,Lee Williams,$29459,29459
42,0,23656,Jason Caron,$29260,29260
43,0,20569,Richard Green,$29250,64250
44,0,22363,Don Yrene,$29239,29239
45,0,29222,Billy Hurley III,$28910,28910
46,0,23821,Yusaku Miyazato,$28163,28163
47,0,22986,Søren Kjeldsen,$27619,27619
48,0,24748,WC Liang,$25850,25850
49,0,20369,John Bickerton,$21578,104828
49,0,24512,Simon Dyson,$21578,77578
49,0,25191,Gonzalo Fernandez-Castaño,$21578,52578
49,0,24191,Andrew Marshall,$21578,21578
49,0,23162,Simon Wakefield,$21578,21578
54,0,24537,Philip Archer,$20482,20482
55,0,22034,Yasuharu Imano,$20400,20400
56,0,08845,Scott Sterling,$20280,20280
57,0,27942,Rob Oppenheim,$19500,19500
58,0,20939,Keiichiro Fukabori,$19148,19148
59,0,25273,Andrew Buckle,$18497,18497
60,0,20480,Marco Ruiz,$18125,18125
61,0,20686,Jeev Milkha Singh,$16676,16676
62,0,08993,Franklin Langham,$16642,16642
63,0,27060,John Mallinger,$16354,16354
64,0,06078,Esteban Toledo,$15567,15567
65,0,22951,Azuma Yano,$14007,14007
66,0,24610,Stuart Deane,$13140,13140
67,0,01609,Jim Kane,$12725,12725
68,0,23770,Will Moore,$12168,12168
69,0,24878,Chris Parra,$12152,12152
70,0,29365,Kane Webber,$12045,12045
71,0,27215,Patrick Damron,$11660,11660
71,0,23097,Scott Parel,$11660,11660
73,0,27466,Spencer Levin,$11520,11520
74,0,28621,Madalitso Muthiya,$11100,11100
75,0,26497,Casey Wittenberg,$10868,10868
76,0,29285,Brent Delahoussaye,$10550,10550
77,0,22624,Joel Kribel,$10476,10476
78,0,06132,Sonny Skinner,$9646,9646
79,0,27413,Scott Miller,$9588,9588
80,0,20566,Kaname Yokoo,$9180,9180
81,0,02136,Chris Starkjohann,$8976,8976
82,0,28307,Matt Every,$8505,8505
83,0,29720,Andres Gonzales,$8400,8400
84,0,27554,Scott Harrington,$7480,7480
85,0,23386,David Roesch,$7400,7400
86,0,24846,Ricky Barnes,$6947,6947
87,0,27730,Eli Zackheim,$6810,6810
88,0,20443,Jin Park,$6450,6450
89,0,23633,Phil Schmitt,$5460,5460
