RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOT DIST. (FT),TOT BIRDIE PUTTS MADE,LONGEST MADE (FT),SHORTEST MADE (FT)
1,0,20098,Stuart Appleby,643' 4",643.333,1,643,643
2,0,01157,Tom Byrum,104' 0",104.000,1,104,104
3,0,02214,Kirk Triplett,67' 9",67.750,1,68,68
4,0,02106,Chris Smith,56' 2",56.167,1,56,56
5,0,20593,Greg Chalmers,39' 4",39.333,1,39,39
6,0,06332,Neal Lancaster,32' 0",32.000,1,32,32
7,0,02206,David Toms,16' 5",16.417,1,16,16
8,0,01766,Billy Mayfair,14' 10",14.833,1,15,15
9,0,06809,Bob Burns,12' 9",12.750,1,13,13
10,0,02223,Bob Tway,10' 4",10.333,1,10,10
11,0,08633,Per-Ulrik Johansson,4' 6",4.500,1,5,5
12,0,01685,J.L. Lewis,3' 10",3.833,1,4,4
13,0,06514,Kevin Johnson,3' 2",3.167,1,3,3
14,0,02099,Scott Simpson,2' 7",2.583,1,3,3
15,0,10912,Craig Perks,2' 3",4.500,2,2,2
16,0,06350,Bob May,2' 2",2.167,1,2,2
17,0,08375,Paul Stankowski,1' 9",1.750,1,2,2
18,0,02218,Ted Tryba,11",.917,1,1,11"
19,0,01042,Paul Azinger,10",.833,1,1,10"
