RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,0,01381,Fred Funk,78.66,1183,1504
2,0,01326,Nick Faldo,78.02,568,728
3,0,01306,David Edwards,77.51,889,1147
4,0,01157,Tom Byrum,76.99,813,1056
5,0,01014,Fulton Allem,76.82,580,755
6,0,07235,John Morse,76.66,1005,1311
7,0,01201,Lennie Clements,76.21,884,1160
8,0,01968,Nick Price,76.19,512,672
9,0,01487,Jeff Hart,76.00,687,904
10,0,01346,Ed Fiori,75.92,640,843
11,0,01139,Olin Browne,75.90,995,1311
12,0,07267,Allen Doyle,75.45,925,1226
13,0,10860,Justin Leonard,75.31,1043,1385
14,0,02010,Loren Roberts,75.23,808,1074
15,0,10809,Jim Furyk,75.20,1010,1343
16,0,02159,Curtis Strange,74.90,785,1048
17,0,01748,Doug Martin,74.86,962,1285
18,0,09011,David Duval,74.59,731,980
19,0,01766,Billy Mayfair,74.54,925,1241
20,0,01823,Larry Mize,74.46,761,1022
21,0,02226,Tray Tyner,74.33,527,709
22,0,01960,Don Pooley,73.72,648,879
23,0,02023,Clarence Rose,73.69,871,1182
24,0,06124,Patrick Burke,73.60,736,1000
25,0,06044,Scott Gump,73.48,992,1350
26,0,01876,Greg Norman,73.40,483,658
27,0,01313,Steve Elkington,73.39,637,868
28,0,01928,Corey Pavin,73.38,791,1078
29,0,01196,Brian Claar,73.27,1061,1448
30,0,01783,Mark McCumber,73.25,482,658
31,0,01887,Mark O'Meara,73.21,779,1064
31,0,02214,Kirk Triplett,73.21,746,1019
33,0,10569,Mike Brisky,73.06,849,1162
34,0,01132,Mark Brooks,73.03,991,1357
35,0,01725,John Mahaffey,72.99,662,907
35,0,20259,Hisayuki Sasaki,72.99,654,896
37,0,01175,Jim Carter,72.87,1088,1493
38,0,02267,D.A. Weibring,72.62,496,683
39,0,01435,Wayne Grady,72.54,650,896
39,0,01771,Blaine McCallister,72.54,922,1271
41,0,01945,Kenny Perry,72.49,822,1134
42,0,01724,Jeff Maggert,72.41,882,1218
43,0,01307,Joel Edwards,72.33,949,1312
44,0,01040,Emlyn Aubrey,72.31,585,809
45,0,12781,Scott Medlin,72.30,535,740
46,0,06643,Paul Goydos,72.21,847,1173
47,0,01920,Craig Parry,72.18,794,1100
48,0,01219,John Cook,71.97,896,1245
49,0,01971,Dillard Pruitt,71.84,740,1030
50,0,19883,Joe Daley,71.68,767,1070
51,0,02321,Fuzzy Zoeller,71.67,501,699
52,0,01577,Lee Janzen,71.66,900,1256
53,0,08931,Glen Day,71.47,887,1241
54,0,02008,Lee Rinker,71.33,995,1395
55,0,02223,Bob Tway,71.22,777,1091
56,0,01837,Gil Morgan,71.18,605,850
57,0,02101,Joey Sindelar,71.12,862,1212
58,0,01185,Brandel Chamblee,71.09,696,979
59,0,01557,John Inman,70.87,781,1102
60,0,01797,Rocco Mediate,70.85,644,909
61,0,19913,Ron Whittaker,70.84,571,806
62,0,01334,Keith Fergus,70.76,830,1173
63,0,08385,Omar Uresti,70.71,927,1311
64,0,01331,Rick Fehr,70.67,730,1033
65,0,01633,Tom Kite,70.55,642,910
66,0,01457,Jay Haas,70.44,834,1184
67,0,01864,Larry Nelson,70.37,748,1063
68,0,01527,Scott Hoch,70.35,942,1339
69,0,08547,John Maginnes,70.34,792,1126
70,0,01161,Mark Calcavecchia,70.09,968,1381
71,0,01996,Mike Reid,70.08,705,1006
72,0,01060,Dave Barr,70.06,564,805
73,0,10213,Dicky Pride,69.90,792,1133
73,0,02170,Hal Sutton,69.90,857,1226
75,0,01475,Donnie Hammond,69.84,595,852
76,0,01035,Tommy Armour III,69.80,520,745
77,0,02218,Ted Tryba,69.75,1003,1438
78,0,01414,Bob Gilder,69.68,825,1184
79,0,01706,Davis Love III,69.57,759,1091
80,0,01975,Tom Purtzer,69.40,803,1157
81,0,06090,Jim McGovern,69.36,842,1214
82,0,01510,Nolan Henke,69.31,770,1111
83,0,01203,Russ Cochran,69.23,801,1157
84,0,01905,Joe Ozaki,69.22,659,952
85,0,07867,Woody Austin,69.16,1108,1602
86,0,02201,Jim Thorpe,69.15,529,765
87,0,02245,Grant Waite,69.12,723,1046
88,0,01677,Tom Lehman,69.11,716,1036
89,0,01323,Brad Fabel,69.09,827,1197
90,0,02146,Payne Stewart,69.06,799,1157
91,0,01682,Wayne Levi,69.03,682,988
92,0,01142,Bart Bryant,68.97,740,1073
93,0,02256,Tom Watson,68.92,521,756
94,0,02133,Craig Stadler,68.84,497,722
95,0,06315,Pete Jordan,68.83,700,1017
96,0,02241,Bobby Wadkins,68.73,879,1279
97,0,01388,Robert Gamez,68.68,717,1044
98,0,11032,Frank Lickliter II,68.43,800,1169
99,0,01569,Peter Jacobsen,68.36,577,844
99,0,01810,Phil Mickelson,68.36,698,1021
101,0,08075,Jerry Kelly,68.33,865,1266
102,0,06522,Ernie Els,68.27,583,854
103,0,02104,Jeff Sluman,68.15,967,1419
104,0,01361,Dan Forsman,68.02,619,910
105,0,06140,Sean Murphy,68.00,750,1103
106,0,01891,David Ogrin,67.96,965,1420
107,0,01143,Brad Bryant,67.90,789,1162
108,0,02246,Duffy Waldorf,67.88,632,931
109,0,01701,Bob Lohr,67.54,849,1257
110,0,01958,Dan Pohl,67.53,545,807
111,0,01943,Chris Perry,67.51,638,945
112,0,01235,Ben Crenshaw,67.40,519,770
113,0,01116,Michael Bradley,67.30,819,1217
113,0,01604,Steve Jurgensen,67.30,815,1211
115,0,01042,Paul Azinger,67.18,702,1045
115,0,02186,Brian Tennyson,67.18,702,1045
117,0,01378,David Frost,66.95,626,935
118,0,02099,Scott Simpson,66.88,618,924
119,0,20098,Stuart Appleby,66.74,883,1323
120,0,06617,Brian Henninger,66.61,780,1171
121,0,10425,Jay Williamson,66.54,714,1073
122,0,02135,Mike Standly,66.46,745,1121
123,0,12660,Jesper Parnevik,66.37,592,892
124,0,01098,Jay Don Blake,66.35,842,1269
125,0,01553,John Huston,66.30,779,1175
126,0,10649,Tom Scherrer,66.29,822,1240
127,0,06577,John Wilson,66.28,751,1133
128,0,01938,David Peoples,66.24,518,782
129,0,02242,Lanny Wadkins,65.66,568,865
130,0,01226,Fred Couples,65.51,568,867
130,0,02279,Mark Wiebe,65.51,678,1035
132,0,01093,Ronnie Black,65.48,774,1182
133,0,02049,Gene Sauers,65.47,713,1089
134,0,10505,Shane Bertsch,65.42,664,1015
135,0,06012,Greg Kraft,65.36,736,1126
136,0,01723,Andrew Magee,65.34,692,1059
137,0,06214,Guy Boros,65.30,847,1297
138,0,01133,Billy Ray Brown,65.24,700,1073
139,0,06567,Vijay Singh,65.17,784,1203
140,0,01072,Chip Beck,65.06,836,1285
141,0,06066,Gary Rusnak,65.01,706,1086
142,0,01707,Steve Lowery,64.95,906,1395
143,0,10203,Bryan Gorman,64.93,624,961
144,0,01329,Brad Faxon,64.92,707,1089
145,0,08337,Mike Heinen,64.60,854,1322
146,0,01261,Jay Delsing,64.46,771,1196
147,0,01549,Mike Hulbert,64.45,843,1308
148,0,02303,Robert Wrenn,64.41,646,1003
149,0,08375,Paul Stankowski,64.25,638,993
150,0,08993,Franklin Langham,64.14,821,1280
151,0,01444,Ken Green,64.13,715,1115
152,0,01156,Curt Byrum,64.03,502,784
153,0,01024,Billy Andrade,63.97,776,1213
154,0,06599,John Elliott,63.89,453,709
155,0,06034,Marco Dawson,63.87,776,1215
155,0,02167,Mike Sullivan,63.87,755,1182
157,0,01385,Jim Gallagher Jr.,63.62,647,1017
158,0,01320,Bob Estes,63.38,547,863
159,0,01408,Kelly Gibson,63.27,1006,1590
160,0,06595,Kevin Sutherland,63.18,942,1491
