RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (INCHES),ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,21209,Sergio Garcia,36' 0",72209,167,6017.417,+7.00
2,0,24358,Robert Garrigus,36' 9",126970,288,10580.833,+11.00
3,0,20848,Ángel Cabrera,36' 10",79130,179,6594.167,+13.00
4,0,21805,Harrison Frazar,37' 8",166204,368,13850.333,+19.00
5,0,20593,Greg Chalmers,37' 11",109543,241,9128.583,+10.00
5,0,24502,Adam Scott,37' 11",76386,168,6365.500,+19.00
7,0,06251,Chris DiMarco,38' 1",128402,281,10700.167,+35.00
8,0,24140,Sean O'Hair,38' 3",104264,227,8688.667,+6.00
9,0,02206,David Toms,38' 4",95236,207,7936.333,+13.00
10,0,08931,Glen Day,38' 6",96141,208,8011.750,+19.00
11,0,24663,Y.E. Yang,38' 7",116113,251,9676.083,+34.00
12,0,21949,Joe Ogilvie,38' 8",147516,318,12293.000,+22.00
13,0,10425,Jay Williamson,38' 9",74342,160,6195.167,+27.00
14,0,10860,Justin Leonard,38' 10",100257,215,8354.750,+12.00
15,0,24507,Jason Bohn,39' 2",106775,227,8897.917,+22.00
15,0,07457,Steve Flesch,39' 2",100519,214,8376.583,+29.00
17,0,26695,Michael Letzig,39' 3",162983,346,13581.917,+24.00
18,0,23983,Luke Donald,39' 4",93461,198,7788.417,+18.00
19,0,22293,Heath Slocum,39' 5",99308,210,8275.667,+34.00
20,0,22046,Geoff Ogilvy,39' 6",101959,215,8496.583,+12.00
21,0,30925,Dustin Johnson,39' 8",121431,255,10119.250,+8.00
22,0,29718,Anthony Kim,39' 9",121985,256,10165.417,+14.00
22,0,26289,Boo Weekley,39' 9",93074,195,7756.167,+19.00
24,0,02214,Kirk Triplett,39' 10",63578,133,5298.167,+17.00
25,0,01797,Rocco Mediate,40' 2",115283,239,9606.917,+5.00
26,0,12510,Chad Campbell,40' 3",118400,245,9866.667,+26.00
26,0,26497,Casey Wittenberg,40' 3",93687,194,7807.250,+37.00
28,0,23614,Rich Beem,40' 4",97672,202,8139.333,+28.00
28,0,21959,Ted Purdy,40' 4",147042,304,12253.500,+32.00
28,0,06567,Vijay Singh,40' 4",89601,185,7466.750,+26.00
28,0,27649,Brandt Snedeker,40' 4",88090,182,7340.833,+6.00
32,0,26679,Kevin Stadler,40' 5",94599,195,7883.250,+17.00
33,0,27214,Kevin Streelman,40' 7",144778,297,12064.833,+8.00
34,0,25345,Carl Pettersson,40' 8",135554,278,11296.167,+34.00
34,0,25804,Bubba Watson,40' 8",121904,250,10158.667,+18.00
36,0,06197,Michael Allen,40' 9",91045,186,7587.083,+36.00
36,0,25562,Andres Romero,40' 9",92881,190,7740.083,+17.00
36,0,26498,Matt Weibring,40' 9",88470,181,7372.500,+39.00
39,0,20498,Briny Baird,40' 10",110317,225,9193.083,+23.00
39,0,01226,Fred Couples,40' 10",83366,170,6947.167,+4.00
41,0,23135,Tim Clark,40' 11",71735,146,5977.917,+20.00
42,0,23541,Ben Crane,41' 0",116535,237,9711.250,+10.00
42,0,06643,Paul Goydos,41' 0",84583,172,7048.583,+37.00
42,0,24912,Will MacKenzie,41' 0",96032,195,8002.667,+26.00
42,0,01724,Jeff Maggert,41' 0",107154,218,8929.500,+43.00
46,0,28087,Kris Blanks,41' 1",65025,132,5418.750,+12.00
46,0,29221,Webb Simpson,41' 1",156669,318,13055.750,+38.00
48,0,21731,Freddie Jacobson,41' 2",135418,274,11284.833,+29.00
48,0,20691,Greg Owen,41' 2",118603,240,9883.583,+28.00
48,0,25632,Jimmy Walker,41' 2",148676,301,12389.667,+31.00
51,0,22548,Patrick Sheehan,41' 3",52520,106,4376.667,+27.00
52,0,24925,Jonathan Byrd,41' 4",121443,245,10120.250,+20.00
52,0,01945,Kenny Perry,41' 4",116642,235,9720.167,+21.00
52,0,27095,Nick Watney,41' 4",135031,272,11252.583,+13.00
55,0,26881,Jarrod Lyle,41' 5",87981,177,7331.750,+21.00
55,0,23623,Bo Van Pelt,41' 5",134677,271,11223.083,+31.00
55,0,23349,Charles Warren,41' 5",83022,167,6918.500,+19.00
58,0,20850,Daniel Chopra,41' 6",167659,337,13971.583,+40.00
59,0,24024,Zach Johnson,41' 8",114608,229,9550.667,+12.00
60,0,01706,Davis Love III,41' 9",150842,301,12570.167,+42.00
61,0,10117,Bob Heintz,41' 10",80820,161,6735.000,+25.00
62,0,01677,Tom Lehman,41' 11",48253,96,4021.083,+10.00
63,0,06621,Joe Durant,42' 0",52879,105,4406.583,+22.00
63,0,27120,Troy Matteson,42' 0",161890,321,13490.833,+18.00
63,0,01810,Phil Mickelson,42' 0",114838,228,9569.833,+24.00
63,0,22913,John Rollins,42' 0",128978,256,10748.167,+31.00
67,0,20157,Retief Goosen,42' 1",103076,204,8589.667,+14.00
67,0,23621,Rory Sabbatini,42' 1",135460,268,11288.333,+27.00
67,0,20645,John Senden,42' 1",158153,313,13179.417,+34.00
70,0,01707,Steve Lowery,42' 2",140603,278,11716.917,+53.00
70,0,20127,Chris Riley,42' 2",85576,169,7131.333,+14.00
72,0,01320,Bob Estes,42' 3",103990,205,8665.833,+28.00
72,0,27060,John Mallinger,42' 3",113630,224,9469.167,+37.00
72,0,22405,Justin Rose,42' 3",92354,182,7696.167,+25.00
75,0,01035,Tommy Armour III,42' 4",79217,156,6601.417,+15.00
75,0,26476,Chez Reavie,42' 4",95555,188,7962.917,+35.00
77,0,25686,Jason Dufner,42' 5",125139,246,10428.250,+24.00
78,0,20229,Stewart Cink,42' 6",121809,239,10150.750,+29.00
78,0,01313,Steve Elkington,42' 6",104636,205,8719.667,+33.00
78,0,26851,Marc Leishman,42' 6",167333,328,13944.417,+31.00
78,0,27963,Chris Stroud,42' 6",133727,262,11143.917,+40.00
82,0,22348,Nick O'Hern,42' 8",117715,230,9809.583,+26.00
83,0,07867,Woody Austin,42' 9",118549,231,9879.083,+24.00
