RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,22764,Michael Block,433,U.S. Open,1,3,618
2,0,30925,Dustin Johnson,430,Sentry T of C,4,12,656
2,0,34264,Hudson Swafford,430,Sentry T of C,3,7,656
4,0,27064,Jhonattan Vegas,424,Sentry T of C,3,7,656
5,0,29478,Kevin Kisner,423,Sentry T of C,2,7,656
5,0,34213,Grayson Murray,423,Sentry T of C,2,7,656
7,0,48081,Xander Schauffele,422,Sentry T of C,3,12,656
8,0,28237,Rory McIlroy,420,WGC-Bridgestone,4,16,036
9,0,33948,Byeong Hun An,419,Shriners Hosp,3,2,538
10,0,47504,Sam Burns,418,U.S. Open,1,18,618
10,0,46970,Jon Rahm,418,WGC-Mexico,3,10,240
12,0,29518,Brendan Steele,417,Sentry T of C,2,7,656
13,0,35891,Cameron Smith,416,Sentry T of C,2,7,656
14,0,32366,Kevin Chappell,415,Sentry T of C,2,7,656
15,0,29725,Tony Finau,414,WGC-Bridgestone,4,16,036
16,0,35450,Patrick Cantlay,412,Sentry T of C,1,7,656
16,0,34098,Russell Henley,412,Sentry T of C,2,7,656
18,0,33974,Dean Burmester,411,U.S. Open,1,18,618
18,0,47959,Bryson DeChambeau,411,Sentry T of C,4,12,656
18,0,36689,Brooks Koepka,411,WGC-Bridgestone,4,16,036
18,0,33448,Justin Thomas,411,Sentry T of C,4,12,656
18,0,32333,Kevin Tway,411,Safeway Open,4,18,552
23,0,40026,Daniel Berger,410,Sentry T of C,3,7,656
23,0,47574,Scott Strohmeyer,410,Sanderson Farms,2,5,746
25,0,45535,Michael Hebert,409,U.S. Open,1,3,618
25,0,37455,Si Woo Kim,409,Sentry T of C,3,7,656
25,0,32839,Hideki Matsuyama,409,Sentry T of C,2,7,656
25,0,34046,Jordan Spieth,409,Sentry T of C,2,7,656
29,0,30110,Kyle Stanley,408,Sentry T of C,2,7,656
30,0,25240,D.A. Points,407,Sentry T of C,2,7,656
31,0,21209,Sergio Garcia,406,The Open,1,2,658
31,0,27129,Luke List,406,WGC-Bridgestone,4,16,036
31,0,28252,Seamus Power,406,Valspar Champ,2,10,665
31,0,33418,Shawn Stefani,406,AT&T Pebble,2,10,769
35,0,33399,Adam Hadwin,405,Sentry T of C,2,12,656
36,0,27963,Chris Stroud,404,Sentry T of C,1,17,656
37,0,25686,Jason Dufner,403,Sentry T of C,2,17,656
38,0,40098,Matt Fitzpatrick,402,WGC-Bridgestone,4,16,036
38,0,27644,Brian Harman,402,Sentry T of C,2,17,656
38,0,49964,Aaron Wise,402,Byron Nelson,3,9,243
41,0,48084,Wesley Bryan,401,Sentry T of C,3,7,656
41,0,32757,Patton Kizzire,401,Sentry T of C,1,7,656
43,0,23638,Brendon de Jonge,400,AT&T Pebble,1,9,005
43,0,52453,Nicolai Hojgaard,400,The Open,1,2,658
43,0,33293,Thomas Pieters,400,WGC-Mexico,2,14,240
46,0,32334,Charlie Beljan,398,Phoenix Open,1,14,510
46,0,29420,Billy Horschel,398,Sentry T of C,2,7,656
46,0,08793,Tiger Woods,398,WGC-Bridgestone,4,16,036
49,0,32102,Rickie Fowler,397,Sentry T of C,3,7,656
49,0,50526,Tom Lovelady,397,Wyndham Champ,1,15,752
51,0,24361,Pat Perez,396,Sentry T of C,4,7,656
52,0,27895,Jonas Blixt,395,Sentry T of C,4,7,656
53,0,46435,Austin Cook,394,Sentry T of C,1,7,656
53,0,29936,Ryan Fox,394,U.S. Open,3,14,618
53,0,34174,John Huh,394,Farmers Ins,4,1,004
53,0,27933,John Merrick,394,Puntacana,4,12,244
53,0,01810,Phil Mickelson,394,WGC-Mexico,3,12,240
53,0,47347,Adam Schenk,394,Puntacana,4,12,244
53,0,25804,Bubba Watson,394,WGC-Bridgestone,4,16,036
60,0,25364,Paul Casey,393,WGC-Mexico,2,11,240
60,0,28089,Jason Day,393,WGC-Bridgestone,4,18,036
60,0,46567,Paul Dunne,393,Puntacana,4,12,244
60,0,50092,Zach Wright,393,Canadian Open,3,18,032
64,0,31273,Gavin Kyle Green,392,The Open,4,2,658
65,0,39997,Corey Conners,391,AT&T Pebble,1,10,769
65,0,26851,Marc Leishman,391,Sentry T of C,1,7,656
67,0,24140,Sean O'Hair,390,Wyndham Champ,2,18,752
67,0,32254,Xinjun Zhang,390,John Deere,1,17,669
69,0,34099,Harris English,389,Wyndham Champ,2,5,752
69,0,27649,Brandt Snedeker,389,Canadian Open,3,16,032
69,0,31323,Gary Woodland,389,WGC-Mexico,2,2,240
72,0,32640,Troy Merritt,388,Texas Open,4,17,770
73,0,19803,Ryan Armour,387,Sentry T of C,1,12,656
73,0,24358,Robert Garrigus,387,Canadian Open,3,8,032
75,0,34363,Tyrrell Hatton,386,WGC-Mexico,4,12,240
75,0,35296,Haotong Li,386,WGC-Bridgestone,4,16,036
75,0,39113,Shubhankar Sharma,386,WGC-Mexico,4,12,240
78,0,29970,Dylan Frittelli,385,WGC-Mexico,2,12,240
78,0,27141,J.B. Holmes,385,The Greenbrier,1,11,771
78,0,27936,Martin Laird,385,Safeway Open,1,5,552
81,0,45157,Cam Davis,384,The Open,4,2,658
81,0,30911,Tommy Fleetwood,384,WGC-Bridgestone,3,16,036
81,0,35310,Lanto Griffin,384,Texas Open,1,17,770
81,0,25198,Francesco Molinari,384,WGC-Mexico,1,5,240
81,0,46501,Ollie Schniederjans,384,Texas Open,4,17,770
81,0,21528,Henrik Stenson,384,WGC-Bridgestone,3,16,036
87,0,29974,Branden Grace,383,Byron Nelson,2,15,243
87,0,23913,Masanori Kobayashi,383,The Open,1,2,658
87,0,24781,Hunter Mahan,383,Safeway Open,4,18,552
87,0,27349,Alex Noren,383,WGC-Bridgestone,4,16,036
87,0,26331,Charl Schwartzel,383,WGC-Mexico,2,12,240
87,0,29484,Peter Uihlein,383,WGC-Mexico,4,4,240
93,0,09011,David Duval,382,The Open,1,2,658
93,0,26329,Louis Oosthuizen,382,WGC-Mexico,4,12,240
93,0,36699,Patrick Rodgers,382,Safeway Open,4,6,552
93,0,47287,Ethan Tracy,382,Byron Nelson,2,15,243
93,0,37189,Harold Varner III,382,Sony Open,1,1,006
98,0,34563,Chesson Hadley,381,Houston Open,1,17,729
98,0,46550,Brandon Hagy,381,Sanderson Farms,1,6,746
98,0,30944,Jason Kokrak,381,Safeway Open,4,13,552
98,0,29221,Webb Simpson,381,The Open,1,2,658
102,0,01249,John Daly,380,Safeway Open,4,13,552
102,0,27896,Ross Fisher,380,U.S. Open,2,18,618
102,0,21961,Charles Howell III,380,Wells Fargo,4,16,872
102,0,32815,Masahiro Kawamura,380,The Open,1,2,658
102,0,39975,Michael Kim,380,Farmers Ins,4,12,004
102,0,46442,Maverick McNealy,380,Safeway Open,4,16,552
102,0,46601,Trey Mullinax,380,Shriners Hosp,3,4,538
102,0,22405,Justin Rose,380,The Open,4,2,658
102,0,54328,Norman Xiong,380,Canadian Open,2,18,032
111,0,29334,Jaco Ahlers,379,WGC-Bridgestone,4,16,036
111,0,45526,Abraham Ancer,379,Safeway Open,4,6,552
111,0,12716,Charley Hoffman,379,U.S. Open,3,5,618
111,0,35225,Brandon Stone,379,WGC-Bridgestone,3,16,036
115,0,30978,Kiradech Aphibarnrat,378,WGC-Mexico,2,11,240
115,0,49310,David Gazzolo,378,U.S. Open,1,3,618
115,0,27408,Martin Kaymer,378,The Open,1,2,658
115,0,39546,Keith Mitchell,378,Canadian Open,3,18,032
115,0,26596,Ryan Moore,378,The Open,4,2,658
115,0,49855,Kristoffer Reitan,378,U.S. Open,2,3,618
121,0,25834,Daniel Summerhays,377,Shriners Hosp,3,2,538
121,0,25632,Jimmy Walker,377,Texas Open,1,17,770
123,0,20229,Stewart Cink,376,The Open,4,2,658
123,0,35376,Roberto Díaz,376,Wyndham Champ,2,5,752
123,0,26908,Yuta Ikeda,376,The Open,1,2,658
123,0,51394,A.J. McInerney,376,Shriners Hosp,2,10,538
123,0,33968,Thorbjørn Olesen,376,The Open,4,2,658
123,0,23320,Ryan Palmer,376,Canadian Open,3,18,032
123,0,29485,Brett Stegmaier,376,Safeway Open,4,6,552
123,0,27095,Nick Watney,376,Wells Fargo,4,16,872
131,0,26499,Rafa Cabrera Bello,375,WGC-Bridgestone,4,16,036
131,0,37351,Oliver Goss,375,Byron Nelson,2,9,243
131,0,39954,Cody Gribble,375,AT&T Pebble,2,10,769
131,0,39058,Lucas Herbert,375,The Open,1,2,658
131,0,35532,Tom Hoge,375,Wyndham Champ,3,18,752
131,0,33122,Russell Knox,375,AT&T Pebble,2,10,769
131,0,33419,Cameron Tringale,375,Wells Fargo,4,16,872
138,0,34360,Patrick Reed,374,WGC-Bridgestone,4,16,036
138,0,32139,Danny Willett,374,The Open,1,2,658
140,0,37273,Derek Ernst,373,AT&T Pebble,1,10,769
140,0,28307,Matt Every,373,Canadian Open,3,18,032
140,0,24024,Zach Johnson,373,WGC-Bridgestone,4,16,036
140,0,26300,Matt Jones,373,Safeway Open,4,18,552
140,0,33204,Shane Lowry,373,The Open,1,2,658
140,0,20572,Rod Pampling,373,Texas Open,4,10,770
146,0,33141,Keegan Bradley,372,The Greenbrier,4,11,771
146,0,32448,James Hahn,372,Canadian Open,2,18,032
146,0,35461,Beau Hossler,372,Farmers Ins,2,18,104
146,0,27974,Sung Kang,372,Phoenix Open,2,6,510
146,0,25396,Kevin Na,372,Safeway Open,4,13,552
