RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,28237,Rory McIlroy,81.15,99,122,-0.21
2,0,27129,Luke List,78.16,136,174,-0.23
3,0,46601,Trey Mullinax,76.09,105,138,-0.29
4,0,29725,Tony Finau,75.00,135,180,-0.47
4,0,36689,Brooks Koepka,75.00,87,116,-0.18
6,0,50526,Tom Lovelady,73.46,119,162,-0.34
7,0,28089,Jason Day,72.50,87,120,-0.14
8,0,39546,Keith Mitchell,71.13,138,194,-0.34
9,0,25804,Bubba Watson,70.89,112,158,-0.21
10,0,31323,Gary Woodland,70.48,117,166,-0.29
11,0,30925,Dustin Johnson,70.00,98,140,-0.30
12,0,30944,Jason Kokrak,68.69,136,198,-0.30
13,0,29518,Brendan Steele,68.25,86,126,-0.22
14,0,32366,Kevin Chappell,68.24,101,148,-0.23
15,0,33448,Justin Thomas,66.89,99,148,-0.27
16,0,32333,Kevin Tway,66.15,127,192,-0.31
17,0,46970,Jon Rahm,65.32,81,124,-0.19
18,0,27095,Nick Watney,65.00,117,180,-0.21
19,0,34213,Grayson Murray,64.84,83,128,-0.13
20,0,37189,Harold Varner III,63.58,103,162,-0.33
21,0,33948,Byeong Hun An,63.13,101,160,-0.08
22,0,25364,Paul Casey,61.86,73,118,-0.14
23,0,24358,Robert Garrigus,61.84,94,152,-0.31
24,0,36699,Patrick Rodgers,61.76,105,170,-0.32
25,0,27141,J.B. Holmes,61.27,87,142,-0.21
26,0,47347,Adam Schenk,59.38,95,160,-0.29
27,0,27064,Jhonattan Vegas,59.09,91,154,-0.19
28,0,35421,Brandon Harkins,57.89,110,190,-0.26
29,0,48081,Xander Schauffele,57.41,93,162,-0.18
30,0,23320,Ryan Palmer,57.14,72,126,-0.22
31,0,46501,Ollie Schniederjans,56.96,90,158,-0.28
32,0,39997,Corey Conners,56.45,105,186,-0.26
32,0,30911,Tommy Fleetwood,56.45,70,124,-0.23
34,0,24502,Adam Scott,56.43,79,140,-0.16
35,0,32839,Hideki Matsuyama,56.25,72,128,-0.06
36,0,08793,Tiger Woods,55.88,76,136,-0.18
37,0,29461,Jamie Lovemark,55.63,89,160,-0.37
38,0,35450,Patrick Cantlay,55.26,84,152,-0.26
39,0,47959,Bryson DeChambeau,54.84,102,186,-0.24
40,0,35310,Lanto Griffin,54.73,81,148,-0.37
41,0,28252,Seamus Power,54.49,85,156,-0.32
42,0,12716,Charley Hoffman,54.38,87,160,-0.20
43,0,26300,Matt Jones,54.03,67,124,-0.19
44,0,21961,Charles Howell III,53.98,95,176,-0.26
44,0,49964,Aaron Wise,53.98,95,176,-0.17
46,0,29974,Branden Grace,53.85,56,104,-0.16
47,0,29223,Sam Saunders,53.38,79,148,-0.32
48,0,01810,Phil Mickelson,53.01,88,166,-0.28
49,0,29268,Bronson Burgoon,52.90,73,138,-0.22
50,0,34264,Hudson Swafford,52.73,58,110,-0.33
51,0,30692,Scott Stallings,52.33,90,172,-0.23
52,0,29484,Peter Uihlein,52.14,73,140,-0.25
53,0,47125,Matt Atkins,51.92,54,104,-0.22
53,0,34099,Harris English,51.92,81,156,-0.37
55,0,22405,Justin Rose,50.81,63,124,-0.16
56,0,25198,Francesco Molinari,50.76,67,132,-0.16
57,0,33141,Keegan Bradley,50.00,85,170,-0.34
57,0,26331,Charl Schwartzel,50.00,46,92,-0.15
57,0,47287,Ethan Tracy,50.00,68,136,-0.28
60,0,35461,Beau Hossler,49.52,103,208,-0.23
61,0,32102,Rickie Fowler,49.32,73,148,-0.34
62,0,25900,Lucas Glover,48.98,48,98,-0.29
63,0,24140,Sean O'Hair,48.41,61,126,-0.15
64,0,39954,Cody Gribble,48.25,55,114,-0.22
65,0,27349,Alex Noren,48.21,54,112,-0.06
66,0,25632,Jimmy Walker,48.05,74,154,-0.26
67,0,34563,Chesson Hadley,47.98,95,198,-0.26
68,0,33204,Shane Lowry,47.32,53,112,-0.17
69,0,36799,Stephan Jaeger,46.67,70,150,-0.30
70,0,32757,Patton Kizzire,46.63,83,178,-0.25
71,0,28500,Martin Flores,46.34,76,164,-0.26
71,0,26851,Marc Leishman,46.34,76,164,-0.22
73,0,26329,Louis Oosthuizen,46.30,50,108,-0.02
74,0,34360,Patrick Reed,46.15,72,156,-0.25
75,0,32448,James Hahn,45.95,68,148,-0.32
76,0,34046,Jordan Spieth,45.39,69,152,-0.30
77,0,49771,J.T. Poston,45.07,64,142,-0.30
78,0,34363,Tyrrell Hatton,45.00,45,100,E
79,0,33418,Shawn Stefani,44.59,66,148,-0.35
80,0,24781,Hunter Mahan,44.44,56,126,-0.05
81,0,35891,Cameron Smith,44.29,62,140,-0.21
82,0,40026,Daniel Berger,44.12,60,136,-0.25
83,0,20229,Stewart Cink,43.67,69,158,-0.30
84,0,29485,Brett Stegmaier,43.44,53,122,-0.34
85,0,29535,Brice Garnett,43.16,82,190,-0.28
86,0,46402,Talor Gooch,43.06,62,144,-0.29
87,0,22056,Cameron Percy,43.00,43,100,-0.14
88,0,32254,Xinjun Zhang,42.96,61,142,-0.30
