RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,11123,Chris Couch,70.80,80,113
2,0,24663,Y.E. Yang,68.66,46,67
3,0,28158,Steve Marino,68.60,83,121
4,0,21961,Charles Howell III,68.00,119,175
5,0,27649,Brandt Snedeker,67.97,87,128
6,0,08537,J.P. Hayes,67.86,76,112
7,0,20593,Greg Chalmers,67.60,121,179
8,0,27095,Nick Watney,67.54,77,114
9,0,22371,Aaron Baddeley,67.50,54,80
10,0,06527,Steve Stricker,67.09,53,79
11,0,08075,Jerry Kelly,66.94,81,121
12,0,20572,Rod Pampling,66.67,74,111
13,0,19846,Brian Gay,66.46,107,161
14,0,12782,Tim Herron,65.64,107,163
15,0,23409,James Driscoll,65.25,92,141
16,0,24357,K.J. Choi,65.22,60,92
17,0,10585,Scott McCarron,65.14,71,109
18,0,21878,Mark Wilson,65.05,67,103
19,0,23541,Ben Crane,64.93,87,134
19,0,21731,Freddie Jacobson,64.93,87,134
21,0,20436,Garrett Willis,64.75,79,122
22,0,24024,Zach Johnson,64.71,66,102
23,0,23673,Michael Connell,64.57,113,175
24,0,23983,Luke Donald,64.21,61,95
25,0,29910,Blake Adams,64.15,136,212
25,0,29720,Andres Gonzales,64.15,68,106
27,0,31557,Jim Herman,63.93,78,122
28,0,25396,Kevin Na,63.76,95,149
29,0,24604,Hunter Haas,63.29,100,158
30,0,12510,Chad Campbell,63.16,84,133
30,0,01948,Tim Petrovic,63.16,120,190
32,0,25818,Scott Piercy,63.11,77,122
32,0,25632,Jimmy Walker,63.11,77,122
34,0,27466,Spencer Levin,62.89,100,159
35,0,20127,Chris Riley,62.84,93,148
36,0,25457,Alexandre Rocha,62.83,71,113
37,0,23718,Nathan Green,62.80,103,164
38,0,06621,Joe Durant,62.73,69,110
39,0,22348,Nick O'Hern,62.65,104,166
40,0,07867,Woody Austin,62.38,63,101
41,0,20498,Briny Baird,62.37,58,93
41,0,21805,Harrison Frazar,62.37,58,93
43,0,20160,Charlie Wi,62.35,106,170
44,0,26331,Charl Schwartzel,62.32,43,69
45,0,12602,Dean Wilson,62.31,81,130
46,0,10809,Jim Furyk,62.20,79,127
46,0,27933,John Merrick,62.20,79,127
48,0,31193,Jim Renner,61.98,75,121
49,0,22961,David Mathis,61.74,92,149
49,0,27214,Kevin Streelman,61.74,92,149
51,0,28089,Jason Day,61.68,66,107
52,0,27963,Chris Stroud,61.59,85,138
53,0,22621,Ben Curtis,61.54,80,130
53,0,01706,Davis Love III,61.54,56,91
53,0,23325,Vaughn Taylor,61.54,104,169
56,0,22378,Trevor Immelman,61.27,87,142
57,0,06004,Stephen Ames,61.15,85,139
58,0,23108,Matt Kuchar,61.02,72,118
59,0,29221,Webb Simpson,60.94,78,128
60,0,24924,Bill Haas,60.91,67,110
61,0,06251,Chris DiMarco,60.76,96,158
61,0,23353,J.J. Henry,60.76,96,158
63,0,23623,Bo Van Pelt,60.71,68,112
64,0,10505,Shane Bertsch,60.53,69,114
64,0,20472,Alex Cejka,60.53,46,76
64,0,27939,Matt McQuillan,60.53,69,114
67,0,24925,Jonathan Byrd,60.48,75,124
68,0,01766,Billy Mayfair,60.40,90,149
69,0,21753,Brian Davis,60.38,96,159
70,0,10860,Justin Leonard,60.23,103,171
71,0,29718,Anthony Kim,60.18,68,113
72,0,27330,Josh Teater,60.00,114,190
73,0,26596,Ryan Moore,59.84,73,122
74,0,08725,Tom Gillis,59.81,64,107
75,0,28620,Aron Price,59.69,77,129
76,0,29518,Brendan Steele,59.50,72,121
77,0,21407,Arjun Atwal,59.39,98,165
78,0,32150,Michael Thompson,59.35,73,123
79,0,28087,Kris Blanks,59.33,89,150
80,0,26300,Matt Jones,59.26,80,135
80,0,20645,John Senden,59.26,80,135
82,0,01313,Steve Elkington,59.22,61,103
83,0,23621,Rory Sabbatini,58.97,69,117
84,0,29420,Billy Horschel,58.96,79,134
85,0,06643,Paul Goydos,58.94,89,151
86,0,26851,Marc Leishman,58.78,87,148
87,0,26287,Roland Thatcher,58.77,67,114
88,0,31202,William McGirt,58.60,92,157
89,0,30711,Colt Knost,58.54,96,164
90,0,22913,John Rollins,58.39,87,149
91,0,25834,Daniel Summerhays,58.33,84,144
92,0,02206,David Toms,58.26,67,115
93,0,25240,D.A. Points,58.22,85,146
94,0,24507,Jason Bohn,58.20,71,122
95,0,27936,Martin Laird,58.04,65,112
96,0,21350,Ryuji Imada,58.02,94,162
97,0,26758,David Hearn,58.00,87,150
98,0,26420,Richard Johnson,57.89,77,133
99,0,25562,Andres Romero,57.85,70,121
100,0,33911,Nate Smith,57.78,78,135
101,0,27974,Sung Kang,57.66,64,111
102,0,30926,Chris Kirk,57.46,77,134
103,0,25345,Carl Pettersson,57.45,108,188
103,0,28486,Michael Putnam,57.45,54,94
105,0,23638,Brendon de Jonge,57.39,101,176
106,0,33141,Keegan Bradley,57.06,93,163
107,0,21949,Joe Ogilvie,56.92,74,130
108,0,25686,Jason Dufner,56.82,75,132
109,0,20848,Ángel Cabrera,56.72,38,67
110,0,26951,Johnson Wagner,56.69,72,127
111,0,06573,Brandt Jobe,56.58,86,152
112,0,33419,Cameron Tringale,56.35,111,197
113,0,24980,Scott Gutschewski,56.30,67,119
113,0,06567,Vijay Singh,56.30,67,119
115,0,12652,Cameron Beckman,56.12,78,139
116,0,20229,Stewart Cink,56.04,51,91
117,0,27064,Jhonattan Vegas,56.00,70,125
118,0,10733,Kent Jones,55.93,66,118
119,0,24490,George McNeill,55.73,73,131
120,0,23788,D.J. Trahan,55.63,79,142
121,0,23614,Rich Beem,55.56,75,135
122,0,01797,Rocco Mediate,55.43,51,92
123,0,32366,Kevin Chappell,55.36,62,112
124,0,06515,Shaun Micheel,55.30,73,132
125,0,22293,Heath Slocum,55.26,84,152
126,0,24781,Hunter Mahan,54.92,67,122
127,0,20766,Padraig Harrington,54.90,56,102
128,0,20098,Stuart Appleby,54.89,73,133
129,0,23548,Bill Lunde,54.71,93,170
130,0,28679,Fabián Gómez,54.68,76,139
131,0,21209,Sergio Garcia,54.67,41,75
132,0,20070,Matt Bettencourt,54.65,94,172
133,0,25804,Bubba Watson,54.64,53,97
134,0,08375,Paul Stankowski,54.62,71,130
135,0,27141,J.B. Holmes,54.55,48,88
135,0,27770,Camilo Villegas,54.55,54,99
137,0,01116,Michael Bradley,54.23,77,142
138,0,25444,Justin Hicks,54.13,59,109
139,0,30925,Dustin Johnson,53.95,41,76
140,0,07457,Steve Flesch,53.93,103,191
141,0,29478,Kevin Kisner,53.79,78,145
141,0,26881,Jarrod Lyle,53.79,78,145
143,0,06522,Ernie Els,53.73,36,67
144,0,32102,Rickie Fowler,53.64,59,110
145,0,30692,Scott Stallings,53.57,75,140
146,0,27120,Troy Matteson,53.52,76,142
147,0,09011,David Duval,53.45,62,116
148,0,32640,Troy Merritt,53.33,64,120
148,0,22405,Justin Rose,53.33,48,90
150,0,34255,Joseph Bramlett,53.15,59,111
151,0,32698,Bobby Gates,53.10,77,145
152,0,28475,Jeff Overton,53.02,79,149
153,0,24140,Sean O'Hair,52.94,72,136
154,0,30750,Tommy Gainey,52.82,103,195
155,0,25900,Lucas Glover,52.75,48,91
156,0,23320,Ryan Palmer,52.68,59,112
157,0,26476,Chez Reavie,52.63,80,152
158,0,10885,Robert Allenby,52.58,51,97
159,0,12716,Charley Hoffman,52.55,72,137
159,0,33413,Ben Martin,52.55,72,137
161,0,32876,Martin Piller,52.38,66,126
162,0,26289,Boo Weekley,52.22,47,90
163,0,24846,Ricky Barnes,52.17,60,115
164,0,30110,Kyle Stanley,52.03,64,123
165,0,35087,Bio Kim,51.97,79,152
166,0,31323,Gary Woodland,51.82,57,110
167,0,25274,Steven Bowditch,51.70,76,147
168,0,24361,Pat Perez,51.45,71,138
169,0,34072,Will Strickler,51.40,55,107
170,0,23800,Bryce Molder,51.33,77,150
171,0,23497,Tag Ridings,51.25,82,160
172,0,24358,Robert Garrigus,50.78,65,128
173,0,31401,Zack Miller,50.59,86,170
174,0,22046,Geoff Ogilvy,50.53,48,95
175,0,26679,Kevin Stadler,50.36,69,137
176,0,01577,Lee Janzen,49.61,63,127
177,0,24138,Ian Poulter,49.32,36,73
178,0,24502,Adam Scott,49.23,32,65
179,0,20157,Retief Goosen,49.12,28,57
180,0,27797,Derek Lamely,48.44,62,128
181,0,24290,D.J. Brigman,48.05,74,154
182,0,01810,Phil Mickelson,47.89,34,71
183,0,19970,Robert Karlsson,47.50,38,80
184,0,25572,Graeme McDowell,46.48,33,71
185,0,30946,Alex Prugh,45.45,65,143
186,0,26668,Marc Turnesa,44.44,40,90
