RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND,HOLE,COURSE
1,0,30925,Dustin Johnson,463,Deutsche Bank,4,7,700
2,0,27797,Derek Lamely,419,The Greenbrier,2,7,771
3,0,27141,J.B. Holmes,415,Texas Open,2,10,770
3,0,25804,Bubba Watson,415,WGC-Bridgestone,3,16,036
5,0,31323,Gary Woodland,409,HP Byron Nelson,3,1,019
6,0,11123,Chris Couch,408,Arnold Palmer,1,5,009
7,0,33039,Jason Schmuhl,405,Reno-Tahoe Open,1,18,660
8,0,07457,Steve Flesch,404,The Greenbrier,3,7,771
9,0,23409,James Driscoll,399,Reno-Tahoe Open,1,5,660
10,0,12714,Chris Tidland,395,Reno-Tahoe Open,1,18,660
11,0,24358,Robert Garrigus,394,Hyundai T of C,2,18,656
12,0,35621,Scott Smith,393,Reno-Tahoe Open,1,18,660
13,0,27072,Alvaro Quiros,391,WGC-Bridgestone,4,16,036
13,0,27330,Josh Teater,391,Reno-Tahoe Open,4,8,660
13,0,23788,D.J. Trahan,391,Arnold Palmer,2,5,009
16,0,31401,Zack Miller,390,Memorial Tourn,3,17,023
16,0,30110,Kyle Stanley,390,John Deere Clas,4,10,669
18,0,20848,Ángel Cabrera,389,Memorial Tourn,3,17,023
18,0,26758,David Hearn,389,Reno-Tahoe Open,1,18,660
20,0,10860,Justin Leonard,388,Texas Open,2,10,770
20,0,23320,Ryan Palmer,388,Shell Houston,2,17,729
22,0,28089,Jason Day,387,Hyundai T of C,1,17,656
22,0,25818,Scott Piercy,387,Reno-Tahoe Open,4,18,660
22,0,30692,Scott Stallings,387,WGC-Bridgestone,3,16,036
25,0,27990,Scott Gordon,386,HP Byron Nelson,3,1,019
25,0,12716,Charley Hoffman,386,HP Byron Nelson,2,1,019
25,0,01810,Phil Mickelson,386,Memorial Tourn,3,18,023
28,0,26695,Michael Letzig,385,Shell Houston,2,8,729
28,0,28475,Jeff Overton,385,Honda Classic,3,4,734
30,0,28486,Michael Putnam,383,Texas Open,2,17,770
30,0,06567,Vijay Singh,383,HP Byron Nelson,4,3,019
32,0,20098,Stuart Appleby,382,Hyundai T of C,2,12,656
32,0,32150,Michael Thompson,382,Viking Classic,2,14,609
34,0,21805,Harrison Frazar,381,Shell Houston,2,8,729
34,0,30711,Colt Knost,381,Reno-Tahoe Open,1,1,660
36,0,25274,Steven Bowditch,380,HP Byron Nelson,3,3,019
36,0,24140,Sean O'Hair,380,WGC-Bridgestone,1,3,036
36,0,35364,Sam Smith,380,HP Byron Nelson,2,3,019
36,0,23623,Bo Van Pelt,380,The Open,1,2,778
40,0,01945,Kenny Perry,379,Phoenix Open,1,8,510
40,0,28118,Peter Tomasulo,379,Reno-Tahoe Open,3,8,660
40,0,33419,Cameron Tringale,379,Texas Open,4,15,770
43,0,26300,Matt Jones,378,Texas Open,2,17,770
43,0,30926,Chris Kirk,378,Texas Open,2,17,770
43,0,24781,Hunter Mahan,378,Hyundai T of C,2,7,656
43,0,26882,Michael Sim,378,Texas Open,2,17,770
43,0,20396,Lee Westwood,378,WGC-Bridgestone,3,16,036
48,0,33141,Keegan Bradley,377,Texas Open,2,10,770
48,0,32102,Rickie Fowler,377,The Open,1,2,778
48,0,22792,Peter Hanson,377,The Open,2,1,778
48,0,24361,Pat Perez,377,Reno-Tahoe Open,3,18,660
48,0,24502,Adam Scott,377,Texas Open,4,18,770
48,0,29518,Brendan Steele,377,Texas Open,2,10,770
