RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
1,0,20229,Stewart Cink,241,AT&T Classic,4,6 - Par 5 -
2,0,20634,Peter Lonard,229,THE PLAYERS,3,2 - Par 5 -
3,0,26596,Ryan Moore,229,PODS Champ,1,17 - Par 3
4,0,28475,Jeff Overton,228,Travelers Champ,1,13 - Par 5
5,0,24781,Hunter Mahan,227,THE PLAYERS,2,11 - Par 5
6,0,28486,Michael Putnam,227,Wyndham Champ.,1,17 - Par 3
7,0,23718,Nathan Green,224,Heritage,2,2 - Par 5 -
8,0,12602,Dean Wilson,221,Arnold Palmer,1,2 - Par 3 -
9,0,23048,Eric Axley,218,Ginn Classic,1,17 - Par 3
10,0,20472,Alex Cejka,211,Zurich Classic,3,12 - Par 4
11,0,10809,Jim Furyk,210,Canadian Open,4,4 - Par 3 -
12,0,19972,José Coceres,209,Reno-Tahoe Open,1,7 - Par 3 -
13,0,24449,Parker McLachlin,206,Buick Invitatio,1,3 - Par 3 -
14,0,10860,Justin Leonard,204,Ginn Classic,2,17 - Par 3
15,0,20104,Ken Duke,203,Viking Classic,4,14 - Par 4
16,0,01766,Billy Mayfair,202,Wyndham Champ.,3,8 - Par 3 -
17,0,10912,Craig Perks,202,Travelers Champ,1,8 - Par 3 -
18,0,08075,Jerry Kelly,198,Heritage,3,4 - Par 3 -
19,0,24357,K.J. Choi,197,PODS Champ,1,3 - Par 4 -
20,0,26679,Kevin Stadler,196,AT&T National,3,13 - Par 3
21,0,20850,Daniel Chopra,193,Zurich Classic,4,17 - Par 3
23,0,07749,Brett Quigley,191,Memorial Tourna,3,13 - Par 4
24,0,26360,Bubba Dickerson,191,Buick Open,2,8 - Par 3 -
26,0,23108,Matt Kuchar,190,Zurich Classic,4,3 - Par 3 -
27,0,20572,Rod Pampling,190,Crowne Plaza,4,16 - Par 3
28,0,02101,Joey Sindelar,189,Wyndham Champ.,1,16 - Par 4
31,0,06515,Shaun Micheel,185,Turning Stone,3,16 - Par 3
33,0,12705,Cliff Kresge,184,PODS Champ,1,6 - Par 4 -
34,0,22293,Heath Slocum,179,FBR Open,4,4 - Par 3 -
35,0,25273,Andrew Buckle,179,Fry's Open,1,8 - Par 3 -
36,0,25190,Jeff Quinney,178,Bob Hope Chrysl,5,17 - Par 3
37,0,23614,Rich Beem,177,Nissan Open,3,14 - Par 3
38,0,11123,Chris Couch,176,Mercedes-Benz,4,7 - Par 4 -
39,0,21350,Ryuji Imada,176,Sony Open,1,2 - Par 4 -
40,0,23623,Bo Van Pelt,173,Travelers Champ,4,16 - Par 3
41,0,01329,Brad Faxon,172,Arnold Palmer,1,1 - Par 4 -
42,0,21806,Paul Gow,171,Fry's Open,2,1 - Par 4 -
43,0,07547,Craig Kanada,170,Sony Open,2,1 - Par 4 -
44,0,23320,Ryan Palmer,169,Bob Hope Chrysl,2,17 - Par 3
45,0,01941,Tom Pernice Jr.,168,FBR Open,4,1 - Par 4 -
46,0,26289,Boo Weekley,168,Viking Classic,2,12 - Par 3
47,0,20157,Retief Goosen,165,Nissan Open,2,16 - Par 3
48,0,19846,Brian Gay,165,Crowne Plaza,1,8 - Par 3 -
49,0,01677,Tom Lehman,163,THE PLAYERS,2,15 - Par 4
50,0,01666,Bernhard Langer,163,Crowne Plaza,3,15 - Par 4
52,0,06567,Vijay Singh,162,Wachovia Champ,3,12 - Par 4
53,0,10423,Mike Weir,161,Nissan Open,2,3 - Par 4 -
54,0,24039,Prom Meesawat,160,WGC-CA Champ,2,11 - Par 4
55,0,20623,Gavin Coles,158,AT&T Classic,4,17 - Par 4
60,0,08635,Colin Montgomerie,155,WGC-Bridgestone,1,17 - Par 4
61,0,27561,Nick Flanagan,154,Texas Open,1,10 - Par 4
63,0,24024,Zach Johnson,152,Arnold Palmer,2,8 - Par 4 -
64,0,21753,Brian Davis,151,Texas Open,4,15 - Par 4
65,0,25900,Lucas Glover,148,Disney,2,1 - Par 4 -
66,0,20628,Arron Oberholser,146,Wachovia Champ,3,3 - Par 4 -
67,0,02239,Scott Verplank,141,THE TOUR Champ,1,7 - Par 4 -
68,0,28480,Jim St. Pierre,141,Travelers Champ,1,12 - Par 4
70,0,10213,Dicky Pride,140,Canadian Open,3,11 - Par 5
71,0,22405,Justin Rose,139,The Barclays,3,14 - Par 3
72,0,22295,Darron Stiles,138,Zurich Classic,4,11 - Par 5
73,0,01381,Fred Funk,138,AT&T National,1,12 - Par 4
74,0,06251,Chris DiMarco,137,FBR Open,1,10 - Par 4
75,0,27649,Brandt Snedeker,137,Canadian Open,1,12 - Par 4
77,0,21878,Mark Wilson,134,BMW Champ,4,4 - Par 4 -
78,0,01320,Bob Estes,134,AT&T Classic,2,11 - Par 3
79,0,23353,J.J. Henry,134,AT&T Classic,2,11 - Par 3
