RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST OF APPR SHOT,TOTAL HOLES
1,0,01132,Mark Brooks,157.3,4144282.000,732
2,0,23800,Bryce Molder,157.6,4977181.000,877
3,0,26882,Michael Sim,157.7,5086211.000,896
4,0,01035,Tommy Armour III,158.3,7028010.000,1233
5,0,26881,Jarrod Lyle,158.8,6858002.000,1200
6,0,22295,Darron Stiles,159.2,5444874.000,950
7,0,27963,Chris Stroud,159.3,5733306.000,1000
7,0,10425,Jay Williamson,159.3,4941906.000,862
9,0,07363,Craig Bowden,159.5,6898004.000,1201
9,0,26360,Bubba Dickerson,159.5,4375206.000,762
9,0,02036,Jim Rutledge,159.5,4718699.000,822
12,0,23135,Tim Clark,159.6,5457523.000,950
12,0,08931,Glen Day,159.6,7708913.000,1342
14,0,01473,Todd Hamilton,159.7,5967766.000,1038
14,0,08537,J.P. Hayes,159.7,8263013.000,1437
16,0,10860,Justin Leonard,160.0,8445445.000,1466
17,0,20127,Chris Riley,160.1,5280681.000,916
18,0,23497,Tag Ridings,160.2,4635656.000,804
19,0,23933,Michael Boyd,160.3,5366684.000,930
19,0,01381,Fred Funk,160.3,5489228.000,951
21,0,10117,Bob Heintz,160.4,7413484.000,1284
22,0,02214,Kirk Triplett,160.5,7047790.000,1220
23,0,20850,Daniel Chopra,160.6,9821334.000,1699
23,0,23320,Ryan Palmer,160.6,8494103.000,1469
25,0,01157,Tom Byrum,160.7,4241658.000,733
25,0,22046,Geoff Ogilvy,160.7,6623679.000,1145
27,0,19846,Brian Gay,160.9,10047863.000,1735
28,0,01320,Bob Estes,161.1,8282340.000,1428
28,0,21878,Mark Wilson,161.1,7588156.000,1308
30,0,23613,Rich Barcelo,161.2,7265294.000,1252
31,0,20098,Stuart Appleby,161.3,6033628.000,1039
31,0,08123,Jeff Brehaut,161.3,5104778.000,879
33,0,21731,Freddie Jacobson,161.4,7078728.000,1218
33,0,01577,Lee Janzen,161.4,5408845.000,931
35,0,10213,Dicky Pride,161.5,6356003.000,1093
35,0,02101,Joey Sindelar,161.5,7005214.000,1205
35,0,06527,Steve Stricker,161.5,6761476.000,1163
35,0,02206,David Toms,161.5,6553831.000,1127
39,0,23638,Brendon de Jonge,161.6,6886883.000,1184
39,0,27060,John Mallinger,161.6,9075554.000,1560
41,0,06197,Michael Allen,161.7,6655139.000,1143
41,0,06643,Paul Goydos,161.7,4902661.000,842
41,0,26420,Richard Johnson,161.7,8774741.000,1507
41,0,23108,Matt Kuchar,161.7,7396866.000,1271
41,0,20691,Greg Owen,161.7,7284357.000,1251
46,0,19803,Ryan Armour,161.8,9793161.000,1681
47,0,19824,Craig Barlow,161.9,4597515.000,789
47,0,25273,Andrew Buckle,161.9,6983974.000,1198
49,0,06621,Joe Durant,162.0,7639030.000,1310
49,0,12680,Shigeki Maruyama,162.0,8347775.000,1431
49,0,21660,Jason Schultz,162.0,5501052.000,943
49,0,12714,Chris Tidland,162.0,5312782.000,911
53,0,07223,Brian Bateman,162.1,4591808.000,787
53,0,11123,Chris Couch,162.1,7620544.000,1306
53,0,07547,Craig Kanada,162.1,9851837.000,1688
53,0,01707,Steve Lowery,162.1,7179973.000,1230
53,0,22293,Heath Slocum,162.1,9736449.000,1668
58,0,24290,D.J. Brigman,162.3,5620372.000,962
58,0,12716,Charley Hoffman,162.3,8668171.000,1484
58,0,22212,Craig Lile,162.3,7214830.000,1235
58,0,01706,Davis Love III,162.3,5543559.000,949
58,0,01724,Jeff Maggert,162.3,8145421.000,1394
58,0,26289,Boo Weekley,162.3,8183985.000,1401
64,0,02104,Jeff Sluman,162.4,4391453.000,751
65,0,23048,Eric Axley,162.5,9835932.000,1681
65,0,21949,Joe Ogilvie,162.5,9110710.000,1557
67,0,21805,Harrison Frazar,162.6,7654469.000,1308
67,0,01388,Robert Gamez,162.6,7954441.000,1359
67,0,06515,Shaun Micheel,162.6,7321454.000,1251
70,0,28475,Jeff Overton,162.7,5686741.000,971
70,0,29476,Kyle Reifers,162.7,6602506.000,1127
72,0,25804,Bubba Watson,162.8,6904635.000,1178
73,0,01249,John Daly,162.9,5120500.000,873
73,0,23983,Luke Donald,162.9,5265499.000,898
73,0,24138,Ian Poulter,162.9,4115973.000,702
73,0,27649,Brandt Snedeker,162.9,9038012.000,1541
77,0,12510,Chad Campbell,163.0,7677310.000,1308
78,0,20229,Stewart Cink,163.1,7569969.000,1289
78,0,20104,Ken Duke,163.1,9954673.000,1695
78,0,20433,Mark Hensby,163.1,7564164.000,1288
78,0,02246,Duffy Waldorf,163.1,6218815.000,1059
82,0,06251,Chris DiMarco,163.2,6614852.000,1126
82,0,20157,Retief Goosen,163.2,3577120.000,609
82,0,27702,Matt Hendrix,163.2,5758533.000,980
82,0,27933,John Merrick,163.2,8534085.000,1453
82,0,26679,Kevin Stadler,163.2,8191182.000,1394
87,0,21646,David Branshaw,163.3,7901453.000,1344
87,0,20623,Gavin Coles,163.3,8090925.000,1376
87,0,06034,Marco Dawson,163.3,6829695.000,1162
87,0,12782,Tim Herron,163.3,8613973.000,1465
87,0,22806,Doug LaBelle II,163.3,9567563.000,1627
92,0,20472,Alex Cejka,163.4,7817473.000,1329
92,0,11032,Frank Lickliter II,163.4,8936254.000,1519
92,0,20628,Arron Oberholser,163.4,5586874.000,950
92,0,01945,Kenny Perry,163.4,7924851.000,1347
96,0,21806,Paul Gow,163.5,5974569.000,1015
96,0,01677,Tom Lehman,163.5,5145042.000,874
96,0,21959,Ted Purdy,163.5,9152594.000,1555
99,0,20634,Peter Lonard,163.6,8025674.000,1363
99,0,01797,Rocco Mediate,163.6,7055985.000,1198
99,0,23325,Vaughn Taylor,163.6,7569333.000,1285
102,0,21961,Charles Howell III,163.7,6993418.000,1187
102,0,08881,Tripp Isenhour,163.7,7689063.000,1305
104,0,06004,Stephen Ames,163.8,6544964.000,1110
104,0,01142,Bart Bryant,163.8,7823262.000,1327
104,0,24490,George McNeill,163.8,8478015.000,1438
104,0,22913,John Rollins,163.8,8854463.000,1502
108,0,20498,Briny Baird,163.9,11126690.000,1886
108,0,12660,Jesper Parnevik,163.9,7918566.000,1342
108,0,07749,Brett Quigley,163.9,6677638.000,1132
108,0,23322,Brett Wetterich,163.9,7386893.000,1252
112,0,24449,Parker McLachlin,164.0,7724474.000,1308
113,0,01313,Steve Elkington,164.1,7719486.000,1307
113,0,21528,Henrik Stenson,164.1,3803446.000,644
115,0,24358,Robert Garrigus,164.2,9113770.000,1542
115,0,10733,Kent Jones,164.2,9297105.000,1573
115,0,12705,Cliff Kresge,164.2,10592266.000,1792
115,0,01928,Corey Pavin,164.2,7538494.000,1275
115,0,23623,Bo Van Pelt,164.2,10276440.000,1738
120,0,20160,Charlie Wi,164.3,8771047.000,1483
121,0,01161,Mark Calcavecchia,164.4,7749029.000,1309
121,0,12195,Tom Johnson,164.4,6680229.000,1129
123,0,25190,Jeff Quinney,164.5,9113193.000,1539
123,0,24457,Jaco Van Zyl,164.5,4672792.000,789
125,0,22621,Ben Curtis,164.6,6753484.000,1140
125,0,22892,Jason Gore,164.6,8295820.000,1400
125,0,22378,Trevor Immelman,164.6,5747646.000,970
125,0,28158,Steve Marino,164.6,9662754.000,1631
125,0,25345,Carl Pettersson,164.6,9739059.000,1644
130,0,01024,Billy Andrade,164.7,8362486.000,1410
130,0,06567,Vijay Singh,164.7,8685781.000,1465
132,0,21350,Ryuji Imada,164.8,9439001.000,1591
