RANK,MOVEMENT,PLAYER_ID,PLAYER,%,OFFICIAL MONEY WON,TOTAL PURSE AVAILABLE
1,0,08793,Tiger Woods,6.88,8553438,124250000
2,0,21528,Henrik Stenson,4.83,6388228,132200000
3,0,06527,Steve Stricker,4.43,4440531,100250000
4,0,24502,Adam Scott,3.93,4892607,124550000
5,0,01810,Phil Mickelson,3.59,5495791,153100000
6,0,23108,Matt Kuchar,3.39,5616807,165650000
7,0,27649,Brandt Snedeker,3.33,5318086,159850000
8,0,22405,Justin Rose,3.17,4146147,130850000
9,0,34046,Jordan Spieth,2.57,3879817,151100000
10,0,24024,Zach Johnson,2.41,4044507,168050000
11,0,28089,Jason Day,2.33,3625026,155450000
12,0,33141,Keegan Bradley,2.04,3636810,178550000
13,0,10505,Shane Bertsch,2.00,112000,5600000
13,0,29926,Danny Lee,2.00,112000,5600000
15,0,10809,Jim Furyk,1.99,3204778,161250000
15,0,19958,Miguel Angel Jiménez,1.99,491546,24750000
17,0,29420,Billy Horschel,1.98,3501701,177050000
18,0,25686,Jason Dufner,1.95,3132266,160950000
19,0,24924,Bill Haas,1.94,3475561,179150000
20,0,30925,Dustin Johnson,1.85,2963212,159950000
21,0,27214,Kevin Streelman,1.82,3088281,169750000
22,0,34358,Jonathan Randolph,1.80,54000,3000000
23,0,25572,Graeme McDowell,1.78,2174593,121950000
24,0,32800,Franklin Corpening,1.75,112000,6400000
25,0,21209,Sergio Garcia,1.73,2251136,130050000
26,0,24781,Hunter Mahan,1.71,3036163,177800000
27,0,27436,Graham DeLaet,1.66,2834897,171200000
27,0,29221,Webb Simpson,1.66,2957579,177850000
29,0,32839,Hideki Matsuyama,1.57,771638,49250000
29,0,26331,Charl Schwartzel,1.57,2256721,143450000
31,0,26289,Boo Weekley,1.55,2786659,179250000
32,0,23983,Luke Donald,1.49,1930645,129450000
33,0,28237,Rory McIlroy,1.46,1802441,123050000
33,0,20396,Lee Westwood,1.46,2081729,142250000
35,0,24138,Ian Poulter,1.42,1723461,121650000
36,0,25240,D.A. Points,1.40,2658886,189650000
37,0,27095,Nick Watney,1.34,2477637,184350000
38,0,25632,Jimmy Walker,1.32,2117569,160200000
39,0,07867,Woody Austin,1.31,568800,43400000
40,0,34099,Harris English,1.27,2201163,173350000
41,0,27895,Jonas Blixt,1.26,2027515,161350000
42,0,27933,John Merrick,1.23,1969476,160000000
43,0,20848,Ángel Cabrera,1.22,1791181,146950000
43,0,20634,Peter Lonard,1.22,36666,3000000
43,0,34360,Patrick Reed,1.22,1961518,160300000
43,0,08375,Paul Stankowski,1.22,36666,3000000
47,0,27936,Martin Laird,1.20,1755393,146650000
48,0,23790,Eduardo De La Riva,1.19,95043,8000000
49,0,34098,Russell Henley,1.17,2008023,171350000
49,0,31323,Gary Woodland,1.17,1915730,164400000
51,0,32200,Roberto Castro,1.16,2154895,185300000
51,0,34409,David Lingmerth,1.16,1748108,150800000
53,0,25804,Bubba Watson,1.14,1759274,153950000
54,0,32102,Rickie Fowler,1.13,1816740,160450000
54,0,26300,Matt Jones,1.13,1724706,152800000
54,0,30926,Chris Kirk,1.13,1728615,153200000
57,0,21961,Charles Howell III,1.10,1877385,170900000
58,0,32150,Michael Thompson,1.09,1707636,156300000
59,0,20574,Mathew Goggin,1.08,86579,8000000
60,0,25818,Scott Piercy,1.07,1830083,171450000
61,0,23320,Ryan Palmer,1.05,1521591,145500000
62,0,12716,Charley Hoffman,1.04,1582423,152600000
62,0,21099,David Lynn,1.04,1633253,157250000
64,0,28259,Sangmoon Bae,1.01,1714637,170550000
64,0,32366,Kevin Chappell,1.01,1589838,156900000
66,0,37273,Derek Ernst,.98,1330856,135450000
66,0,27963,Chris Stroud,.98,1602121,163800000
68,0,23135,Tim Clark,.96,1355951,141000000
68,0,25892,Steve Wheatcroft,.96,59520,6200000
70,0,23638,Brendon de Jonge,.95,1795240,188900000
70,0,26851,Marc Leishman,.95,1491357,157300000
70,0,26596,Ryan Moore,.95,1490263,157550000
73,0,25191,Gonzalo Fernandez-Castaño,.93,858653,92450000
73,0,30110,Kyle Stanley,.93,1462942,157600000
73,0,30927,Brendon Todd,.93,473219,51000000
76,0,20104,Ken Duke,.92,1722582,186450000
76,0,30692,Scott Stallings,.92,1622626,177200000
78,0,21731,Freddie Jacobson,.90,1236721,137900000
79,0,19846,Brian Gay,.88,1426016,162100000
80,0,27330,Josh Teater,.87,1332651,153800000
81,0,24459,Richard Sterne,.86,483757,56050000
82,0,06522,Ernie Els,.84,1173760,140050000
83,0,26679,Kevin Stadler,.83,1281175,155200000
83,0,25841,Marc Warren,.83,132785,16000000
85,0,33968,Thorbjørn Olesen,.82,713300,86750000
86,0,34174,John Huh,.81,1529482,188650000
87,0,22913,John Rollins,.80,1164047,146000000
87,0,23621,Rory Sabbatini,.80,1327819,165300000
87,0,21878,Mark Wilson,.80,913729,113700000
90,0,30944,Jason Kokrak,.78,1267523,163100000
90,0,01724,Jeff Maggert,.78,1022327,131200000
90,0,25834,Daniel Summerhays,.78,1277884,163100000
90,0,22000,Chris Wood,.78,330585,42250000
94,0,39531,Ken Looper,.77,73530,9600000
94,0,32139,Danny Willett,.77,123043,16000000
96,0,01226,Fred Couples,.76,218397,28800000
97,0,01024,Billy Andrade,.75,114000,15100000
97,0,32694,Morten Orum Madsen,.75,60183,8000000
97,0,28723,John Parry,.75,60183,8000000
100,0,29479,Scott Brown,.74,1012142,136000000
100,0,24358,Robert Garrigus,.74,1132355,153800000
102,0,33461,Morgan Hoffmann,.72,871003,121800000
103,0,20229,Stewart Cink,.71,1052711,147800000
103,0,27821,Steven Tiley,.71,56873,8000000
105,0,26758,David Hearn,.70,1171513,167400000
105,0,27408,Martin Kaymer,.70,882934,125950000
105,0,01666,Bernhard Langer,.70,56040,8000000
105,0,24361,Pat Perez,.70,974799,140100000
109,0,12652,Cameron Beckman,.69,276805,40100000
109,0,21753,Brian Davis,.69,1221521,177900000
