RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,01042,Paul Azinger,67.22,121,180,-1.00
2,0,01378,David Frost,61.54,96,156,-5.00
3,0,01823,Larry Mize,60.31,79,131,-8.00
4,0,01024,Billy Andrade,60.00,117,195,+3.00
5,0,01766,Billy Mayfair,59.90,115,192,-4.00
6,0,01557,John Inman,59.34,108,182,+7.00
7,0,01346,Ed Fiori,59.31,121,204,-9.00
8,0,01553,John Huston,58.43,97,166,+9.00
8,0,01571,Barry Jaeckel,58.43,52,89,+18.00
10,0,02186,Brian Tennyson,57.95,102,176,-1.00
11,0,01049,Ian Baker-Finch,57.55,80,139,+8.00
12,0,01303,Bob Eastwood,57.33,86,150,-11.00
13,0,01495,Morris Hatalsky,57.14,92,161,-1.00
13,0,02094,Tony Sills,57.14,44,77,+2.00
15,0,01175,Jim Carter,56.98,98,172,+9.00
16,0,01196,Brian Claar,56.85,83,146,-8.00
17,0,01072,Chip Beck,56.68,106,187,-2.00
18,0,02322,Richard Zokol,56.41,66,117,-9.00
19,0,02041,Bill Sander,56.32,107,190,-6.00
20,0,02241,Bobby Wadkins,56.22,113,201,-21.00
21,0,01414,Bob Gilder,56.12,78,139,+5.00
22,0,01938,David Peoples,55.62,99,178,+1.00
23,0,01835,Tommy Moore,55.47,71,128,+10.00
24,0,02100,Tim Simpson,55.15,75,136,-3.00
25,0,01876,Greg Norman,55.05,60,109,-9.00
26,0,01489,Steve Hart,54.76,69,126,+3.00
27,0,01329,Brad Faxon,54.71,93,170,+12.00
28,0,01306,David Edwards,54.62,71,130,+8.00
29,0,02049,Gene Sauers,54.60,89,163,-5.00
30,0,01444,Ken Green,54.42,80,147,-13.00
31,0,02230,Stan Utley,54.26,102,188,E
32,0,01381,Fred Funk,54.20,71,131,+7.00
33,0,02104,Jeff Sluman,54.17,104,192,+3.00
34,0,01706,Davis Love III,54.07,93,172,+1.00
35,0,01946,Peter Persons,54.02,94,174,+5.00
36,0,02167,Mike Sullivan,54.01,74,137,+5.00
37,0,02159,Curtis Strange,53.85,56,104,-6.00
38,0,02214,Kirk Triplett,53.78,64,119,-1.00
39,0,01701,Bob Lohr,53.70,87,162,-9.00
40,0,01682,Wayne Levi,53.62,74,138,+6.00
41,0,01150,George Burns,53.55,83,155,+3.00
42,0,01203,Russ Cochran,53.49,92,172,-3.00
43,0,01715,Mark Lye,52.99,71,134,-3.00
44,0,01507,Webb Heintzelman,52.94,72,136,+11.00
44,0,01633,Tom Kite,52.94,63,119,-4.00
46,0,01355,Raymond Floyd,52.73,58,110,+2.00
47,0,01284,Mike Donald,52.69,98,186,-11.00
48,0,01331,Rick Fehr,52.41,87,166,+7.00
49,0,01971,Dillard Pruitt,52.34,56,107,+24.00
50,0,01390,Buddy Gardner,52.08,100,192,-4.00
50,0,01846,Jodie Mudd,52.08,75,144,-4.00
50,0,02256,Tom Watson,52.08,50,96,-6.00
53,0,06142,Mitch Adcock,51.96,53,102,+16.00
54,0,01132,Mark Brooks,51.93,94,181,-2.00
55,0,01266,Clark Dennis,51.90,82,158,+7.00
56,0,01577,Lee Janzen,51.85,70,135,+4.00
57,0,01641,Gary Koch,51.82,57,110,+12.00
58,0,02010,Loren Roberts,51.81,86,166,+6.00
59,0,01093,Ronnie Black,51.67,93,180,+2.00
60,0,01014,Fulton Allem,51.61,64,124,+1.00
61,0,02007,Larry Rinker,51.57,82,159,-18.00
62,0,01040,Emlyn Aubrey,51.46,88,171,E
62,0,01078,Jim Benepe,51.46,53,103,+3.00
64,0,02033,Dave Rummells,51.41,91,177,+6.00
65,0,01154,Bill Buttner,51.37,75,146,+1.00
