RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR <= 240,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01928,Corey Pavin,19.72,153,776,+0.131
2,0,25190,Jeff Quinney,11.36,116,1021,+0.190
3,0,20623,Gavin Coles,10.95,67,612,+0.149
4,0,26420,Richard Johnson,10.41,71,682,+0.169
5,0,12680,Shigeki Maruyama,10.15,59,581,+0.288
6,0,19913,Ron Whittaker,10.00,57,570,+0.123
7,0,01139,Olin Browne,9.75,95,974,+0.063
8,0,20127,Chris Riley,9.71,54,556,+0.148
9,0,06090,Jim McGovern,9.23,81,878,+0.160
10,0,08845,Scott Sterling,9.01,93,1032,+0.075
11,0,06643,Paul Goydos,8.95,84,939,+0.083
12,0,01320,Bob Estes,8.85,106,1198,+0.104
13,0,20443,Jin Park,8.73,85,974,+0.365
14,0,07457,Steve Flesch,8.67,98,1130,+0.255
15,0,19846,Brian Gay,8.65,104,1202,+0.173
16,0,26500,Alejandro Cañizares,8.60,49,570,+0.020
17,0,25720,Chad Collins,8.31,73,878,+0.233
18,0,06012,Greg Kraft,8.17,57,698,+0.281
19,0,08931,Glen Day,8.09,63,779,+0.175
20,0,01577,Lee Janzen,8.05,84,1043,+0.048
21,0,22806,Doug LaBelle II,7.98,57,714,+0.281
22,0,10733,Kent Jones,7.96,61,766,+0.213
22,0,20382,Stephen Leaney,7.96,50,628,+0.080
24,0,09011,David Duval,7.87,45,572,+0.422
25,0,10505,Shane Bertsch,7.83,98,1252,+0.112
26,0,22548,Patrick Sheehan,7.80,114,1461,+0.140
27,0,06034,Marco Dawson,7.73,58,750,+0.086
28,0,07547,Craig Kanada,7.68,59,768,+0.271
29,0,24024,Zach Johnson,7.62,76,998,+0.026
30,0,12602,Dean Wilson,7.56,98,1296,+0.143
31,0,12823,Carlos Franco,7.52,66,878,+0.091
32,0,26596,Ryan Moore,7.50,66,880,+0.212
33,0,12826,Paul Claxton,7.47,52,696,+0.327
34,0,08075,Jerry Kelly,7.46,77,1032,+0.221
34,0,22348,Nick O'Hern,7.46,74,992,+0.108
36,0,06251,Chris DiMarco,7.45,79,1060,+0.291
37,0,22892,Jason Gore,7.44,88,1183,-0.011
37,0,24449,Parker McLachlin,7.44,82,1102,+0.256
39,0,01388,Robert Gamez,7.39,73,988,+0.096
40,0,12660,Jesper Parnevik,7.37,77,1045,+0.065
41,0,21350,Ryuji Imada,7.28,69,948,+0.145
42,0,02223,Bob Tway,7.18,57,794,+0.140
43,0,25396,Kevin Na,7.01,89,1269,+0.191
44,0,01948,Tim Petrovic,6.99,79,1130,+0.177
45,0,01473,Todd Hamilton,6.98,72,1031,+0.153
46,0,06527,Steve Stricker,6.77,55,812,+0.091
47,0,12510,Chad Campbell,6.75,80,1186,+0.113
47,0,10585,Scott McCarron,6.75,51,756,+0.078
49,0,06575,Dudley Hart,6.72,63,938,-0.032
50,0,23048,Eric Axley,6.66,91,1366,+0.275
51,0,21878,Mark Wilson,6.61,96,1452,+0.135
52,0,26668,Marc Turnesa,6.60,70,1060,+0.286
53,0,07749,Brett Quigley,6.58,67,1018,+0.179
54,0,06004,Stephen Ames,6.50,60,923,+0.133
54,0,20105,Jeff Gove,6.50,40,615,E
56,0,02239,Scott Verplank,6.47,59,912,+0.068
57,0,23409,James Driscoll,6.44,68,1056,+0.265
58,0,27933,John Merrick,6.42,69,1074,+0.087
59,0,22378,Trevor Immelman,6.38,48,752,+0.188
60,0,06197,Michael Allen,6.33,69,1090,+0.159
61,0,25804,Bubba Watson,6.26,70,1118,+0.114
62,0,10423,Mike Weir,6.25,58,928,+0.017
63,0,23718,Nathan Green,6.24,79,1266,+0.253
64,0,20104,Ken Duke,6.22,91,1462,+0.121
65,0,01677,Tom Lehman,6.20,33,532,+0.273
66,0,12782,Tim Herron,6.19,75,1211,+0.160
67,0,27060,John Mallinger,6.16,72,1169,+0.208
68,0,08537,J.P. Hayes,6.15,54,878,+0.500
69,0,06573,Brandt Jobe,6.12,40,654,E
69,0,20160,Charlie Wi,6.12,75,1226,+0.160
71,0,01941,Tom Pernice Jr.,6.09,83,1364,+0.145
72,0,20645,John Senden,6.03,69,1144,+0.072
72,0,22582,Kyle Thompson,6.03,48,796,+0.375
74,0,23108,Matt Kuchar,6.02,59,980,+0.220
75,0,01142,Bart Bryant,6.00,56,934,+0.089
76,0,27649,Brandt Snedeker,5.97,56,938,+0.018
77,0,10860,Justin Leonard,5.95,61,1026,-0.148
77,0,24138,Ian Poulter,5.95,30,504,+0.367
79,0,01024,Billy Andrade,5.92,51,862,+0.275
80,0,25632,Jimmy Walker,5.90,51,864,+0.255
80,0,25349,Tim Wilkinson,5.90,66,1118,+0.121
82,0,10809,Jim Furyk,5.88,62,1054,-0.081
83,0,27963,Chris Stroud,5.87,54,920,-0.056
84,0,10649,Tom Scherrer,5.86,36,614,+0.111
85,0,22371,Aaron Baddeley,5.81,49,844,E
85,0,08385,Omar Uresti,5.81,51,878,+0.275
85,0,24663,Y.E. Yang,5.81,65,1118,+0.338
88,0,25364,Paul Casey,5.80,29,500,+0.345
88,0,24361,Pat Perez,5.80,64,1103,+0.094
90,0,20574,Mathew Goggin,5.77,66,1144,+0.136
91,0,24925,Jonathan Byrd,5.76,62,1076,+0.065
92,0,23540,Jason Allred,5.75,40,696,+0.150
93,0,25842,Jon Mills,5.71,62,1085,+0.258
93,0,23623,Bo Van Pelt,5.71,74,1297,+0.257
95,0,26476,Chez Reavie,5.67,71,1252,+0.169
96,0,23320,Ryan Palmer,5.62,47,836,-0.043
97,0,23778,Brad Adamonis,5.57,59,1059,+0.237
98,0,24781,Hunter Mahan,5.56,56,1008,+0.179
99,0,12705,Cliff Kresge,5.51,56,1016,+0.196
99,0,28475,Jeff Overton,5.51,70,1270,+0.114
101,0,20157,Retief Goosen,5.46,32,586,+0.406
102,0,23353,J.J. Henry,5.43,75,1382,+0.067
102,0,01766,Billy Mayfair,5.43,72,1326,+0.139
104,0,01797,Rocco Mediate,5.39,52,964,+0.269
105,0,20472,Alex Cejka,5.38,45,836,+0.400
105,0,20572,Rod Pampling,5.38,51,948,+0.137
107,0,10425,Jay Williamson,5.37,60,1118,+0.133
108,0,06621,Joe Durant,5.36,59,1100,+0.085
109,0,22621,Ben Curtis,5.33,47,882,+0.106
110,0,23621,Rory Sabbatini,5.30,47,886,E
111,0,01161,Mark Calcavecchia,5.29,40,756,+0.575
112,0,20848,Ángel Cabrera,5.27,29,550,+0.207
113,0,02002,John Riegger,5.26,47,893,+0.085
114,0,12652,Cameron Beckman,5.24,54,1031,+0.204
114,0,01707,Steve Lowery,5.24,49,935,+0.388
116,0,01035,Tommy Armour III,5.23,48,917,+0.208
117,0,20634,Peter Lonard,5.12,57,1114,+0.175
118,0,24490,George McNeill,5.10,64,1256,+0.250
119,0,20378,Mathias Grönberg,5.09,56,1100,+0.196
120,0,22913,John Rollins,5.07,56,1104,+0.196
121,0,21753,Brian Davis,5.06,72,1422,+0.111
122,0,27613,David Lutterus,5.04,35,695,+0.400
123,0,19803,Ryan Armour,5.02,53,1056,+0.113
123,0,21731,Freddie Jacobson,5.02,45,896,+0.067
125,0,26679,Kevin Stadler,5.00,51,1020,-0.039
126,0,27561,Nick Flanagan,4.95,55,1111,+0.327
127,0,23125,Brad Elder,4.92,37,752,+0.081
128,0,20850,Daniel Chopra,4.87,47,966,+0.149
129,0,26951,Johnson Wagner,4.84,46,950,+0.174
130,0,23797,Brett Rumford,4.83,41,848,+0.317
131,0,01313,Steve Elkington,4.81,49,1018,+0.122
131,0,27936,Martin Laird,4.81,57,1186,+0.035
133,0,26300,Matt Jones,4.78,56,1172,+0.179
134,0,21961,Charles Howell III,4.76,58,1218,-0.034
135,0,22293,Heath Slocum,4.75,57,1200,+0.140
136,0,23325,Vaughn Taylor,4.72,62,1314,+0.129
137,0,23135,Tim Clark,4.70,48,1022,-0.021
138,0,10885,Robert Allenby,4.67,56,1200,E
139,0,24357,K.J. Choi,4.61,37,802,+0.108
140,0,12716,Charley Hoffman,4.56,55,1206,+0.127
141,0,26695,Michael Letzig,4.55,47,1032,+0.255
142,0,27120,Troy Matteson,4.52,56,1238,+0.143
143,0,24227,Justin Bolli,4.50,46,1022,+0.196
144,0,20663,Brenden Pappas,4.49,35,780,+0.200
145,0,20498,Briny Baird,4.48,60,1338,+0.117
145,0,02206,David Toms,4.48,35,782,E
147,0,10875,Todd Demsey,4.44,44,990,+0.114
148,0,25345,Carl Pettersson,4.43,60,1354,+0.150
149,0,24912,Will MacKenzie,4.42,35,792,+0.086
150,0,24924,Bill Haas,4.39,55,1252,+0.145
151,0,11032,Frank Lickliter II,4.31,60,1392,+0.200
152,0,01945,Kenny Perry,4.30,55,1280,E
153,0,23614,Rich Beem,4.26,47,1102,+0.170
154,0,23788,D.J. Trahan,4.24,46,1084,+0.174
155,0,06595,Kevin Sutherland,4.23,52,1228,+0.077
156,0,23541,Ben Crane,4.21,44,1046,+0.068
157,0,06522,Ernie Els,4.18,21,502,+0.048
158,0,21959,Ted Purdy,4.14,34,821,+0.353
159,0,22046,Geoff Ogilvy,4.11,28,682,-0.107
160,0,28158,Steve Marino,4.08,59,1447,+0.102
161,0,01706,Davis Love III,4.07,37,908,-0.108
161,0,23497,Tag Ridings,4.07,46,1130,+0.283
163,0,30750,Tommy Gainey,4.05,26,642,+0.462
164,0,27214,Kevin Streelman,4.00,54,1351,+0.259
165,0,25900,Lucas Glover,3.97,46,1158,+0.217
166,0,21949,Joe Ogilvie,3.94,48,1217,+0.167
167,0,27095,Nick Watney,3.91,46,1176,+0.261
168,0,27770,Camilo Villegas,3.85,34,882,+0.118
169,0,20229,Stewart Cink,3.81,34,892,+0.029
170,0,24358,Robert Garrigus,3.76,45,1196,+0.289
171,0,21633,Steve Allan,3.73,25,670,+0.360
172,0,28089,Jason Day,3.72,40,1076,+0.025
173,0,24140,Sean O'Hair,3.69,35,948,+0.114
174,0,26631,Cody Freeman,3.65,28,768,+0.429
175,0,07867,Woody Austin,3.64,45,1236,+0.156
176,0,21461,Kenneth Ferrie,3.59,30,836,+0.300
176,0,21805,Harrison Frazar,3.59,31,863,+0.419
178,0,20433,Mark Hensby,3.58,32,895,-0.063
178,0,23349,Charles Warren,3.58,37,1033,+0.270
180,0,21209,Sergio Garcia,3.57,28,784,+0.143
181,0,06567,Vijay Singh,3.50,31,886,+0.129
182,0,24502,Adam Scott,3.47,17,490,+0.529
183,0,12309,Bob Sowards,3.44,25,726,+0.080
184,0,25594,Travis Perkins,3.40,19,559,+0.474
185,0,23157,Richard Johnson,3.27,31,948,+0.129
186,0,26289,Boo Weekley,3.23,29,898,+0.103
187,0,30925,Dustin Johnson,3.19,36,1127,+0.361
188,0,20766,Padraig Harrington,3.13,14,448,+0.143
189,0,20098,Stuart Appleby,3.10,29,934,+0.138
190,0,01724,Jeff Maggert,3.00,33,1100,+0.182
191,0,29718,Anthony Kim,2.97,27,910,+0.296
192,0,01226,Fred Couples,2.96,21,710,+0.238
193,0,01553,John Huston,2.94,20,680,+0.150
194,0,25562,Andres Romero,2.62,18,686,+0.167
194,0,28780,Nicholas Thompson,2.62,35,1338,+0.343
196,0,27141,J.B. Holmes,2.28,22,964,+0.409
197,0,01810,Phil Mickelson,2.06,17,826,+0.059
