RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS
1,42,01559,Hale Irwin,78.31,657,839
2,44,01823,Larry Mize,77.75,989,1272
3,44,02190,Doug Tewell,77.68,738,950
4,44,01306,David Edwards,77.67,1054,1357
5,49,01014,Fulton Allem,76.88,715,930
6,53,01381,Fred Funk,76.42,1034,1353
7,54,02159,Curtis Strange,76.14,699,918
8,54,01996,Mike Reid,76.04,730,960
9,54,01690,Bruce Lietzke,75.96,755,994
10,55,01971,Dillard Pruitt,75.59,895,1184
11,56,01049,Ian Baker-Finch,75.43,792,1050
12,56,02267,D.A. Weibring,75.36,896,1189
13,72,01168,David Canipe,74.74,938,1255
14,72,01495,Morris Hatalsky,74.68,867,1161
15,72,01072,Chip Beck,74.28,956,1287
16,72,01196,Brian Claar,74.14,1078,1454
17,72,01928,Corey Pavin,73.99,1024,1384
18,72,01157,Tom Byrum,73.84,1030,1395
19,73,02099,Scott Simpson,73.71,670,909
20,73,01266,Clark Dennis,73.45,819,1115
21,73,01142,Bart Bryant,73.40,963,1312
21,73,02321,Fuzzy Zoeller,73.40,574,782
23,73,01633,Tom Kite,73.39,910,1240
24,73,01435,Wayne Grady,73.33,657,896
25,73,02242,Lanny Wadkins,73.32,882,1203
26,79,01797,Rocco Mediate,72.99,854,1170
27,79,01557,John Inman,72.93,1005,1378
28,79,02010,Loren Roberts,72.87,1088,1493
29,79,01701,Bob Lohr,72.79,824,1132
30,79,01682,Wayne Levi,72.78,762,1047
31,79,01835,Tommy Moore,72.72,597,821
32,79,01346,Ed Fiori,72.66,1010,1390
33,80,02223,Bob Tway,72.60,771,1062
34,80,01771,Blaine McCallister,72.54,988,1362
35,80,02256,Tom Watson,72.51,517,713
36,80,01946,Peter Persons,72.33,1048,1449
37,81,01725,John Mahaffey,72.19,706,978
38,81,02214,Kirk Triplett,71.88,923,1284
39,81,01219,John Cook,71.85,924,1286
40,81,01724,Jeff Maggert,71.58,899,1256
41,82,02111,Mike Smith,71.51,1014,1418
42,82,01968,Nick Price,71.47,829,1160
43,82,06044,Scott Gump,71.46,914,1279
44,106,01378,David Frost,71.30,897,1258
45,106,06048,Dicky Thompson,71.26,853,1197
46,106,01106,Jim Booros,71.21,950,1334
47,107,02170,Hal Sutton,71.10,1004,1412
48,108,02067,Ted Schulz,71.01,980,1380
49,108,01132,Mark Brooks,70.99,1072,1510
50,110,01133,Billy Ray Brown,70.81,929,1312
51,113,01837,Gil Morgan,70.71,811,1147
52,113,01938,David Peoples,70.49,946,1342
53,113,01723,Andrew Magee,70.40,904,1284
54,113,02225,Howard Twitty,70.39,1003,1425
55,113,01385,Jim Gallagher Jr.,70.36,1099,1562
56,114,01887,Mark O'Meara,70.23,795,1132
57,114,02133,Craig Stadler,70.07,686,979
58,115,01945,Kenny Perry,69.95,773,1105
59,115,02186,Brian Tennyson,69.94,889,1271
60,115,02279,Mark Wiebe,69.64,883,1268
61,119,01783,Mark McCumber,69.59,769,1105
62,120,02148,Ray Stewart,69.55,902,1297
63,121,01203,Russ Cochran,69.45,955,1375
64,121,01510,Nolan Henke,69.41,919,1324
65,121,01457,Jay Haas,69.29,898,1296
66,121,01390,Buddy Gardner,69.24,1024,1479
67,125,01313,Steve Elkington,69.21,879,1270
68,125,01129,Bill Britton,69.13,925,1338
69,125,01527,Scott Hoch,69.10,1109,1605
70,126,02322,Richard Zokol,68.95,664,963
71,127,01766,Billy Mayfair,68.70,1016,1479
72,127,02100,Tim Simpson,68.56,796,1161
73,128,02230,Stan Utley,68.49,878,1282
74,128,01626,Karl Kimball,68.47,658,961
75,128,06571,Bryan Norton,68.46,612,894
