RANK,MOVEMENT,PLAYER_ID,PLAYER,% MAKES BOGEY,BOGEYS,HOLES PLAYED
1,0,08793,Tiger Woods,10.29,126,1224
2,0,10809,Jim Furyk,12.22,187,1530
3,0,02010,Loren Roberts,12.60,211,1674
4,0,06567,Vijay Singh,12.73,220,1728
5,0,01381,Fred Funk,12.89,246,1908
6,0,08545,Glen Hnatiuk,12.90,216,1674
7,0,01307,Joel Edwards,13.15,239,1818
8,0,20127,Chris Riley,13.17,237,1800
9,0,08075,Jerry Kelly,13.44,237,1764
10,0,02104,Jeff Sluman,13.58,286,2106
11,0,01361,Dan Forsman,13.65,199,1458
12,0,10860,Justin Leonard,13.71,232,1692
13,0,02206,David Toms,13.73,252,1836
14,0,02223,Bob Tway,13.75,245,1782
15,0,01938,David Peoples,13.76,260,1890
16,0,06251,Chris DiMarco,13.78,263,1908
17,0,22913,John Rollins,14.03,303,2160
18,0,20634,Peter Lonard,14.16,237,1674
18,0,02239,Scott Verplank,14.16,232,1638
20,0,01320,Bob Estes,14.18,222,1566
21,0,06350,Bob May,14.23,228,1602
22,0,20157,Retief Goosen,14.30,139,972
23,0,01569,Peter Jacobsen,14.34,173,1206
24,0,01553,John Huston,14.35,248,1728
25,0,08931,Glen Day,14.40,267,1854
26,0,06515,Shaun Micheel,14.43,252,1746
27,0,01142,Bart Bryant,14.48,172,1188
27,0,01968,Nick Price,14.48,172,1188
29,0,20572,Rod Pampling,14.54,246,1692
30,0,21961,Charles Howell III,14.58,294,2016
31,0,12823,Carlos Franco,14.60,276,1890
32,0,12652,Cameron Beckman,14.64,224,1530
33,0,06809,Bob Burns,14.70,254,1728
33,0,06522,Ernie Els,14.70,164,1116
35,0,07721,Pat Bates,14.71,241,1638
36,0,01157,Tom Byrum,14.72,204,1386
37,0,12510,Chad Campbell,14.73,289,1962
38,0,06078,Esteban Toledo,14.76,271,1836
39,0,01810,Phil Mickelson,14.78,250,1692
40,0,02002,John Riegger,14.79,229,1548
41,0,01945,Kenny Perry,14.80,253,1710
42,0,01457,Jay Haas,14.84,211,1422
43,0,01619,Skip Kendall,14.91,271,1818
44,0,01948,Tim Petrovic,14.98,240,1602
45,0,01527,Scott Hoch,15.00,189,1260
46,0,23983,Luke Donald,15.01,281,1872
46,0,01706,Davis Love III,15.01,235,1566
48,0,01797,Rocco Mediate,15.04,203,1350
49,0,01677,Tom Lehman,15.08,190,1260
50,0,10885,Robert Allenby,15.09,258,1710
50,0,11011,Mike Sposa,15.09,296,1962
52,0,06573,Brandt Jobe,15.13,256,1692
53,0,06498,Matt Peterson,15.14,218,1440
54,0,06621,Joe Durant,15.18,235,1548
55,0,07003,David Berganio Jr.,15.26,217,1422
56,0,01761,Len Mattiace,15.30,292,1908
56,0,01920,Craig Parry,15.30,190,1242
58,0,12782,Tim Herron,15.38,274,1782
59,0,02245,Grant Waite,15.45,267,1728
60,0,02214,Kirk Triplett,15.47,220,1422
61,0,01766,Billy Mayfair,15.48,262,1692
62,0,20094,Jonathan Kaye,15.50,226,1458
63,0,19846,Brian Gay,15.51,321,2070
64,0,20498,Briny Baird,15.53,302,1944
64,0,23353,J.J. Henry,15.53,302,1944
66,0,08633,Per-Ulrik Johansson,15.58,244,1566
67,0,01139,Olin Browne,15.60,292,1872
68,0,01185,Brandel Chamblee,15.61,236,1512
68,0,20105,Jeff Gove,15.61,250,1602
70,0,06595,Kevin Sutherland,15.68,254,1620
71,0,06004,Stephen Ames,15.71,246,1566
71,0,20645,John Senden,15.71,263,1674
73,0,10425,Jay Williamson,15.81,259,1638
74,0,01329,Brad Faxon,15.82,242,1530
75,0,02101,Joey Sindelar,15.85,291,1836
75,0,20548,Hidemichi Tanaka,15.85,291,1836
77,0,19824,Craig Barlow,15.90,166,1044
77,0,02246,Duffy Waldorf,15.90,249,1566
79,0,01219,John Cook,15.92,235,1476
80,0,01475,Donnie Hammond,15.93,172,1080
81,0,12645,Brent Geiberger,15.94,264,1656
82,0,20098,Stuart Appleby,15.96,270,1692
83,0,01098,Jay Don Blake,15.98,302,1890
84,0,01175,Jim Carter,15.99,282,1764
84,0,01887,Mark O'Meara,15.99,190,1188
86,0,06332,Neal Lancaster,16.01,291,1818
87,0,24925,Jonathan Byrd,16.02,271,1692
