RANK,MOVEMENT,PLAYER_ID,PLAYER,POINTS
1,0,08793,Tiger Woods,897.500
2,0,10809,Jim Furyk,606.250
3,0,06621,Joe Durant,504.113
4,0,27120,Troy Matteson,375.613
5,0,01706,Davis Love III,326.956
6,0,23048,Eric Axley,252.500
7,0,11032,Frank Lickliter II,227.213
8,0,22621,Ben Curtis,207.000
9,0,20229,Stewart Cink,187.500
10,0,07749,Brett Quigley,175.700
11,0,23322,Brett Wetterich,170.767
12,0,25900,Lucas Glover,153.125
13,0,21961,Charles Howell III,152.950
14,0,06643,Paul Goydos,146.600
15,0,24507,Jason Bohn,135.000
15,0,01142,Bart Bryant,135.000
15,0,24912,Will MacKenzie,135.000
15,0,23788,D.J. Trahan,135.000
19,0,27095,Nick Watney,124.050
20,0,06527,Steve Stricker,102.513
21,0,24925,Jonathan Byrd,100.675
22,0,01941,Tom Pernice Jr.,98.750
23,0,07223,Brian Bateman,93.500
24,0,01577,Lee Janzen,89.000
25,0,23541,Ben Crane,88.000
26,0,24140,Sean O'Hair,85.000
27,0,01320,Bob Estes,81.000
28,0,23353,J.J. Henry,79.500
29,0,21959,Ted Purdy,77.975
30,0,26596,Ryan Moore,76.338
31,0,12602,Dean Wilson,74.667
32,0,07457,Steve Flesch,72.500
33,0,12716,Charley Hoffman,68.000
34,0,21949,Joe Ogilvie,51.000
35,0,24358,Robert Garrigus,50.600
36,0,23320,Ryan Palmer,50.000
37,0,01707,Steve Lowery,42.375
38,0,06034,Marco Dawson,40.394
39,0,06515,Shaun Micheel,40.013
40,0,10733,Kent Jones,38.525
40,0,23349,Charles Warren,38.525
42,0,02206,David Toms,38.125
43,0,20127,Chris Riley,38.000
44,0,19846,Brian Gay,37.100
45,0,08537,J.P. Hayes,36.000
46,0,26360,Bubba Dickerson,32.250
47,0,20628,Arron Oberholser,30.000
48,0,20498,Briny Baird,28.750
48,0,01161,Mark Calcavecchia,28.750
48,0,08075,Jerry Kelly,28.750
48,0,24781,Hunter Mahan,28.750
48,0,28475,Jeff Overton,28.750
48,0,22293,Heath Slocum,28.750
54,0,02101,Joey Sindelar,28.000
54,0,19913,Ron Whittaker,28.000
56,0,08931,Glen Day,27.375
56,0,23623,Bo Van Pelt,27.375
58,0,08123,Jeff Brehaut,26.344
58,0,01219,John Cook,26.344
60,0,21805,Harrison Frazar,26.000
61,0,01139,Olin Browne,19.500
61,0,19881,Robert Damron,19.500
61,0,01381,Fred Funk,19.500
61,0,22892,Jason Gore,19.500
