RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY,TOTAL
1,0,36689,Brooks Koepka,$1043115,1043115
2,0,25198,Francesco Molinari,$847974,1116574
3,0,28339,Victor Dubuisson,$670986,1693486
4,0,23540,Jason Allred,$626734,626734
5,0,19970,Robert Karlsson,$545695,545695
6,0,30978,Kiradech Aphibarnrat,$445178,584428
7,0,19958,Miguel Angel Jiménez,$432000,689000
8,0,33199,Matteo Manassero,$336968,559318
9,0,10944,Thomas Bjørn,$314950,629950
10,0,25369,Jamie Donaldson,$302656,1329822
11,0,23814,Edoardo Molinari,$288911,288911
12,0,24956,Mikko Ilonen,$263000,429475
13,0,33204,Shane Lowry,$217867,217867
14,0,27060,John Mallinger,$209958,209958
15,0,39977,Max Homa,$195924,195924
16,0,27929,Shiv Kapur,$191968,191968
17,0,33448,Justin Thomas,$170237,170237
18,0,20376,Stephen Gallacher,$165918,561251
19,0,25841,Marc Warren,$164142,164142
20,0,28300,Joost Luiten,$162500,368250
21,0,23481,Marcel Siem,$156679,156679
22,0,28937,George Coetzee,$148573,428239
23,0,29454,Bernd Wiesberger,$127889,175889
24,0,21498,Hideto Tanihara,$119000,119000
25,0,20608,David Howell,$117318,208943
26,0,22000,Chris Wood,$104251,162251
27,0,46435,Austin Cook,$102467,102467
28,0,39954,Cody Gribble,$98598,98598
29,0,32139,Danny Willett,$92828,92828
30,0,27171,Jay McLuen,$84171,84171
30,0,27072,Alvaro Quiros,$84171,84171
32,0,29974,Branden Grace,$82868,334368
33,0,24511,Thongchai Jaidee,$76753,475211
34,0,36699,Patrick Rodgers,$75104,75104
35,0,29720,Andres Gonzales,$75000,75000
36,0,27119,Koumei Oda,$69753,69753
37,0,33948,Byeong Hun An,$65350,65350
38,0,34579,Alexander Levy,$62000,108500
39,0,37365,Brady Watt,$61288,61288
40,0,26499,Rafa Cabrera Bello,$59950,59950
41,0,40026,Daniel Berger,$59588,59588
42,0,24459,Richard Sterne,$55732,654232
43,0,34707,Siddikur Rahman,$53433,53433
44,0,35582,Kristoffer Broberg,$52964,52964
45,0,28697,Gaganjeet Bhullar,$40425,83925
46,0,34262,Jon Curran,$37952,37952
47,0,33803,Lucas Bjerregaard,$37754,37754
47,0,40058,Zac Blair,$37754,37754
47,0,27302,Garth Mulroy,$37754,37754
50,0,37351,Oliver Goss,$37160,37160
51,0,31420,Anirban Lahiri,$34510,34510
52,0,39974,Steven Ihm,$30628,30628
53,0,23063,Scott Hend,$28000,193766
54,0,26525,Grégory Bourdy,$27358,102458
55,0,29939,Fabrizio Zanotti,$25375,100575
56,0,37092,Hyung-Sung Kim,$24482,92982
57,0,22080,Prayad Marksaeng,$23100,23100
58,0,27816,Jamie McLeary,$22808,22808
58,0,25351,Chris Rodgers,$22808,22808
60,0,37278,Nicholas Lindheim,$22649,22649
60,0,01978,Fran Quinn,$22649,22649
62,0,32070,Rafael Campos,$21306,21306
62,0,31646,Emiliano Grillo,$21306,21306
62,0,27139,David Skinns,$21306,21306
65,0,32618,Rhein Gibson,$20844,20844
66,0,32496,Clayton Rask,$20775,20775
67,0,46507,Bobby Wyatt,$20405,20405
68,0,20935,Toru Taniguchi,$19980,19980
69,0,45294,Kevin Penner,$19800,19800
70,0,29223,Sam Saunders,$18476,18476
71,0,31121,Berry Henson,$18223,18223
72,0,08635,Colin Montgomerie,$18033,18033
73,0,32105,Nicholas Fung,$14980,14980
74,0,30736,Oscar Fraustro,$14660,14660
75,0,10387,Chris Thompson,$14559,14559
76,0,26341,Wade Ormsby,$14070,14070
77,0,26949,Josh Broadaway,$13671,13671
78,0,29253,Jeff Curl,$13440,13440
79,0,31416,Derek Fathauer,$13320,13320
80,0,23706,Rashid Ismail,$13230,13230
81,0,37189,Harold Varner III,$13199,13199
82,0,35459,Chris Williams,$13176,13176
83,0,34076,Joel Dahmen,$13034,13034
83,0,33399,Adam Hadwin,$13034,13034
85,0,32354,Seuk-hyun Baek,$12950,54700
86,0,33667,Carlos Ortiz,$12834,12834
87,0,29476,Kyle Reifers,$12300,12300
88,0,26360,Bubba Dickerson,$12224,12224
89,0,24461,Thomas Aiken,$11286,11286
90,0,37459,Ryan Sullivan,$11223,11223
91,0,26595,Derek Tolan,$11144,11144
92,0,22764,Michael Block,$10736,10736
93,0,27118,Toshinori Muto,$10696,10696
94,0,32582,Eric Dugas,$10304,10304
95,0,36801,Mark Hubbard,$10100,10100
96,0,46584,Kevin Lucas,$7810,7810
