RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP,TOTAL HOLES,TOTAL RTP
119,0,36326,David Lipsky,+.486,177,+86.00
121,0,36689,Brooks Koepka,+.489,92,+45.00
122,0,29970,Dylan Frittelli,+.490,206,+101.00
123,0,28089,Jason Day,+.491,108,+53.00
123,0,51894,Vince Whaley,+.491,214,+105.00
125,0,50095,Austin Smotherman,+.492,181,+89.00
126,0,27644,Brian Harman,+.493,142,+70.00
127,0,45526,Abraham Ancer,+.494,83,+41.00
127,0,34174,John Huh,+.494,168,+83.00
129,0,25900,Lucas Glover,+.497,161,+80.00
129,0,39546,Keith Mitchell,+.497,165,+82.00
131,0,19803,Ryan Armour,+.500,114,+57.00
131,0,34563,Chesson Hadley,+.500,150,+75.00
131,0,36799,Stephan Jaeger,+.500,198,+99.00
131,0,27129,Luke List,+.500,126,+63.00
131,0,23320,Ryan Palmer,+.500,118,+59.00
131,0,39324,J.J. Spaun,+.500,194,+97.00
131,0,32333,Kevin Tway,+.500,172,+86.00
138,0,46340,Alex Smalley,+.502,207,+104.00
139,0,49766,Hank Lebioda,+.503,165,+83.00
140,0,40250,Taylor Pendrith,+.504,129,+65.00
141,0,49298,Kramer Hickok,+.505,184,+93.00
141,0,22056,Cameron Percy,+.505,105,+53.00
143,0,33419,Cameron Tringale,+.506,164,+83.00
144,0,47347,Adam Schenk,+.508,179,+91.00
145,0,54421,Garrick Higgo,+.509,116,+59.00
146,0,25198,Francesco Molinari,+.510,100,+51.00
147,0,37189,Harold Varner III,+.511,133,+68.00
148,0,47988,Nick Hardy,+.512,125,+64.00
149,0,48117,Kurt Kitayama,+.514,177,+91.00
149,0,32757,Patton Kizzire,+.514,183,+94.00
151,0,45157,Cam Davis,+.515,165,+85.00
151,0,30163,Henrik Norlander,+.515,103,+53.00
151,0,22405,Justin Rose,+.515,103,+53.00
154,0,48081,Xander Schauffele,+.517,118,+61.00
154,0,32150,Michael Thompson,+.517,178,+92.00
156,0,45486,Joaquin Niemann,+.519,133,+69.00
156,0,40115,Adam Svensson,+.519,237,+123.00
158,0,48699,Callum Tarren,+.524,168,+88.00
159,0,24502,Adam Scott,+.525,120,+63.00
160,0,12716,Charley Hoffman,+.526,154,+81.00
161,0,35617,Martin Trainer,+.527,201,+106.00
162,0,46442,Maverick McNealy,+.528,180,+95.00
163,0,27649,Brandt Snedeker,+.530,134,+71.00
163,0,27064,Jhonattan Vegas,+.530,166,+88.00
165,0,34363,Tyrrell Hatton,+.531,143,+76.00
165,0,46601,Trey Mullinax,+.531,175,+93.00
167,0,27095,Nick Watney,+.532,171,+91.00
168,0,34255,Joseph Bramlett,+.534,161,+86.00
168,0,29221,Webb Simpson,+.534,118,+63.00
170,0,47128,Richy Werenski,+.535,142,+76.00
171,0,32366,Kevin Chappell,+.537,121,+65.00
172,0,55708,Hayden Buckley,+.541,185,+100.00
173,0,34264,Hudson Swafford,+.542,96,+52.00
174,0,25686,Jason Dufner,+.547,106,+58.00
175,0,24024,Zach Johnson,+.550,120,+66.00
175,0,36871,Matthew NeSmith,+.550,160,+88.00
177,0,47856,Seth Reeves,+.551,158,+87.00
178,0,39436,Joshua Creel,+.552,116,+64.00
179,0,48887,Matt Wallace,+.559,118,+66.00
180,0,35110,Brett Drewitt,+.569,130,+74.00
181,0,27974,Sung Kang,+.572,159,+91.00
182,0,34076,Joel Dahmen,+.575,153,+88.00
183,0,20229,Stewart Cink,+.577,142,+82.00
184,0,35310,Lanto Griffin,+.580,143,+83.00
185,0,32102,Rickie Fowler,+.583,132,+77.00
186,0,46550,Brandon Hagy,+.584,202,+118.00
187,0,29926,Danny Lee,+.593,145,+86.00
188,0,36884,Ben Kohles,+.605,124,+75.00
189,0,37212,Paul Barjon,+.610,172,+105.00
189,0,27895,Jonas Blixt,+.610,146,+89.00
191,0,33486,Roger Sloan,+.629,159,+100.00
192,0,40006,Erik van Rooyen,+.634,82,+52.00
193,0,29974,Branden Grace,+.640,86,+55.00
