RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,01249,John Daly,62.00,62,1
2,0,12388,Michael Clark II,64.00,64,1
2,0,09011,David Duval,64.00,128,2
4,0,20099,Doug Barron,65.00,65,1
4,0,10201,Matt Gogel,65.00,65,1
4,0,01920,Craig Parry,65.00,130,2
4,0,02206,David Toms,65.00,130,2
8,0,12760,Danny Ellis,66.00,132,2
9,0,01677,Tom Lehman,66.25,265,4
10,0,07457,Steve Flesch,66.80,334,5
11,0,01226,Fred Couples,67.00,134,2
11,0,01553,John Huston,67.00,67,1
11,0,01619,Skip Kendall,67.00,201,3
11,0,01724,Jeff Maggert,67.00,67,1
11,0,08339,Spike McRoy,67.00,67,1
11,0,01928,Corey Pavin,67.00,67,1
17,0,01666,Bernhard Langer,67.25,269,4
17,0,10912,Craig Perks,67.25,269,4
19,0,01139,Olin Browne,67.33,202,3
20,0,22051,Ben Ferguson,67.50,135,2
21,0,01706,Davis Love III,67.67,406,6
22,0,21633,Steve Allan,68.00,68,1
22,0,10885,Robert Allenby,68.00,408,6
22,0,01024,Billy Andrade,68.00,68,1
22,0,07867,Woody Austin,68.00,204,3
22,0,01487,Jeff Hart,68.00,136,2
22,0,06514,Kevin Johnson,68.00,68,1
22,0,06090,Jim McGovern,68.00,68,1
22,0,06373,José María Olazábal,68.00,68,1
22,0,08553,Lee Porter,68.00,136,2
22,0,01968,Nick Price,68.00,340,5
22,0,06078,Esteban Toledo,68.00,68,1
22,0,10423,Mike Weir,68.00,68,1
34,0,20498,Briny Baird,68.33,205,3
34,0,22892,Jason Gore,68.33,205,3
36,0,25083,Jeremy Anderson,68.50,137,2
36,0,01320,Bob Estes,68.50,137,2
36,0,06012,Greg Kraft,68.50,548,8
36,0,20127,Chris Riley,68.50,137,2
36,0,08793,Tiger Woods,68.50,2877,42
41,0,01161,Mark Calcavecchia,68.67,206,3
41,0,06251,Chris DiMarco,68.67,206,3
41,0,21961,Charles Howell III,68.67,412,6
41,0,12705,Cliff Kresge,68.67,206,3
45,0,01577,Lee Janzen,68.75,275,4
46,0,10585,Scott McCarron,68.80,344,5
46,0,06595,Kevin Sutherland,68.80,344,5
48,0,02239,Scott Verplank,68.83,413,6
49,0,07003,David Berganio Jr.,69.00,69,1
49,0,01098,Jay Don Blake,69.00,276,4
49,0,19972,José Coceres,69.00,138,2
