RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,ATTEMPTS,TOTAL DISTANCE (FEET),RELATIVE TO PAR
1,0,29461,Jamie Lovemark,33' 6",86,2879.417,+11.00
2,0,21209,Sergio Garcia,35' 11",65,2332.583,E
3,0,36689,Brooks Koepka,37' 1",81,3003.000,-1.00
4,0,32640,Troy Merritt,37' 5",74,2769.667,+8.00
5,0,06567,Vijay Singh,37' 8",133,5011.750,+23.00
6,0,23135,Tim Clark,37' 9",74,2795.917,+8.00
7,0,22046,Geoff Ogilvy,38' 0",143,5429.750,+14.00
8,0,21961,Charles Howell III,38' 5",217,8328.667,-10.00
8,0,23320,Ryan Palmer,38' 5",138,5305.417,+3.00
10,0,30110,Kyle Stanley,38' 8",111,4290.833,+21.00
11,0,28780,Nicholas Thompson,38' 11",106,4129.000,+24.00
12,0,23800,Bryce Molder,39' 3",82,3220.667,+11.00
13,0,32102,Rickie Fowler,39' 7",99,3918.500,+14.00
14,0,26851,Marc Leishman,39' 10",110,4385.250,+7.00
15,0,20848,Ángel Cabrera,40' 1",129,5172.250,+14.00
15,0,35541,John Peterson,40' 1",84,3370.000,+13.00
17,0,25900,Lucas Glover,40' 2",72,2894.333,+17.00
18,0,30925,Dustin Johnson,40' 6",85,3443.333,+3.00
18,0,32839,Hideki Matsuyama,40' 6",110,4450.667,+5.00
18,0,20645,John Senden,40' 6",126,5101.917,+15.00
21,0,20229,Stewart Cink,40' 7",141,5725.000,+20.00
21,0,21731,Freddie Jacobson,40' 7",139,5638.083,+10.00
23,0,34099,Harris English,40' 8",138,5610.583,+18.00
23,0,26679,Kevin Stadler,40' 8",115,4676.750,+29.00
25,0,24502,Adam Scott,40' 9",87,3542.833,E
25,0,32333,Kevin Tway,40' 9",80,3260.333,+9.00
27,0,10885,Robert Allenby,40' 10",165,6740.667,+18.00
28,0,12510,Chad Campbell,41' 1",80,3286.500,+7.00
29,0,25364,Paul Casey,41' 2",81,3334.833,+17.00
29,0,24781,Hunter Mahan,41' 2",96,3948.917,+17.00
31,0,32334,Charlie Beljan,41' 3",122,5027.917,+12.00
31,0,28500,Martin Flores,41' 3",129,5316.250,+11.00
31,0,25396,Kevin Na,41' 3",145,5986.833,+16.00
31,0,25349,Tim Wilkinson,41' 3",124,5116.250,+13.00
35,0,27895,Jonas Blixt,41' 4",90,3722.500,+15.00
35,0,23623,Bo Van Pelt,41' 4",110,4548.583,+16.00
37,0,24490,George McNeill,41' 5",93,3853.167,+13.00
38,0,22293,Heath Slocum,41' 6",96,3984.083,+6.00
38,0,26289,Boo Weekley,41' 6",75,3113.833,E
40,0,25632,Jimmy Walker,41' 7",158,6565.917,+2.00
41,0,24507,Jason Bohn,41' 8",124,5169.083,+22.00
41,0,23409,James Driscoll,41' 8",148,6162.000,+48.00
43,0,34264,Hudson Swafford,41' 9",97,4046.000,+5.00
44,0,31557,Jim Herman,41' 10",86,3600.583,+12.00
44,0,33461,Morgan Hoffmann,41' 10",186,7773.417,+42.00
44,0,25804,Bubba Watson,41' 10",101,4224.083,-6.00
47,0,10809,Jim Furyk,42' 0",75,3153.000,+4.00
47,0,25562,Andres Romero,42' 0",147,6174.750,+11.00
49,0,01810,Phil Mickelson,42' 1",101,4246.583,+5.00
50,0,22913,John Rollins,42' 2",119,5022.167,+12.00
50,0,24663,Y.E. Yang,42' 2",110,4637.833,+18.00
52,0,27933,John Merrick,42' 3",113,4773.083,E
52,0,33418,Shawn Stefani,42' 3",107,4521.167,+8.00
54,0,32448,James Hahn,42' 4",122,5167.417,+19.00
54,0,29289,S.Y. Noh,42' 4",125,5296.750,+21.00
56,0,29926,Danny Lee,42' 5",119,5044.000,+15.00
57,0,27644,Brian Harman,42' 6",185,7862.000,+33.00
57,0,30926,Chris Kirk,42' 6",139,5910.750,+13.00
57,0,27770,Camilo Villegas,42' 6",161,6840.917,+26.00
60,0,25274,Steven Bowditch,42' 8",175,7469.250,+28.00
60,0,26300,Matt Jones,42' 8",114,4862.333,+13.00
60,0,27120,Troy Matteson,42' 8",97,4139.917,+24.00
60,0,31193,Jim Renner,42' 8",115,4908.500,+25.00
64,0,25572,Graeme McDowell,42' 9",66,2821.583,+8.00
64,0,28132,Tyrone Van Aswegen,42' 9",147,6280.417,+29.00
64,0,20160,Charlie Wi,42' 9",105,4492.083,+4.00
