RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOT. EARLY RDS.(1ST TEE)
1,0,23800,Bryce Molder,68.76,1169,17
2,0,23135,Tim Clark,68.96,1655,24
3,0,26679,Kevin Stadler,69.15,1383,20
4,0,10860,Justin Leonard,69.22,1592,23
5,0,25818,Scott Piercy,69.24,1454,21
6,0,20593,Greg Chalmers,69.30,1386,20
7,0,08793,Tiger Woods,69.33,416,6
8,0,01226,Fred Couples,69.36,763,11
9,0,12716,Charley Hoffman,69.44,2500,36
10,0,22046,Geoff Ogilvy,69.47,1181,17
11,0,23623,Bo Van Pelt,69.57,2435,35
12,0,02239,Scott Verplank,69.67,1881,27
13,0,27963,Chris Stroud,69.68,1324,19
14,0,23108,Matt Kuchar,69.74,1604,23
15,0,10117,Bob Heintz,69.81,1117,16
16,0,01928,Corey Pavin,69.85,1886,27
17,0,06527,Steve Stricker,69.88,1118,16
18,0,10885,Robert Allenby,69.92,1748,25
19,0,23541,Ben Crane,69.93,2098,30
19,0,01706,Davis Love III,69.93,2098,30
21,0,26301,James Nitties,69.95,1399,20
22,0,22348,Nick O'Hern,69.96,1959,28
22,0,26498,Matt Weibring,69.96,1679,24
24,0,24507,Jason Bohn,70.00,2520,36
24,0,24024,Zach Johnson,70.00,1610,23
24,0,21949,Joe Ogilvie,70.00,1680,24
24,0,02206,David Toms,70.00,1680,24
24,0,27095,Nick Watney,70.00,1610,23
29,0,01724,Jeff Maggert,70.05,1471,21
29,0,01945,Kenny Perry,70.05,1541,22
31,0,25396,Kevin Na,70.08,1822,26
32,0,20472,Alex Cejka,70.09,1542,22
33,0,24925,Jonathan Byrd,70.11,1963,28
34,0,27649,Brandt Snedeker,70.12,1823,26
35,0,25900,Lucas Glover,70.14,1543,22
36,0,27214,Kevin Streelman,70.15,1824,26
37,0,24358,Robert Garrigus,70.18,1544,22
38,0,21878,Mark Wilson,70.20,2106,30
39,0,23353,J.J. Henry,70.21,1685,24
39,0,28158,Steve Marino,70.21,2036,29
41,0,20691,Greg Owen,70.22,1896,27
42,0,08075,Jerry Kelly,70.23,2177,31
43,0,06621,Joe Durant,70.26,1335,19
43,0,20645,John Senden,70.26,2459,35
45,0,30925,Dustin Johnson,70.27,1546,22
45,0,08845,Scott Sterling,70.27,1054,15
47,0,06251,Chris DiMarco,70.33,2743,39
48,0,20070,Matt Bettencourt,70.36,2533,36
48,0,24490,George McNeill,70.36,1759,25
50,0,23548,Bill Lunde,70.37,2111,30
51,0,27466,Spencer Levin,70.38,2252,32
52,0,07867,Woody Austin,70.39,2323,33
53,0,01948,Tim Petrovic,70.40,1760,25
54,0,01320,Bob Estes,70.43,2113,30
55,0,20104,Ken Duke,70.46,2466,35
56,0,06522,Ernie Els,70.47,1339,19
57,0,26851,Marc Leishman,70.48,2185,31
57,0,26951,Johnson Wagner,70.48,1480,21
59,0,23638,Brendon de Jonge,70.50,2115,30
60,0,23349,Charles Warren,70.52,1481,21
61,0,27120,Troy Matteson,70.53,2116,30
61,0,26497,Casey Wittenberg,70.53,1340,19
63,0,24140,Sean O'Hair,70.54,1975,28
64,0,23614,Rich Beem,70.56,1905,27
64,0,23983,Luke Donald,70.56,2258,32
64,0,24924,Bill Haas,70.56,1764,25
64,0,22405,Justin Rose,70.56,1764,25
68,0,06004,Stephen Ames,70.58,1694,24
69,0,26420,Richard Johnson,70.59,2400,34
69,0,28780,Nicholas Thompson,70.59,2400,34
