RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,08793,Tiger Woods,68.89,1309,19
2,0,23135,Tim Clark,68.95,2551,37
3,0,06527,Steve Stricker,69.03,2140,31
4,0,21878,Mark Wilson,69.67,3414,49
5,0,24925,Jonathan Byrd,69.68,3066,44
5,0,12716,Charley Hoffman,69.68,3275,47
7,0,23108,Matt Kuchar,69.70,2300,33
8,0,02239,Scott Verplank,69.73,2859,41
9,0,02206,David Toms,69.80,3211,46
10,0,26301,James Nitties,69.81,2513,36
11,0,01928,Corey Pavin,69.83,2863,41
12,0,25818,Scott Piercy,69.84,2584,37
13,0,24024,Zach Johnson,69.85,2794,40
14,0,23353,J.J. Henry,69.90,3565,51
14,0,10860,Justin Leonard,69.90,2866,41
14,0,01945,Kenny Perry,69.90,2726,39
17,0,23548,Bill Lunde,69.94,3287,47
17,0,22348,Nick O'Hern,69.94,3287,47
19,0,27649,Brandt Snedeker,69.95,2798,40
19,0,27095,Nick Watney,69.95,2658,38
21,0,10809,Jim Furyk,69.97,2589,37
22,0,24358,Robert Garrigus,70.00,2870,41
23,0,23800,Bryce Molder,70.03,2101,30
24,0,27120,Troy Matteson,70.04,3362,48
25,0,20593,Greg Chalmers,70.06,2522,36
26,0,26679,Kevin Stadler,70.07,2102,30
27,0,25900,Lucas Glover,70.10,2734,39
28,0,23623,Bo Van Pelt,70.12,3576,51
29,0,22046,Geoff Ogilvy,70.13,2244,32
29,0,01948,Tim Petrovic,70.13,3226,46
31,0,24507,Jason Bohn,70.15,3367,48
31,0,20645,John Senden,70.15,3367,48
33,0,27214,Kevin Streelman,70.18,3439,49
34,0,01320,Bob Estes,70.20,2808,40
35,0,23541,Ben Crane,70.21,3370,48
35,0,25396,Kevin Na,70.21,3019,43
35,0,08845,Scott Sterling,70.21,1966,28
38,0,24490,George McNeill,70.23,3090,44
39,0,21805,Harrison Frazar,70.24,3442,49
39,0,20691,Greg Owen,70.24,3442,49
41,0,26300,Matt Jones,70.26,2178,31
42,0,24781,Hunter Mahan,70.27,3162,45
43,0,26851,Marc Leishman,70.28,3233,46
43,0,28158,Steve Marino,70.28,3022,43
45,0,27466,Spencer Levin,70.29,2952,42
46,0,07867,Woody Austin,70.30,3023,43
46,0,27963,Chris Stroud,70.30,3023,43
46,0,23325,Vaughn Taylor,70.30,3023,43
49,0,06251,Chris DiMarco,70.32,3938,56
49,0,23788,D.J. Trahan,70.32,3516,50
51,0,21949,Joe Ogilvie,70.33,3024,43
51,0,20572,Rod Pampling,70.33,2321,33
53,0,06004,Stephen Ames,70.34,2251,32
53,0,28089,Jason Day,70.34,2040,29
53,0,01706,Davis Love III,70.34,3095,44
56,0,20160,Charlie Wi,70.36,3096,44
57,0,24924,Bill Haas,70.37,3026,43
58,0,08075,Jerry Kelly,70.38,3167,45
58,0,26498,Matt Weibring,70.38,2393,34
60,0,30925,Dustin Johnson,70.39,2675,38
61,0,10885,Robert Allenby,70.44,2395,34
62,0,12510,Chad Campbell,70.45,3593,51
63,0,06621,Joe Durant,70.47,2396,34
63,0,29718,Anthony Kim,70.47,2255,32
65,0,10423,Mike Weir,70.50,3102,44
