RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG DTP,TOTAL DISTANCE (FEET),ATTEMPTS
1,0,23983,Luke Donald,6' 9",1964.417,290
2,0,10809,Jim Furyk,6' 10",2219.250,323
2,0,22405,Justin Rose,6' 10",2636.583,387
4,0,20157,Retief Goosen,7' 0",1976.667,281
4,0,20686,Jeev Milkha Singh,7' 0",2028.417,289
4,0,10423,Mike Weir,7' 0",1757.667,252
4,0,21878,Mark Wilson,7' 0",2578.083,368
8,0,24357,K.J. Choi,7' 1",2156.750,303
9,0,26882,Michael Sim,7' 2",2086.500,290
10,0,20098,Stuart Appleby,7' 3",3667.833,506
10,0,01810,Phil Mickelson,7' 3",2219.917,307
10,0,20127,Chris Riley,7' 3",2382.250,329
10,0,02206,David Toms,7' 3",2598.250,360
14,0,25396,Kevin Na,7' 4",2975.750,408
14,0,22293,Heath Slocum,7' 4",2687.250,368
14,0,27649,Brandt Snedeker,7' 4",3211.417,436
14,0,06527,Steve Stricker,7' 4",2052.417,279
14,0,12602,Dean Wilson,7' 4",1746.000,239
19,0,24925,Jonathan Byrd,7' 5",2859.167,384
19,0,25720,Chad Collins,7' 5",3217.583,432
19,0,20766,Padraig Harrington,7' 5",1879.667,253
19,0,28237,Rory McIlroy,7' 5",1571.333,213
19,0,22056,Cameron Percy,7' 5",1966.500,264
19,0,08385,Omar Uresti,7' 5",2348.917,318
25,0,24846,Ricky Barnes,7' 6",3076.333,410
25,0,20472,Alex Cejka,7' 6",2660.333,355
25,0,21961,Charles Howell III,7' 6",3404.667,453
25,0,06567,Vijay Singh,7' 6",2120.583,284
29,0,21350,Ryuji Imada,7' 7",3688.000,484
29,0,22378,Trevor Immelman,7' 7",1697.583,223
29,0,06515,Shaun Micheel,7' 7",2209.083,292
32,0,01116,Michael Bradley,7' 8",2514.750,328
32,0,06251,Chris DiMarco,7' 8",3217.583,420
34,0,19846,Brian Gay,7' 9",3596.667,464
34,0,20160,Charlie Wi,7' 9",3607.917,465
36,0,07457,Steve Flesch,7' 10",3040.750,388
36,0,12716,Charley Hoffman,7' 10",3262.500,417
36,0,08075,Jerry Kelly,7' 10",3365.167,428
36,0,01941,Tom Pernice Jr.,7' 10",2252.583,288
36,0,01948,Tim Petrovic,7' 10",4006.583,509
36,0,22913,John Rollins,7' 10",2906.750,373
36,0,20436,Garrett Willis,7' 10",2531.917,324
43,0,25900,Lucas Glover,7' 11",2382.583,300
43,0,27141,J.B. Holmes,7' 11",4026.083,510
43,0,21731,Freddie Jacobson,7' 11",3127.417,393
43,0,23548,Bill Lunde,7' 11",2723.250,344
43,0,01766,Billy Mayfair,7' 11",2507.667,317
43,0,06595,Kevin Sutherland,7' 11",2835.000,357
43,0,27770,Camilo Villegas,7' 11",2389.833,301
50,0,06004,Stephen Ames,8' 0",2752.917,343
50,0,07867,Woody Austin,8' 0",3405.167,424
50,0,20593,Greg Chalmers,8' 0",3739.583,466
50,0,20229,Stewart Cink,8' 0",2580.750,321
50,0,23135,Tim Clark,8' 0",2911.000,362
50,0,23108,Matt Kuchar,8' 0",2912.750,366
50,0,22046,Geoff Ogilvy,8' 0",1878.750,236
50,0,23621,Rory Sabbatini,8' 0",2665.833,333
50,0,23623,Bo Van Pelt,8' 0",3450.167,432
59,0,22621,Ben Curtis,8' 1",2648.667,328
59,0,21753,Brian Davis,8' 1",4359.917,538
59,0,08725,Tom Gillis,8' 1",3976.833,494
59,0,24924,Bill Haas,8' 1",2945.167,364
59,0,26300,Matt Jones,8' 1",3493.000,433
59,0,27060,John Mallinger,8' 1",2540.333,314
59,0,26596,Ryan Moore,8' 1",2541.500,315
59,0,24140,Sean O'Hair,8' 1",2705.167,333
59,0,20572,Rod Pampling,8' 1",3291.750,408
59,0,28620,Aron Price,8' 1",2337.583,290
59,0,29221,Webb Simpson,8' 1",3888.500,480
70,0,28087,Kris Blanks,8' 2",2864.167,349
70,0,27436,Graham DeLaet,8' 2",2851.917,348
70,0,23353,J.J. Henry,8' 2",3163.583,386
70,0,12705,Cliff Kresge,8' 2",1952.167,240
70,0,24138,Ian Poulter,8' 2",1685.583,207
75,0,20498,Briny Baird,8' 3",3136.583,381
75,0,23673,Michael Connell,8' 3",3316.500,404
75,0,25686,Jason Dufner,8' 3",3063.583,370
75,0,23718,Nathan Green,8' 3",3806.750,461
75,0,26851,Marc Leishman,8' 3",3081.667,375
75,0,24912,Will MacKenzie,8' 3",2809.083,341
75,0,24361,Pat Perez,8' 3",3229.583,393
75,0,27330,Josh Teater,8' 3",3786.833,458
75,0,23788,D.J. Trahan,8' 3",3141.250,382
84,0,12510,Chad Campbell,8' 4",3269.167,394
84,0,01249,John Daly,8' 4",2132.833,255
84,0,28089,Jason Day,8' 4",3071.417,370
84,0,01313,Steve Elkington,8' 4",2642.583,318
84,0,06522,Ernie Els,8' 4",2389.000,287
84,0,21209,Sergio Garcia,8' 4",1540.417,185
84,0,08537,J.P. Hayes,8' 4",3132.000,375
84,0,23800,Bryce Molder,8' 4",3388.417,406
84,0,20663,Brenden Pappas,8' 4",2342.833,280
84,0,07749,Brett Quigley,8' 4",3400.583,410
84,0,24502,Adam Scott,8' 4",2165.083,260
84,0,25632,Jimmy Walker,8' 4",3037.833,364
96,0,06621,Joe Durant,8' 5",2201.917,262
96,0,27466,Spencer Levin,8' 5",3850.750,458
96,0,01706,Davis Love III,8' 5",2564.750,306
96,0,27613,David Lutterus,8' 5",2648.583,316
96,0,26951,Johnson Wagner,8' 5",2975.917,355
96,0,26289,Boo Weekley,8' 5",2922.500,347
102,0,23613,Rich Barcelo,8' 6",2686.750,316
102,0,23409,James Driscoll,8' 6",3230.167,380
102,0,09011,David Duval,8' 6",2430.833,286
102,0,10860,Justin Leonard,8' 6",3170.917,372
102,0,20645,John Senden,8' 6",3223.083,378
107,0,22371,Aaron Baddeley,8' 7",3903.000,454
107,0,23541,Ben Crane,8' 7",2905.500,339
107,0,27936,Martin Laird,8' 7",3308.583,384
107,0,01945,Kenny Perry,8' 7",2280.250,265
107,0,25345,Carl Pettersson,8' 7",3988.333,464
112,0,29910,Blake Adams,8' 8",3509.417,404
112,0,32102,Rickie Fowler,8' 8",3516.417,404
112,0,12782,Tim Herron,8' 8",3115.917,360
112,0,26695,Michael Letzig,8' 8",3449.250,398
112,0,10425,Jay Williamson,8' 8",2612.833,302
117,0,12652,Cameron Beckman,8' 9",2719.333,310
117,0,01320,Bob Estes,8' 9",3116.667,357
117,0,26420,Richard Johnson,8' 9",3217.083,366
117,0,01797,Rocco Mediate,8' 9",2514.667,288
121,0,07363,Craig Bowden,8' 10",2555.417,289
121,0,06643,Paul Goydos,8' 10",3139.583,354
121,0,28158,Steve Marino,8' 10",2964.333,337
121,0,10585,Scott McCarron,8' 10",4056.333,460
121,0,02239,Scott Verplank,8' 10",2968.500,336
126,0,20070,Matt Bettencourt,8' 11",3890.500,435
126,0,28307,Matt Every,8' 11",2624.500,293
126,0,28500,Martin Flores,8' 11",3189.000,359
126,0,01619,Skip Kendall,8' 11",2568.833,287
126,0,24781,Hunter Mahan,8' 11",3134.333,350
126,0,25804,Bubba Watson,8' 11",3058.167,342
126,0,23322,Brett Wetterich,8' 11",2408.833,270
133,0,20105,Jeff Gove,9' 0",1924.667,213
133,0,01577,Lee Janzen,9' 0",3325.583,368
133,0,24490,George McNeill,9' 0",3358.333,374
133,0,25240,D.A. Points,9' 0",3770.833,420
137,0,25364,Paul Casey,9' 1",2026.583,224
137,0,27120,Troy Matteson,9' 1",3162.917,347
139,0,27933,John Merrick,9' 2",3817.417,417
139,0,26301,James Nitties,9' 2",3927.333,429
139,0,27963,Chris Stroud,9' 2",3171.750,345
142,0,24507,Jason Bohn,9' 3",3467.083,376
142,0,11123,Chris Couch,9' 3",2958.333,320
142,0,26881,Jarrod Lyle,9' 3",2340.417,252
142,0,32640,Troy Merritt,9' 3",3881.750,418
142,0,23325,Vaughn Taylor,9' 3",3687.000,397
142,0,12714,Chris Tidland,9' 3",3520.167,379
142,0,33419,Cameron Tringale,9' 3",1869.333,202
149,0,20848,Ángel Cabrera,9' 4",2508.917,269
149,0,23638,Brendon de Jonge,9' 4",3975.417,425
149,0,06514,Kevin Johnson,9' 4",2650.417,283
149,0,24024,Zach Johnson,9' 4",3680.750,395
149,0,28475,Jeff Overton,9' 4",3517.667,378
149,0,23320,Ryan Palmer,9' 4",3679.000,395
149,0,12755,Vance Veazey,9' 4",2520.667,269
156,0,20574,Mathew Goggin,9' 5",3404.833,360
156,0,31560,Brian Stuard,9' 5",3583.583,379
156,0,27095,Nick Watney,9' 5",3098.333,330
