RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 300+,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,23552,Hank Kuehne,53.79,625,1162,-0.134
2,0,23063,Scott Hend,49.90,482,966,-0.133
3,0,01249,John Daly,46.51,433,931,-0.229
4,0,23497,Tag Ridings,44.84,274,611,-0.179
5,0,06567,Vijay Singh,43.59,541,1241,-0.285
6,0,11123,Chris Couch,42.90,272,634,-0.118
7,0,25900,Lucas Glover,41.11,476,1158,-0.210
8,0,02106,Chris Smith,41.10,524,1275,-0.195
9,0,08337,Mike Heinen,39.63,279,704,-0.190
10,0,21633,Steve Allan,35.44,432,1219,-0.171
11,0,23353,J.J. Henry,35.27,444,1259,-0.191
12,0,01706,Davis Love III,34.86,296,849,-0.216
13,0,08793,Tiger Woods,33.86,258,762,-0.306
14,0,22046,Geoff Ogilvy,33.59,348,1036,-0.270
15,0,20663,Brenden Pappas,33.24,453,1363,-0.243
16,0,01927,Dennis Paulson,33.04,302,914,-0.242
17,0,21805,Harrison Frazar,32.69,320,979,-0.256
18,0,07939,Dan Olsen,32.09,285,888,-0.074
19,0,23307,Roger Tambellini,31.75,308,970,-0.185
20,0,21209,Sergio Garcia,31.62,222,702,-0.189
21,0,23614,Rich Beem,31.57,268,849,-0.146
22,0,06522,Ernie Els,30.86,179,580,-0.207
23,0,01226,Fred Couples,30.81,191,620,-0.267
24,0,26287,Roland Thatcher,30.59,256,837,-0.137
25,0,01810,Phil Mickelson,30.52,228,747,-0.272
26,0,08835,Kris Cox,30.45,257,844,-0.156
27,0,20580,Andre Stolz,30.27,201,664,-0.179
28,0,20850,Daniel Chopra,29.91,381,1274,-0.205
29,0,01945,Kenny Perry,29.23,252,862,-0.163
30,0,24781,Hunter Mahan,29.11,333,1144,-0.120
31,0,12782,Tim Herron,28.88,266,921,-0.203
32,0,24507,Jason Bohn,28.87,351,1216,-0.225
33,0,10107,Deane Pappas,28.80,252,875,-0.190
34,0,20572,Rod Pampling,28.37,305,1075,-0.187
35,0,23613,Rich Barcelo,28.19,230,816,-0.139
36,0,20098,Stuart Appleby,27.90,231,828,-0.251
37,0,12394,Tom Carter,27.79,369,1328,-0.176
38,0,23320,Ryan Palmer,27.73,343,1237,-0.187
39,0,23621,Rory Sabbatini,27.64,288,1042,-0.184
40,0,10585,Scott McCarron,27.63,289,1046,-0.242
41,0,24502,Adam Scott,27.48,155,564,-0.258
42,0,01035,Tommy Armour III,27.47,292,1063,-0.099
43,0,24925,Jonathan Byrd,27.45,275,1002,-0.225
44,0,20645,John Senden,27.16,324,1193,-0.241
45,0,23325,Vaughn Taylor,27.01,286,1059,-0.252
46,0,06332,Neal Lancaster,26.48,341,1288,-0.129
47,0,12823,Carlos Franco,26.07,323,1239,-0.260
48,0,20094,Jonathan Kaye,25.84,224,867,-0.174
49,0,10885,Robert Allenby,25.68,255,993,-0.208
50,0,07749,Brett Quigley,25.56,309,1209,-0.236
51,0,01707,Steve Lowery,25.12,257,1023,-0.257
52,0,19824,Craig Barlow,24.95,239,958,-0.184
53,0,20157,Retief Goosen,24.91,139,558,-0.331
54,0,25686,Jason Dufner,24.70,245,992,-0.216
55,0,24290,D.J. Brigman,24.63,233,946,-0.206
56,0,23623,Bo Van Pelt,24.40,275,1127,-0.324
57,0,06197,Michael Allen,24.13,256,1061,-0.188
58,0,20498,Briny Baird,24.10,269,1116,-0.190
59,0,07867,Woody Austin,23.81,275,1155,-0.196
