RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG (%),TOTAL SHOT DISTANCE,TOTAL DISTANCE
1,0,23063,Scott Hend,65.72,2882621,438642
2,0,23552,Hank Kuehne,65.37,3465762,530202
3,0,01249,John Daly,64.61,2757780,426845
4,0,06567,Vijay Singh,64.41,3480226,540284
5,0,11123,Chris Couch,64.32,1864563,289866
6,0,23497,Tag Ridings,64.18,1797146,280019
7,0,25900,Lucas Glover,64.15,3382387,527291
8,0,02106,Chris Smith,64.07,3724472,581297
9,0,08337,Mike Heinen,63.93,2042856,319544
10,0,06522,Ernie Els,63.49,1486469,234118
11,0,21633,Steve Allan,63.45,3521302,555008
12,0,01927,Dennis Paulson,63.41,2634494,415448
13,0,23353,J.J. Henry,63.38,3638317,574092
14,0,26287,Roland Thatcher,63.37,2415814,381248
15,0,20663,Brenden Pappas,63.36,3930194,620339
16,0,01945,Kenny Perry,63.23,2301097,363941
17,0,01810,Phil Mickelson,63.18,2148329,340050
18,0,10107,Deane Pappas,63.10,2502940,396661
19,0,08835,Kris Cox,63.09,2422715,384029
20,0,21209,Sergio Garcia,63.01,2014691,319766
21,0,24781,Hunter Mahan,62.99,3282979,521156
22,0,24925,Jonathan Byrd,62.98,2851579,452748
22,0,07939,Dan Olsen,62.98,2537177,402872
24,0,21805,Harrison Frazar,62.95,2807403,445940
25,0,01706,Davis Love III,62.91,2261204,359439
26,0,20850,Daniel Chopra,62.89,3645800,579673
27,0,20645,John Senden,62.87,3395955,540116
28,0,24502,Adam Scott,62.84,1436542,228597
29,0,20580,Andre Stolz,62.82,1900797,302584
30,0,19824,Craig Barlow,62.81,2740439,436322
31,0,22046,Geoff Ogilvy,62.80,2978468,474263
32,0,23307,Roger Tambellini,62.79,2784520,443472
33,0,23614,Rich Beem,62.78,2445712,389542
34,0,24507,Jason Bohn,62.64,3478415,555335
34,0,23320,Ryan Palmer,62.64,3528009,563204
36,0,23613,Rich Barcelo,62.63,2321504,370669
37,0,01226,Fred Couples,62.62,1602434,255903
38,0,23325,Vaughn Taylor,62.61,3014574,481506
39,0,23621,Rory Sabbatini,62.60,2807352,448493
40,0,20572,Rod Pampling,62.58,3074614,491313
41,0,12782,Tim Herron,62.52,2625737,419967
42,0,12394,Tom Carter,62.51,3786812,605804
42,0,06332,Neal Lancaster,62.51,3677430,588272
44,0,24361,Pat Perez,62.49,3390855,542592
45,0,07867,Woody Austin,62.47,3286540,526065
46,0,25686,Jason Dufner,62.45,2826369,452615
47,0,20098,Stuart Appleby,62.36,2188102,350874
48,0,01035,Tommy Armour III,62.28,2852500,458036
48,0,23623,Bo Van Pelt,62.28,3186823,511704
50,0,08793,Tiger Woods,62.25,2007953,322566
51,0,20094,Jonathan Kaye,62.19,2293874,368853
51,0,11032,Frank Lickliter II,62.19,2874602,462236
51,0,01707,Steve Lowery,62.19,2898691,466093
54,0,25345,Carl Pettersson,62.18,3063599,492662
55,0,01677,Tom Lehman,62.16,2256766,363044
56,0,10585,Scott McCarron,62.15,2970972,478043
57,0,21949,Joe Ogilvie,62.12,3297880,530925
58,0,21893,Brian Kortan,62.11,2234010,359682
