RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,25349,Tim Wilkinson,.538,24.727,46
2,0,24924,Bill Haas,.516,37.120,72
3,0,26300,Matt Jones,.503,25.656,51
4,0,24138,Ian Poulter,.501,27.555,55
5,0,24361,Pat Perez,.440,32.111,73
6,0,29289,S.Y. Noh,.439,32.931,75
7,0,23108,Matt Kuchar,.430,33.074,77
8,0,34046,Jordan Spieth,.429,29.168,68
9,0,29221,Webb Simpson,.426,35.798,84
10,0,23983,Luke Donald,.422,18.126,43
11,0,35891,Cameron Smith,.399,28.302,71
12,0,20771,Steven Alker,.398,20.289,51
13,0,33419,Cameron Tringale,.396,25.750,65
14,0,22405,Justin Rose,.373,19.776,53
15,0,32102,Rickie Fowler,.349,21.970,63
16,0,32839,Hideki Matsuyama,.346,20.436,59
17,0,26851,Marc Leishman,.337,24.626,73
18,0,27644,Brian Harman,.329,28.253,86
19,0,27649,Brandt Snedeker,.314,13.208,42
20,0,22371,Aaron Baddeley,.310,14.239,46
21,0,34431,Robert Streb,.305,25.641,84
22,0,23800,Bryce Molder,.301,19.234,64
23,0,25720,Chad Collins,.294,15.875,54
24,0,33448,Justin Thomas,.289,18.811,65
25,0,25396,Kevin Na,.288,18.980,66
26,0,28089,Jason Day,.273,15.040,55
27,0,29461,Jamie Lovemark,.258,20.620,80
28,0,19846,Brian Gay,.254,17.542,69
29,0,34360,Patrick Reed,.250,20.960,84
30,0,25274,Steven Bowditch,.238,10.729,45
31,0,27770,Camilo Villegas,.235,14.597,62
32,0,28252,Seamus Power,.229,15.552,68
33,0,24024,Zach Johnson,.226,15.373,68
34,0,40058,Zac Blair,.218,17.619,81
34,0,29476,Kyle Reifers,.218,16.100,74
36,0,01810,Phil Mickelson,.216,14.937,69
37,0,24357,K.J. Choi,.213,11.489,54
38,0,27936,Martin Laird,.203,14.581,72
39,0,22046,Geoff Ogilvy,.196,13.118,67
40,0,29720,Andres Gonzales,.190,10.851,57
40,0,34466,Peter Malnati,.190,13.841,73
42,0,26329,Louis Oosthuizen,.189,9.644,51
43,0,20572,Rod Pampling,.183,12.068,66
44,0,21209,Sergio Garcia,.182,8.385,46
45,0,20593,Greg Chalmers,.175,11.931,68
46,0,34099,Harris English,.169,12.187,72
47,0,29974,Branden Grace,.165,7.762,47
48,0,37454,Whee Kim,.163,10.078,62
49,0,12510,Chad Campbell,.144,12.202,85
50,0,48084,Wesley Bryan,.141,10.848,77
51,0,25900,Lucas Glover,.140,12.077,86
52,0,27141,J.B. Holmes,.137,8.342,61
53,0,25198,Francesco Molinari,.128,7.567,59
54,0,20472,Alex Cejka,.127,7.854,62
54,0,26331,Charl Schwartzel,.127,6.120,48
56,0,25364,Paul Casey,.122,8.685,71
56,0,33418,Shawn Stefani,.122,7.348,60
58,0,30925,Dustin Johnson,.121,7.157,59
58,0,25493,Nick Taylor,.121,10.038,83
60,0,25191,Gonzalo Fernandez-Castaño,.120,5.262,44
61,0,46550,Brandon Hagy,.118,8.155,69
62,0,29222,Billy Hurley III,.117,8.066,69
63,0,26758,David Hearn,.115,8.152,71
63,0,33461,Morgan Hoffmann,.115,9.454,82
65,0,24846,Ricky Barnes,.114,8.788,77
66,0,37455,Si Woo Kim,.110,6.599,60
67,0,32366,Kevin Chappell,.106,7.616,72
67,0,39975,Michael Kim,.106,8.943,84
69,0,23541,Ben Crane,.105,7.274,69
70,0,28237,Rory McIlroy,.095,3.424,36
71,0,29518,Brendan Steele,.090,6.416,71
72,0,25240,D.A. Points,.087,5.024,58
73,0,28132,Tyrone Van Aswegen,.085,6.817,80
74,0,33120,Mark Anderson,.082,3.434,42
75,0,21961,Charles Howell III,.081,5.535,68
