RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS
1,0,30925,Dustin Johnson,1.862,1.071,.670,.121,59
2,0,34046,Jordan Spieth,1.646,.321,.896,.429,68
3,0,32839,Hideki Matsuyama,1.613,.508,.758,.346,59
4,0,46970,Jon Rahm,1.522,.949,.515,.057,66
5,0,33448,Justin Thomas,1.479,.452,.738,.289,65
6,0,25198,Francesco Molinari,1.453,.483,.842,.128,59
7,0,25364,Paul Casey,1.410,.349,.939,.122,71
8,0,28237,Rory McIlroy,1.382,.965,.322,.095,36
9,0,21209,Sergio Garcia,1.356,.795,.378,.182,46
10,0,22405,Justin Rose,1.295,.559,.363,.373,53
11,0,29725,Tony Finau,1.280,.826,.390,.065,91
12,0,30110,Kyle Stanley,1.259,.659,.562,.038,94
13,0,32102,Rickie Fowler,1.134,.378,.408,.349,63
14,0,27129,Luke List,1.117,.600,.443,.074,86
15,0,35450,Patrick Cantlay,1.111,.623,.467,.021,46
16,0,24502,Adam Scott,1.103,.524,.536,.043,42
17,0,26851,Marc Leishman,1.066,.319,.410,.337,73
18,0,31323,Gary Woodland,1.040,.431,.571,.039,68
19,0,23320,Ryan Palmer,1.030,.533,.555,-.058,49
20,0,33948,Byeong Hun An,.964,.524,.369,.071,57
21,0,25900,Lucas Glover,.944,.502,.301,.140,86
22,0,24138,Ian Poulter,.911,-.162,.573,.501,55
23,0,12716,Charley Hoffman,.903,.586,.349,-.031,93
24,0,29221,Webb Simpson,.893,-.036,.503,.426,84
25,0,29518,Brendan Steele,.888,.387,.411,.090,71
26,0,24924,Bill Haas,.868,-.047,.399,.516,72
27,0,32366,Kevin Chappell,.841,.442,.294,.106,72
28,0,23108,Matt Kuchar,.840,.158,.253,.430,77
29,0,34021,Bud Cauley,.803,.264,.588,-.050,82
30,0,33141,Keegan Bradley,.769,.625,.139,.004,91
31,0,40026,Daniel Berger,.761,.282,.570,-.090,69
32,0,29461,Jamie Lovemark,.760,.319,.183,.258,80
33,0,20229,Stewart Cink,.725,-.019,.793,-.050,81
34,0,01810,Phil Mickelson,.711,-.058,.553,.216,69
35,0,24358,Robert Garrigus,.709,.422,.477,-.190,60
36,0,27141,J.B. Holmes,.708,.533,.039,.137,61
37,0,26329,Louis Oosthuizen,.705,.301,.215,.189,51
38,0,12510,Chad Campbell,.691,.041,.506,.144,85
39,0,29478,Kevin Kisner,.656,.257,.334,.065,77
40,0,25686,Jason Dufner,.654,.268,.519,-.133,72
41,0,26289,Boo Weekley,.630,.634,.425,-.429,61
42,0,36689,Brooks Koepka,.623,.546,.058,.019,67
43,0,28089,Jason Day,.580,.311,-.004,.273,55
44,0,27936,Martin Laird,.576,.235,.139,.203,72
45,0,33204,Shane Lowry,.536,.582,.231,-.277,38
46,0,31646,Emiliano Grillo,.532,.368,.281,-.116,66
47,0,29974,Branden Grace,.518,.180,.173,.165,47
48,0,24361,Pat Perez,.515,-.147,.222,.440,73
49,0,25396,Kevin Na,.513,-.406,.631,.288,66
50,0,37189,Harold Varner III,.511,.262,.330,-.081,86
51,0,34098,Russell Henley,.506,.310,.196,.000,86
51,0,27649,Brandt Snedeker,.506,-.311,.503,.314,42
51,0,27064,Jhonattan Vegas,.506,.394,.172,-.060,71
54,0,26331,Charl Schwartzel,.504,-.023,.399,.127,48
55,0,31557,Jim Herman,.495,.422,.143,-.070,66
56,0,23621,Rory Sabbatini,.482,.308,.146,.028,53
57,0,48081,Xander Schauffele,.479,.554,.011,-.086,74
58,0,27436,Graham DeLaet,.477,.486,.427,-.436,71
59,0,30944,Jason Kokrak,.458,.607,.077,-.226,83
60,0,27214,Kevin Streelman,.450,.292,.197,-.038,78
61,0,26476,Chez Reavie,.423,.121,.375,-.073,83
62,0,35891,Cameron Smith,.418,-.130,.149,.399,71
63,0,46501,Ollie Schniederjans,.402,.125,.309,-.032,81
