RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
1,0,01042,Paul Azinger,63.16,72,114,-23.00
2,0,02196,Robert Thompson,61.36,54,88,+8.00
3,0,02321,Fuzzy Zoeller,61.00,61,100,-11.00
4,0,01960,Don Pooley,60.58,83,137,-13.00
5,0,01197,Bobby Clampett,60.00,63,105,+12.00
6,0,02099,Scott Simpson,59.84,76,127,-11.00
7,0,01161,Mark Calcavecchia,59.40,79,133,-17.00
8,0,01072,Chip Beck,59.32,70,118,+1.00
9,0,01559,Hale Irwin,58.88,63,107,-6.00
10,0,01378,David Frost,58.09,79,136,-19.00
11,0,02229,Brett Upper,57.69,75,130,-1.00
12,0,01495,Morris Hatalsky,57.45,54,94,E
13,0,01790,Pat McGowan,57.43,85,148,+3.00
14,0,02256,Tom Watson,56.86,58,102,-17.00
15,0,01823,Larry Mize,56.76,63,111,-17.00
16,0,02244,Fred Wadsworth,56.52,91,161,-1.00
17,0,01877,Tim Norris,56.12,55,98,E
18,0,01968,Nick Price,55.46,66,119,-18.00
19,0,02098,Jim Simons,55.32,52,94,E
20,0,01846,Jodie Mudd,55.22,74,134,-19.00
21,0,01444,Ken Green,55.00,88,160,-10.00
22,0,01958,Dan Pohl,54.69,70,128,-17.00
23,0,01871,Mike Nicolette,54.55,36,66,-5.00
24,0,01061,Ray Barr Jr.,54.08,53,98,+5.00
25,0,01305,Danny Edwards,53.85,63,117,-4.00
25,0,02041,Bill Sander,53.85,70,130,-5.00
27,0,01162,Rex Caldwell,53.66,44,82,+1.00
27,0,01303,Bob Eastwood,53.66,66,123,E
29,0,01639,Kenny Knox,53.63,96,179,+2.00
30,0,01475,Donnie Hammond,53.45,62,116,-2.00
31,0,01135,Ken Brown,53.41,47,88,-5.00
32,0,01278,Andy Dillard,53.39,63,118,-5.00
33,0,01996,Mike Reid,53.21,58,109,-6.00
34,0,01313,Steve Elkington,53.06,78,147,-9.00
35,0,01214,Frank Conner,52.94,36,68,+5.00
35,0,01864,Larry Nelson,52.94,72,136,-10.00
37,0,01414,Bob Gilder,52.90,82,155,-1.00
38,0,02146,Payne Stewart,52.83,84,159,-20.00
39,0,01648,Billy Kratzert,52.82,75,142,+12.00
40,0,01736,Roger Maltbie,52.78,57,108,-11.00
41,0,01557,John Inman,52.50,63,120,+10.00
42,0,01633,Tom Kite,52.41,76,145,-7.00
42,0,02104,Jeff Sluman,52.41,76,145,-12.00
44,0,01469,Dan Halldorson,51.85,70,135,-3.00
45,0,02322,Richard Zokol,51.81,43,83,+1.00
46,0,01329,Brad Faxon,51.72,75,145,+2.00
47,0,01783,Mark McCumber,51.41,73,142,+6.00
48,0,01928,Corey Pavin,51.37,75,146,-2.00
49,0,01039,Perry Arthur,51.35,57,111,+6.00
50,0,01876,Greg Norman,51.32,39,76,-5.00
51,0,01706,Davis Love III,51.18,65,127,-2.00
52,0,01701,Bob Lohr,50.66,77,152,+1.00
53,0,01203,Russ Cochran,50.64,79,156,-13.00
54,0,02049,Gene Sauers,50.61,83,164,-6.00
55,0,01878,Andy North,50.49,52,103,-6.00
56,0,01725,John Mahaffey,50.41,62,123,-7.00
57,0,01884,Mac O'Grady,50.38,67,133,-7.00
58,0,02160,Ron Streck,50.36,70,139,+3.00
59,0,01468,Gary Hallberg,50.34,75,149,+8.00
60,0,01306,David Edwards,50.00,42,84,-4.00
60,0,01418,Bill Glasson,50.00,68,136,-9.00
60,0,01425,Ernie Gonzalez,50.00,88,176,+6.00
60,0,01861,Jim Nelford,50.00,55,110,+6.00
60,0,01975,Tom Purtzer,50.00,69,138,-8.00
60,0,02242,Lanny Wadkins,50.00,68,136,-5.00
66,0,01723,Andrew Magee,49.66,74,149,-6.00
67,0,02225,Howard Twitty,49.62,66,133,+2.00
68,0,01457,Jay Haas,49.61,63,127,+4.00
69,0,01129,Bill Britton,49.50,50,101,+4.00
70,0,01150,George Burns,49.40,82,166,+1.00
71,0,02159,Curtis Strange,49.26,67,136,-9.00
72,0,01201,Lennie Clements,48.89,44,90,+1.00
73,0,01192,T.C. Chen,48.81,41,84,+4.00
74,0,01288,Ed Dougherty,48.74,58,119,E
75,0,01346,Ed Fiori,48.61,70,144,-2.00
75,0,01952,Billy Pierot,48.61,35,72,+8.00
77,0,01132,Mark Brooks,48.51,65,134,-1.00
78,0,01390,Buddy Gardner,48.48,80,165,-1.00
79,0,01571,Barry Jaeckel,48.32,72,149,+3.00
80,0,01690,Bruce Lietzke,48.19,40,83,-4.00
81,0,02148,Ray Stewart,48.15,65,135,+18.00
82,0,01666,Bernhard Langer,48.05,37,77,-13.00
83,0,01998,Jack Renner,47.93,58,121,+2.00
84,0,01060,Dave Barr,47.83,66,138,-5.00
84,0,01200,Keith Clearwater,47.83,88,184,+2.00
84,0,01593,Philip Jonas,47.83,44,92,+8.00
87,0,01219,John Cook,47.79,65,136,-6.00
88,0,02223,Bob Tway,47.76,64,134,-10.00
89,0,02007,Larry Rinker,47.75,53,111,-1.00
90,0,01156,Curt Byrum,47.74,74,155,-25.00
91,0,01093,Ronnie Black,47.69,62,130,-13.00
92,0,02195,Leonard Thompson,47.66,61,128,+4.00
93,0,02294,Willie Wood,47.52,67,141,-8.00
94,0,01641,Gary Koch,47.37,54,114,+2.00
95,0,01175,Jim Carter,47.33,62,131,+12.00
96,0,01355,Raymond Floyd,47.31,44,93,E
97,0,01926,Steve Pate,47.27,78,165,-13.00
98,0,01527,Scott Hoch,47.18,67,142,-11.00
99,0,02033,Dave Rummells,47.14,66,140,+4.00
100,0,01077,Mike Bender,47.06,56,119,+20.00
101,0,01098,Jay Don Blake,47.02,71,151,-5.00
102,0,02152,Dave Stockton,46.91,38,81,+1.00
103,0,01103,Charles Bolling,46.88,75,160,+5.00
104,0,01599,Steve Jones,46.76,65,139,-11.00
105,0,01168,David Canipe,46.67,49,105,+7.00
106,0,02241,Bobby Wadkins,46.58,68,146,-8.00
107,0,02090,Tom Sieckmann,46.51,60,129,+20.00
108,0,01226,Fred Couples,46.49,53,114,-5.00
109,0,02303,Robert Wrenn,46.46,46,99,-1.00
110,0,01310,Dave Eichelberger,46.41,71,153,+12.00
111,0,01323,Brad Fabel,46.40,58,125,+13.00
112,0,02002,John Riegger,46.38,32,69,+6.00
113,0,01284,Mike Donald,46.37,83,179,-1.00
114,0,01196,Brian Claar,46.24,80,173,+2.00
115,0,01282,Trevor Dodds,46.23,49,106,+2.00
116,0,01891,David Ogrin,46.10,65,141,-3.00
117,0,01715,Mark Lye,46.05,70,152,-10.00
118,0,02067,Ted Schulz,45.92,45,98,-5.00
119,0,01095,Woody Blackburn,45.78,38,83,+20.00
120,0,02167,Mike Sullivan,45.69,53,116,+6.00
121,0,01006,John Adams,45.67,58,127,-5.00
122,0,02087,Don Shirey Jr.,45.54,46,101,-1.00
123,0,02100,Tim Simpson,45.32,63,139,-5.00
124,0,01096,Phil Blackmar,45.19,61,135,-1.00
125,0,01235,Ben Crenshaw,45.16,56,124,-5.00
126,0,01157,Tom Byrum,45.14,65,144,-2.00
127,0,02201,Jim Thorpe,45.00,36,80,+6.00
128,0,01501,Vance Heafner,44.95,49,109,-1.00
129,0,01499,Mark Hayes,44.85,61,136,+2.00
129,0,02118,J.C. Snead,44.85,61,136,E
131,0,01443,Hubert Green,44.44,48,108,+4.00
131,0,01837,Gil Morgan,44.44,24,54,+3.00
133,0,01037,Dewey Arnette,44.33,43,97,+5.00
134,0,01687,Jeff Lewis,44.23,46,104,+12.00
135,0,01771,Blaine McCallister,44.22,65,147,+8.00
136,0,02101,Joey Sindelar,44.19,57,129,-5.00
137,0,01984,Sam Randolph,44.03,59,134,+1.00
138,0,01935,Calvin Peete,43.96,40,91,-1.00
139,0,02170,Hal Sutton,43.86,50,114,-3.00
140,0,02267,D.A. Weibring,43.70,52,119,-3.00
