RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE,TOTAL DRV RANK,GIR RANK
1,0,06621,Joe Durant,6,5,1
2,0,20645,John Senden,8,2,6
3,0,10885,Robert Allenby,19,11,8
4,0,01677,Tom Lehman,22,19,3
5,0,25900,Lucas Glover,41,3,38
5,0,23325,Vaughn Taylor,41,18,23
7,0,19824,Craig Barlow,42,8,34
7,0,23623,Bo Van Pelt,42,10,32
9,0,01142,Bart Bryant,43,30,13
9,0,21959,Ted Purdy,43,3,40
11,0,01810,Phil Mickelson,44,34,10
12,0,20498,Briny Baird,45,40,5
12,0,01139,Olin Browne,45,33,12
14,0,26287,Roland Thatcher,49,22,27
14,0,02246,Duffy Waldorf,49,40,9
14,0,21878,Mark Wilson,49,35,14
17,0,24024,Zach Johnson,50,21,29
18,0,02101,Joey Sindelar,52,16,36
19,0,06567,Vijay Singh,54,52,2
19,0,02106,Chris Smith,54,47,7
21,0,01945,Kenny Perry,55,37,18
22,0,24507,Jason Bohn,57,7,50
23,0,12652,Cameron Beckman,59,14,45
24,0,23353,J.J. Henry,61,5,56
25,0,10733,Kent Jones,62,23,39
26,0,07223,Brian Bateman,63,9,54
26,0,22046,Geoff Ogilvy,63,14,49
28,0,08123,Jeff Brehaut,65,1,64
29,0,20157,Retief Goosen,71,54,17
30,0,01553,John Huston,77,61,16
31,0,07867,Woody Austin,84,59,25
32,0,06004,Stephen Ames,85,61,24
33,0,02239,Scott Verplank,87,67,20
34,0,20628,Arron Oberholser,89,45,44
35,0,24361,Pat Perez,90,24,66
35,0,01941,Tom Pernice Jr.,90,40,50
37,0,20094,Jonathan Kaye,92,35,57
38,0,20029,Notah Begay III,93,27,66
39,0,01685,J.L. Lewis,98,40,58
40,0,23983,Luke Donald,100,89,11
40,0,01313,Steve Elkington,100,30,70
42,0,01766,Billy Mayfair,101,26,75
43,0,10425,Jay Williamson,102,13,89
44,0,21805,Harrison Frazar,106,12,94
44,0,10585,Scott McCarron,106,16,90
44,0,02214,Kirk Triplett,106,72,34
47,0,01527,Scott Hoch,108,89,19
47,0,22293,Heath Slocum,108,67,41
49,0,21633,Steve Allan,113,61,52
49,0,12510,Chad Campbell,113,82,31
49,0,01724,Jeff Maggert,113,76,37
52,0,12645,Brent Geiberger,114,29,85
53,0,21209,Sergio Garcia,115,111,4
54,0,23320,Ryan Palmer,116,28,88
55,0,20548,Hidemichi Tanaka,118,47,71
56,0,08075,Jerry Kelly,121,93,28
57,0,21646,David Branshaw,126,61,65
57,0,01797,Rocco Mediate,126,40,86
59,0,01127,Danny Briggs,129,103,26
60,0,01388,Robert Gamez,132,50,82
61,0,08793,Tiger Woods,133,85,48
62,0,01161,Mark Calcavecchia,135,32,103
63,0,24290,D.J. Brigman,140,60,80
64,0,11032,Frank Lickliter II,142,37,105
65,0,21961,Charles Howell III,144,70,74
65,0,02104,Jeff Sluman,144,129,15
67,0,22405,Justin Rose,151,118,33
68,0,23135,Tim Clark,153,74,79
68,0,10860,Justin Leonard,153,80,73
70,0,20098,Stuart Appleby,155,58,97
70,0,01249,John Daly,155,95,60
70,0,25686,Jason Dufner,155,89,66
73,0,06515,Shaun Micheel,166,120,46
74,0,01219,John Cook,167,109,58
74,0,01226,Fred Couples,167,105,62
74,0,12823,Carlos Franco,167,145,22
74,0,26420,Richard Johnson,167,56,111
78,0,02206,David Toms,169,148,21
79,0,01706,Davis Love III,172,56,116
80,0,23108,Matt Kuchar,173,82,91
81,0,23614,Rich Beem,175,46,129
82,0,06251,Chris DiMarco,176,133,43
82,0,08337,Mike Heinen,176,20,156
84,0,01381,Fred Funk,179,93,86
85,0,07721,Pat Bates,180,117,63
85,0,20572,Rod Pampling,180,111,69
87,0,10201,Matt Gogel,181,39,142
88,0,06595,Kevin Sutherland,182,47,135
89,0,22548,Patrick Sheehan,186,85,101
90,0,22913,John Rollins,187,25,162
91,0,01577,Lee Janzen,188,158,30
92,0,06522,Ernie Els,194,111,83
93,0,24502,Adam Scott,195,111,84
94,0,02010,Loren Roberts,196,142,54
95,0,24781,Hunter Mahan,199,69,130
96,0,01035,Tommy Armour III,201,103,98
97,0,01927,Dennis Paulson,202,52,150
98,0,01203,Russ Cochran,204,151,53
99,0,19972,José Coceres,205,65,140
99,0,25396,Kevin Na,205,98,107
99,0,23497,Tag Ridings,205,89,116
102,0,20433,Mark Hensby,207,66,141
103,0,08339,Spike McRoy,209,107,102
103,0,07749,Brett Quigley,209,131,78
105,0,10107,Deane Pappas,215,78,137
106,0,20850,Daniel Chopra,217,95,122
106,0,23307,Roger Tambellini,217,74,143
108,0,20229,Stewart Cink,218,157,61
109,0,02002,John Riegger,220,178,42
109,0,23621,Rory Sabbatini,220,120,100
111,0,01457,Jay Haas,221,174,47
111,0,06332,Neal Lancaster,221,145,76
113,0,21893,Brian Kortan,224,54,170
114,0,01157,Tom Byrum,225,95,130
