RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,GIR RANK
1,0,23135,Tim Clark,30' 5",25397.917,836,Under
2,0,01553,John Huston,30' 6",26042.583,854,1 Under
3,0,12510,Chad Campbell,31' 5",33818.167,1076,1 Under
4,0,10809,Jim Furyk,31' 7",31781.667,1007,1 Under
5,0,20229,Stewart Cink,31' 10",35710.667,1121,1 Under
6,0,10425,Jay Williamson,32' 0",34919.083,1091,Under
7,0,02239,Scott Verplank,32' 2",33868.083,1054,Under
8,0,01381,Fred Funk,32' 4",38859.167,1201,Under
9,0,06621,Joe Durant,32' 5",33898.917,1047,Under
9,0,19846,Brian Gay,32' 5",35097.833,1083,Under
9,0,02101,Joey Sindelar,32' 5",35282.917,1088,Under
9,0,02170,Hal Sutton,32' 5",28981.250,895,Under
13,0,23983,Luke Donald,32' 6",33106.083,1018,Under
13,0,02104,Jeff Sluman,32' 6",35629.500,1096,Under
15,0,01161,Mark Calcavecchia,32' 7",29231.750,896,Under
15,0,01320,Bob Estes,32' 7",30998.333,951,Under
17,0,20498,Briny Baird,32' 8",41674.333,1277,1 Under
18,0,20572,Rod Pampling,32' 9",28780.250,879,Under
19,0,01945,Kenny Perry,32' 10",30859.500,939,Under
19,0,24502,Adam Scott,32' 10",15129.083,461,Under
21,0,06004,Stephen Ames,32' 11",35214.833,1069,1 Under
21,0,01619,Skip Kendall,32' 11",40456.417,1229,1 Under
21,0,02214,Kirk Triplett,32' 11",32042.167,973,1 Under
24,0,21209,Sergio Garcia,33' 0",15515.500,470,Under
24,0,02002,John Riegger,33' 0",20044.167,607,Under
24,0,06567,Vijay Singh,33' 0",33331.917,1011,1 Under
27,0,12652,Cameron Beckman,33' 1",33522.917,1013,Under
27,0,06034,Marco Dawson,33' 1",29165.333,882,Under
27,0,01388,Robert Gamez,33' 1",42148.750,1273,1 Under
30,0,07721,Pat Bates,33' 3",42419.000,1277,Under
30,0,08547,John Maginnes,33' 3",30587.250,920,Under
32,0,01035,Tommy Armour III,33' 4",24400.000,732,Under
32,0,07223,Brian Bateman,33' 4",25701.167,772,Under
34,0,21739,Aaron Barber,33' 5",36087.333,1081,Under
34,0,20157,Retief Goosen,33' 5",19029.667,570,Under
34,0,01968,Nick Price,33' 5",21410.583,641,Under
37,0,21805,Harrison Frazar,33' 6",33258.583,994,Under
37,0,20127,Chris Riley,33' 6",31632.000,944,Under
39,0,06809,Bob Burns,33' 7",30146.750,898,Over
39,0,08931,Glen Day,33' 7",40788.000,1216,1 Under
39,0,08537,J.P. Hayes,33' 7",28828.417,859,Under
39,0,01666,Bernhard Langer,33' 7",21511.333,641,Under
39,0,01706,Davis Love III,33' 7",25754.917,766,Under
39,0,08375,Paul Stankowski,33' 7",24933.583,742,Under
45,0,19824,Craig Barlow,33' 8",36832.833,1093,Under
45,0,01307,Joel Edwards,33' 8",26221.000,779,Over
45,0,23338,David Gossett,33' 8",37685.583,1118,Under
45,0,06643,Paul Goydos,33' 8",33250.500,987,Under
45,0,10860,Justin Leonard,33' 8",27141.250,807,1 Under
45,0,01707,Steve Lowery,33' 8",28637.000,851,Under
45,0,25345,Carl Pettersson,33' 8",31256.583,929,Under
52,0,07867,Woody Austin,33' 9",38685.167,1147,1 Under
52,0,06617,Brian Henninger,33' 9",22433.750,664,Under
52,0,20094,Jonathan Kaye,33' 9",31125.083,922,Under
52,0,01887,Mark O'Meara,33' 9",19731.833,584,Over
56,0,06573,Brandt Jobe,33' 10",29633.000,875,Under
57,0,20098,Stuart Appleby,33' 11",30460.917,898,Under
57,0,22293,Heath Slocum,33' 11",41581.583,1227,Under
59,0,10733,Kent Jones,34' 0",28264.500,831,Under
59,0,01948,Tim Petrovic,34' 0",38992.500,1147,1 Under
59,0,02246,Duffy Waldorf,34' 0",31673.500,932,Under
62,0,01226,Fred Couples,34' 1",18810.250,552,Under
62,0,08725,Tom Gillis,34' 1",27309.500,801,Under
62,0,08545,Glen Hnatiuk,34' 1",37827.583,1109,Under
62,0,08633,Per-Ulrik Johansson,34' 1",37371.167,1096,Under
62,0,20628,Arron Oberholser,34' 1",33537.667,985,Under
67,0,10885,Robert Allenby,34' 2",26984.250,790,Under
67,0,01139,Olin Browne,34' 2",42472.917,1242,Under
67,0,19825,Darren Clarke,34' 2",17200.250,503,Under
67,0,10565,Ian Leggatt,34' 2",26758.583,783,Under
67,0,01724,Jeff Maggert,34' 2",30047.917,880,Under
67,0,01797,Rocco Mediate,34' 2",27775.500,812,Under
73,0,01577,Lee Janzen,34' 3",26218.833,765,Under
73,0,06332,Neal Lancaster,34' 3",43585.417,1272,Under
73,0,01938,David Peoples,34' 3",37787.250,1103,Under
76,0,07457,Steve Flesch,34' 4",42777.750,1245,1 Under
76,0,08793,Tiger Woods,34' 4",23060.000,671,1 Under
78,0,12705,Cliff Kresge,34' 5",37229.000,1083,Under
78,0,02010,Loren Roberts,34' 5",29773.750,866,Under
78,0,20548,Hidemichi Tanaka,34' 5",45007.250,1309,Under
78,0,02206,David Toms,34' 5",27944.667,811,Under
82,0,20623,Gavin Coles,34' 6",25730.833,746,Over
82,0,01569,Peter Jacobsen,34' 6",28375.167,823,Under
82,0,11032,Frank Lickliter II,34' 6",34605.000,1002,Under
82,0,20634,Peter Lonard,34' 6",32836.833,951,Under
82,0,01723,Andrew Magee,34' 6",34964.667,1014,Under
87,0,12661,Todd Barranger,34' 7",29690.833,858,Over
87,0,06515,Shaun Micheel,34' 7",38156.667,1104,Under
89,0,19972,José Coceres,34' 8",24664.750,712,Over
89,0,12680,Shigeki Maruyama,34' 8",31146.167,898,Under
89,0,20663,Brenden Pappas,34' 8",40387.500,1164,Under
89,0,02049,Gene Sauers,34' 8",34197.250,987,Over
93,0,20472,Alex Cejka,34' 9",32227.667,928,Under
94,0,01361,Dan Forsman,34' 10",38311.250,1101,Under
94,0,01685,J.L. Lewis,34' 10",35025.500,1006,Under
96,0,22913,John Rollins,34' 11",26638.833,763,Under
96,0,02106,Chris Smith,34' 11",34664.083,993,Under
96,0,10423,Mike Weir,34' 11",24739.000,708,Under
99,0,01157,Tom Byrum,35' 0",36158.500,1033,Under
99,0,06522,Ernie Els,35' 0",18636.167,533,Under
99,0,06575,Dudley Hart,35' 0",24586.000,702,Under
99,0,23353,J.J. Henry,35' 0",41130.500,1174,Under
99,0,22548,Patrick Sheehan,35' 0",41736.333,1193,Under
99,0,02223,Bob Tway,35' 0",34902.833,998,Under
105,0,01098,Jay Don Blake,35' 1",27141.083,773,Over
105,0,01132,Mark Brooks,35' 1",33597.750,958,Over
105,0,01941,Tom Pernice Jr.,35' 1",39571.917,1128,Under
108,0,01042,Paul Azinger,35' 2",28397.333,808,Over
108,0,24357,K.J. Choi,35' 2",38256.750,1087,Under
108,0,06251,Chris DiMarco,35' 2",33612.667,955,1 Under
108,0,01378,David Frost,35' 2",34997.250,996,Under
108,0,01457,Jay Haas,35' 2",32356.000,919,Under
108,0,10912,Craig Perks,35' 2",29847.333,849,Under
108,0,11011,Mike Sposa,35' 2",30110.833,856,Under
115,0,01175,Jim Carter,35' 3",39095.833,1109,Over
115,0,12782,Tim Herron,35' 3",39984.333,1133,Under
