RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# BIRDIES,GREENS HIT
1,0,01161,Mark Calcavecchia,3.26,346,1060
2,0,02146,Payne Stewart,3.18,367,1155
3,0,02133,Craig Stadler,3.17,294,927
4,0,01666,Bernhard Langer,3.16,217,687
5,0,01968,Nick Price,3.14,304,967
6,0,01235,Ben Crenshaw,3.13,319,1019
6,0,02255,Denis Watson,3.13,351,1123
8,0,02242,Lanny Wadkins,3.10,320,1032
9,0,01495,Morris Hatalsky,3.09,260,842
10,0,01162,Rex Caldwell,3.08,213,691
11,0,01072,Chip Beck,3.06,338,1105
11,0,01633,Tom Kite,3.06,336,1097
13,0,01042,Paul Azinger,3.04,362,1191
13,0,01329,Brad Faxon,3.04,320,1053
15,0,01135,Ken Brown,3.03,230,760
15,0,01522,Lon Hinkle,3.03,236,779
15,0,01706,Davis Love III,3.03,309,1019
18,0,01378,David Frost,3.02,362,1199
19,0,01876,Greg Norman,3.00,244,812
19,0,02159,Curtis Strange,3.00,372,1238
21,0,01599,Steve Jones,2.98,322,1082
22,0,01823,Larry Mize,2.97,288,971
22,0,01846,Jodie Mudd,2.97,344,1160
24,0,01960,Don Pooley,2.96,326,1100
24,0,02167,Mike Sullivan,2.96,293,989
26,0,01096,Phil Blackmar,2.95,341,1157
26,0,01958,Dan Pohl,2.95,364,1232
26,0,02041,Bill Sander,2.95,310,1051
29,0,01717,Sandy Lyle,2.94,186,633
29,0,02090,Tom Sieckmann,2.94,295,1003
31,0,02033,Dave Rummells,2.93,392,1336
31,0,02241,Bobby Wadkins,2.93,373,1272
31,0,02294,Willie Wood,2.93,326,1112
34,0,01039,Perry Arthur,2.92,236,808
35,0,01226,Fred Couples,2.91,335,1153
35,0,01303,Bob Eastwood,2.91,328,1127
37,0,02170,Hal Sutton,2.90,338,1165
38,0,01150,George Burns,2.88,351,1219
38,0,01444,Ken Green,2.88,320,1111
38,0,01984,Sam Randolph,2.88,262,910
38,0,02007,Larry Rinker,2.88,318,1104
42,0,01331,Rick Fehr,2.87,194,677
42,0,01557,John Inman,2.87,298,1037
42,0,02104,Jeff Sluman,2.87,371,1292
42,0,02321,Fuzzy Zoeller,2.87,252,877
46,0,01098,Jay Don Blake,2.85,329,1155
46,0,01468,Gary Hallberg,2.85,315,1107
46,0,01943,Chris Perry,2.85,335,1176
46,0,02256,Tom Watson,2.85,242,850
50,0,01197,Bobby Clampett,2.83,267,944
50,0,01527,Scott Hoch,2.83,341,1207
50,0,01851,Bob Murphy,2.83,249,881
50,0,01928,Corey Pavin,2.83,280,990
50,0,01952,Billy Pierot,2.83,192,678
55,0,01200,Keith Clearwater,2.82,404,1434
55,0,01414,Bob Gilder,2.82,326,1154
57,0,01361,Dan Forsman,2.81,409,1454
57,0,01864,Larry Nelson,2.81,239,852
57,0,01926,Steve Pate,2.81,400,1425
57,0,01975,Tom Purtzer,2.81,321,1142
61,0,01068,Andy Bean,2.79,182,653
61,0,01157,Tom Byrum,2.79,353,1265
61,0,01682,Wayne Levi,2.79,298,1067
61,0,01884,Mac O'Grady,2.79,299,1070
61,0,01887,Mark O'Meara,2.79,306,1098
61,0,02223,Bob Tway,2.79,288,1031
67,0,01355,Raymond Floyd,2.78,216,778
67,0,01783,Mark McCumber,2.78,364,1311
67,0,02087,Don Shirey Jr.,2.78,288,1037
70,0,02101,Joey Sindelar,2.76,382,1386
70,0,02225,Howard Twitty,2.76,317,1149
72,0,01156,Curt Byrum,2.75,385,1400
72,0,01196,Brian Claar,2.75,325,1180
