RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL,TOTAL (FOR ALL DISTANCES),PCT OF ALL 1-PUTTS
1,0,19846,Brian Gay,358,706,50.7
2,0,30926,Chris Kirk,344,678,50.7
3,0,46435,Austin Cook,334,671,49.8
4,0,19803,Ryan Armour,324,659,49.2
5,0,35532,Tom Hoge,321,629,51.0
5,0,32333,Kevin Tway,321,617,52.0
7,0,37455,Si Woo Kim,318,572,55.6
8,0,29461,Jamie Lovemark,316,586,53.9
9,0,45526,Abraham Ancer,312,596,52.3
10,0,34466,Peter Malnati,310,598,51.8
11,0,35421,Brandon Harkins,309,621,49.8
12,0,35461,Beau Hossler,296,651,45.5
13,0,31560,Brian Stuard,295,609,48.4
14,0,46501,Ollie Schniederjans,293,577,50.8
14,0,33448,Justin Thomas,293,537,54.6
16,0,30944,Jason Kokrak,291,577,50.4
17,0,28132,Tyrone Van Aswegen,290,575,50.4
18,0,27129,Luke List,289,518,55.8
19,0,29221,Webb Simpson,285,601,47.4
20,0,34563,Chesson Hadley,284,613,46.3
20,0,27556,Ted Potter Jr.,284,570,49.8
22,0,29535,Brice Garnett,281,542,51.8
23,0,29725,Tony Finau,279,563,49.6
23,0,29926,Danny Lee,279,534,52.2
25,0,33141,Keegan Bradley,276,522,52.9
26,0,25396,Kevin Na,275,561,49.0
26,0,48081,Xander Schauffele,275,530,51.9
28,0,47959,Bryson DeChambeau,274,551,49.7
29,0,30692,Scott Stallings,273,547,49.9
30,0,32640,Troy Merritt,272,528,51.5
31,0,34174,John Huh,271,577,47.0
32,0,39546,Keith Mitchell,270,541,49.9
33,0,29479,Scott Brown,269,547,49.2
33,0,26851,Marc Leishman,269,517,52.0
35,0,27095,Nick Watney,267,542,49.3
36,0,31416,Derek Fathauer,265,506,52.4
36,0,35879,Kelly Kraft,265,528,50.2
36,0,23621,Rory Sabbatini,265,530,50.0
39,0,22371,Aaron Baddeley,262,485,54.0
39,0,27214,Kevin Streelman,262,510,51.4
41,0,34409,David Lingmerth,261,514,50.8
42,0,29420,Billy Horschel,260,528,49.2
43,0,34256,Andrew Putnam,258,521,49.5
43,0,36699,Patrick Rodgers,258,517,49.9
43,0,25493,Nick Taylor,258,498,51.8
46,0,21961,Charles Howell III,257,519,49.5
46,0,49964,Aaron Wise,257,556,46.2
48,0,29908,C.T. Pan,256,524,48.9
49,0,31202,William McGirt,255,512,49.8
49,0,01810,Phil Mickelson,255,540,47.2
51,0,27649,Brandt Snedeker,254,532,47.7
52,0,39327,Ben Silverman,252,527,47.8
52,0,25632,Jimmy Walker,252,499,50.5
54,0,34360,Patrick Reed,251,467,53.7
