RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,YEAR/TOURN#,ROUND,HOLE
1,0,34046,Jordan Spieth,90' 8",Sony Open,2,5 - Par 4 -
2,0,27652,Johan Kok,86' 6",St. Jude,1,17 - Par 4
3,0,23788,D.J. Trahan,83' 10",John Deere,1,2 - Par 5 -
4,0,27936,Martin Laird,83' 4",Texas Open,3,8 - Par 5 -
5,0,28132,Tyrone Van Aswegen,77' 10",Valspar Champ,2,17 - Par 3
6,0,33141,Keegan Bradley,77' 1",TOUR Champ,3,13 - Par 4
7,0,24502,Adam Scott,76' 7",Genesis Open,2,1 - Par 5 -
8,0,23048,Eric Axley,76' 3",U.S. Open,1,3 - Par 4 -
9,0,32102,Rickie Fowler,76' 1",Wells Fargo,4,7 - Par 5 -
10,0,47128,Richy Werenski,76' 1",THE PLAYERS,1,9 - Par 5 -
11,0,19803,Ryan Armour,75' 10",Shriners Hosp,4,16 - Par 5
12,0,36799,Stephan Jaeger,75' 0",Wells Fargo,2,7 - Par 5 -
13,0,45486,Joaquin Niemann,74' 4",John Deere,3,4 - Par 4 -
14,0,33204,Shane Lowry,73' 10",U.S. Open,1,12 - Par 4
15,0,27129,Luke List,73' 6",Arnold Palmer,1,1 - Par 4 -
16,0,35506,Mackenzie Hughes,72' 8",THE PLAYERS,3,8 - Par 3 -
17,0,35421,Brandon Harkins,72' 4",CareerBuilder,3,16 - Par 5
18,0,47574,Scott Strohmeyer,72' 2",Shriners Hosp,1,8 - Par 3 -
19,0,46435,Austin Cook,70' 1",St. Jude,4,17 - Par 4
20,0,35461,Beau Hossler,70' 1",BMW Champ,1,15 - Par 4
21,0,47287,Ethan Tracy,69' 11",John Deere,1,2 - Par 5 -
22,0,24663,Y.E. Yang,69' 7",PGA Championshi,2,16 - Par 3
23,0,29479,Scott Brown,69' 4",The RSM Classic,2,14 - Par 4
24,0,29461,Jamie Lovemark,68' 10",Valspar Champ,1,15 - Par 3
25,0,28500,Martin Flores,68' 9",Barbasol Champ,1,15 - Par 4
26,0,48084,Wesley Bryan,68' 8",Sentry T of C,3,4 - Par 4 -
27,0,26329,Louis Oosthuizen,68' 3",BMW Champ,1,14 - Par 3
28,0,27408,Martin Kaymer,67' 10",Genesis Open,3,8 - Par 4 -
29,0,23621,Rory Sabbatini,67' 0",Shriners Hosp,2,10 - Par 4
30,0,12782,Tim Herron,66' 4",St. Jude,4,17 - Par 4
31,0,29268,Bronson Burgoon,66' 1",Byron Nelson,4,2 - Par 3 -
32,0,23320,Ryan Palmer,66' 0",Quicken Loans,2,11 - Par 4
33,0,27141,J.B. Holmes,65' 11",Valspar Champ,3,16 - Par 4
34,0,20229,Stewart Cink,65' 9",Canadian Open,1,13 - Par 5
35,0,10885,Robert Allenby,65' 6",Byron Nelson,2,12 - Par 3
36,0,46970,Jon Rahm,65' 4",BMW Champ,2,14 - Par 3
37,0,27770,Camilo Villegas,64' 4",Phoenix Open,3,8 - Par 4 -
38,0,32839,Hideki Matsuyama,64' 2",Dell Tech Champ,3,5 - Par 4 -
39,0,47483,Will Zalatoris,64' 0",AT&T Pebble,3,3 - Par 4 -
40,0,32333,Kevin Tway,63' 11",Safeway Open,2,14 - Par 4
41,0,27324,Seungsu Han,63' 11",PGA Championshi,1,5 - Par 4 -
42,0,23108,Matt Kuchar,63' 10",Houston Open,2,18 - Par 4
43,0,35544,Andrew Yun,63' 10",John Deere,1,1 - Par 4 -
44,0,25572,Graeme McDowell,63' 9",Honda Classic,1,17 - Par 3
45,0,34431,Robert Streb,63' 9",Fort Worth Invt,2,8 - Par 3 -
46,0,37454,Whee Kim,63' 6",NORTHERN TRUST,3,14 - Par 4
47,0,26300,Matt Jones,63' 5",Sony Open,3,12 - Par 4
48,0,48081,Xander Schauffele,63' 5",THE PLAYERS,1,15 - Par 4
49,0,30926,Chris Kirk,63' 4",Barbasol Champ,2,6 - Par 5 -
