RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 2 PUTTS,TOTAL ROUNDS
1,0,27120,Troy Matteson,11.43,960,84
2,0,20574,Mathew Goggin,11.21,953,85
3,0,20645,John Senden,11.17,1151,103
4,0,06595,Kevin Sutherland,11.02,948,86
5,0,20691,Greg Owen,10.93,754,69
5,0,23322,Brett Wetterich,10.93,590,54
7,0,01706,Davis Love III,10.91,862,79
8,0,20572,Rod Pampling,10.84,835,77
9,0,23788,D.J. Trahan,10.79,993,92
10,0,12510,Chad Campbell,10.77,1002,93
10,0,22621,Ben Curtis,10.77,840,78
12,0,22378,Trevor Immelman,10.76,592,55
13,0,07749,Brett Quigley,10.74,1031,96
14,0,25240,D.A. Points,10.72,965,90
15,0,21209,Sergio Garcia,10.67,555,52
16,0,24924,Bill Haas,10.66,927,87
17,0,01945,Kenny Perry,10.65,724,68
18,0,01320,Bob Estes,10.61,838,79
19,0,24502,Adam Scott,10.60,721,68
20,0,23325,Vaughn Taylor,10.59,921,87
21,0,01797,Rocco Mediate,10.58,751,71
22,0,24507,Jason Bohn,10.57,888,84
22,0,25804,Bubba Watson,10.57,814,77
24,0,23409,James Driscoll,10.55,823,78
24,0,24140,Sean O'Hair,10.55,865,82
26,0,25900,Lucas Glover,10.54,780,74
26,0,24912,Will MacKenzie,10.54,759,72
28,0,20472,Alex Cejka,10.51,851,81
29,0,24925,Jonathan Byrd,10.49,892,85
30,0,06004,Stephen Ames,10.47,775,74
30,0,06567,Vijay Singh,10.47,775,74
32,0,28158,Steve Marino,10.46,847,81
32,0,01948,Tim Petrovic,10.46,1098,105
32,0,26287,Roland Thatcher,10.46,753,72
35,0,27936,Martin Laird,10.45,951,91
36,0,20848,Ángel Cabrera,10.44,658,63
36,0,20229,Stewart Cink,10.44,835,80
36,0,27330,Josh Teater,10.44,1054,101
39,0,24781,Hunter Mahan,10.43,876,84
39,0,22913,John Rollins,10.43,845,81
41,0,25686,Jason Dufner,10.41,906,87
41,0,30946,Alex Prugh,10.41,916,88
43,0,10885,Robert Allenby,10.39,769,74
43,0,06522,Ernie Els,10.39,727,70
45,0,24846,Ricky Barnes,10.37,1068,103
46,0,25364,Paul Casey,10.36,601,58
47,0,09011,David Duval,10.35,735,71
47,0,01577,Lee Janzen,10.35,797,77
47,0,27095,Nick Watney,10.35,911,88
50,0,32102,Rickie Fowler,10.34,1013,98
50,0,20157,Retief Goosen,10.34,734,71
52,0,20498,Briny Baird,10.28,894,87
52,0,30925,Dustin Johnson,10.28,843,82
52,0,25818,Scott Piercy,10.28,905,88
52,0,21878,Mark Wilson,10.28,894,87
56,0,08075,Jerry Kelly,10.27,1017,99
56,0,24138,Ian Poulter,10.27,503,49
56,0,24663,Y.E. Yang,10.27,719,70
59,0,26851,Marc Leishman,10.25,892,87
59,0,28780,Nicholas Thompson,10.25,902,88
61,0,26695,Michael Letzig,10.23,859,84
62,0,23135,Tim Clark,10.22,869,85
62,0,01707,Steve Lowery,10.22,685,67
62,0,10585,Scott McCarron,10.22,920,90
62,0,06527,Steve Stricker,10.22,736,72
