RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:PUTTING,MEASURED ROUNDS
1,0,23541,Ben Crane,.849,51.778,61
2,0,20229,Stewart Cink,.789,57.589,73
3,0,20572,Rod Pampling,.759,49.332,65
4,0,10809,Jim Furyk,.743,50.539,68
5,0,01329,Brad Faxon,.726,53.012,73
6,0,26420,Richard Johnson,.725,61.593,85
7,0,12660,Jesper Parnevik,.699,51.007,73
8,0,12602,Dean Wilson,.661,61.488,93
9,0,07749,Brett Quigley,.642,60.365,94
10,0,20608,David Howell,.637,19.096,30
11,0,06527,Steve Stricker,.614,31.920,52
12,0,22371,Aaron Baddeley,.595,40.446,68
13,0,20850,Daniel Chopra,.585,52.636,90
14,0,23718,Nathan Green,.577,54.263,94
15,0,01761,Len Mattiace,.556,28.890,52
16,0,19846,Brian Gay,.548,54.848,100
17,0,01941,Tom Pernice Jr.,.541,47.062,87
18,0,23983,Luke Donald,.532,22.873,43
19,0,22046,Geoff Ogilvy,.473,24.601,52
20,0,06004,Stephen Ames,.462,20.307,44
21,0,08793,Tiger Woods,.461,17.042,37
22,0,06197,Michael Allen,.414,29.777,72
23,0,01887,Mark O'Meara,.413,14.864,36
24,0,06373,José María Olazábal,.375,14.640,39
25,0,23325,Vaughn Taylor,.366,28.148,77
26,0,12755,Vance Veazey,.364,19.654,54
27,0,01823,Larry Mize,.363,14.872,41
28,0,25345,Carl Pettersson,.361,27.089,75
29,0,12645,Brent Geiberger,.360,32.401,90
30,0,20382,Stephen Leaney,.347,26.747,77
31,0,02206,David Toms,.338,20.968,62
32,0,23497,Tag Ridings,.327,29.470,90
33,0,21731,Freddie Jacobson,.319,17.225,54
34,0,01042,Paul Azinger,.315,25.184,80
35,0,01666,Bernhard Langer,.300,17.698,59
36,0,10733,Kent Jones,.299,26.333,88
37,0,20121,Todd Fischer,.297,26.718,90
37,0,26596,Ryan Moore,.297,17.240,58
39,0,21878,Mark Wilson,.269,19.349,72
40,0,01810,Phil Mickelson,.268,12.573,47
41,0,20593,Greg Chalmers,.266,15.180,57
41,0,01706,Davis Love III,.266,15.181,57
43,0,24357,K.J. Choi,.255,20.157,79
44,0,01139,Olin Browne,.248,21.314,86
45,0,20631,David McKenzie,.246,16.942,69
46,0,01928,Corey Pavin,.226,12.863,57
47,0,25632,Jimmy Walker,.223,12.498,56
48,0,24925,Jonathan Byrd,.221,11.924,54
49,0,20098,Stuart Appleby,.220,14.101,64
49,0,23135,Tim Clark,.220,12.758,58
51,0,06034,Marco Dawson,.219,16.896,77
52,0,23048,Eric Axley,.214,16.919,79
52,0,12760,Danny Ellis,.214,12.863,60
52,0,21805,Harrison Frazar,.214,16.032,75
55,0,23353,J.J. Henry,.196,15.112,77
56,0,24138,Ian Poulter,.194,8.161,42
57,0,21407,Arjun Atwal,.190,15.575,82
58,0,10885,Robert Allenby,.188,11.272,60
59,0,06012,Greg Kraft,.181,12.127,67
59,0,02106,Chris Smith,.181,10.688,59
61,0,01219,John Cook,.180,9.876,55
62,0,20628,Arron Oberholser,.167,10.381,62
63,0,12680,Shigeki Maruyama,.162,12.978,80
64,0,09011,David Duval,.157,8.331,53
65,0,21959,Ted Purdy,.145,11.622,80
66,0,11032,Frank Lickliter II,.140,11.865,85
67,0,25900,Lucas Glover,.138,11.844,86
67,0,02104,Jeff Sluman,.138,11.427,83
69,0,06515,Shaun Micheel,.133,10.399,78
70,0,01035,Tommy Armour III,.130,6.863,53
71,0,20157,Retief Goosen,.129,5.912,46
72,0,06573,Brandt Jobe,.125,8.719,70
73,0,12716,Charley Hoffman,.123,10.959,89
74,0,20127,Chris Riley,.122,8.408,69
75,0,01948,Tim Petrovic,.120,9.920,83
76,0,21961,Charles Howell III,.110,8.713,79
77,0,07457,Steve Flesch,.108,11.104,103
