RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:ARG,MEASURED ROUNDS
1,0,06522,Ernie Els,.619,29.079,47
2,0,20098,Stuart Appleby,.591,37.814,64
3,0,06373,José María Olazábal,.510,19.881,39
4,0,23983,Luke Donald,.509,21.878,43
5,0,06527,Steve Stricker,.472,24.522,52
6,0,10860,Justin Leonard,.441,28.656,65
7,0,01928,Corey Pavin,.439,25.049,57
8,0,20572,Rod Pampling,.435,28.299,65
9,0,06567,Vijay Singh,.414,34.743,84
10,0,19824,Craig Barlow,.376,21.798,58
11,0,08385,Omar Uresti,.368,18.787,51
12,0,06575,Dudley Hart,.365,25.896,71
13,0,20127,Chris Riley,.362,24.987,69
14,0,01887,Mark O'Meara,.358,12.887,36
15,0,22378,Trevor Immelman,.337,24.593,73
16,0,21350,Ryuji Imada,.315,27.446,87
17,0,23621,Rory Sabbatini,.313,20.023,64
18,0,25345,Carl Pettersson,.309,23.175,75
19,0,01042,Paul Azinger,.302,24.156,80
20,0,01941,Tom Pernice Jr.,.293,25.508,87
20,0,21660,Jason Schultz,.293,19.043,65
22,0,24507,Jason Bohn,.285,25.398,89
23,0,02110,Jerry Smith,.276,23.217,84
24,0,23541,Ben Crane,.272,16.572,61
25,0,24361,Pat Perez,.270,11.355,42
26,0,08075,Jerry Kelly,.268,22.544,84
27,0,06595,Kevin Sutherland,.263,22.914,87
28,0,01024,Billy Andrade,.255,15.293,60
28,0,02214,Kirk Triplett,.255,12.493,49
30,0,12680,Shigeki Maruyama,.249,19.942,80
31,0,06034,Marco Dawson,.245,18.887,77
31,0,10809,Jim Furyk,.245,16.644,68
31,0,21878,Mark Wilson,.245,17.645,72
34,0,20628,Arron Oberholser,.243,15.080,62
35,0,07457,Steve Flesch,.236,24.260,103
36,0,10423,Mike Weir,.235,14.812,63
37,0,20634,Peter Lonard,.234,15.420,66
38,0,06643,Paul Goydos,.232,14.858,64
39,0,01313,Steve Elkington,.213,9.810,46
39,0,20157,Retief Goosen,.213,9.790,46
41,0,12510,Chad Campbell,.211,14.169,67
42,0,07749,Brett Quigley,.209,19.634,94
43,0,11011,Mike Sposa,.208,12.049,58
43,0,23325,Vaughn Taylor,.208,15.978,77
45,0,01132,Mark Brooks,.207,15.319,74
45,0,24138,Ian Poulter,.207,8.702,42
47,0,22371,Aaron Baddeley,.196,13.338,68
48,0,21753,Brian Davis,.195,15.817,81
49,0,01948,Tim Petrovic,.193,15.987,83
50,0,22046,Geoff Ogilvy,.188,9.772,52
51,0,20121,Todd Fischer,.187,16.792,90
52,0,06197,Michael Allen,.186,13.379,72
53,0,20105,Jeff Gove,.183,14.804,81
53,0,02104,Jeff Sluman,.183,15.190,83
55,0,12602,Dean Wilson,.182,16.889,93
56,0,25632,Jimmy Walker,.178,9.954,56
57,0,12782,Tim Herron,.175,10.832,62
58,0,01666,Bernhard Langer,.173,10.205,59
59,0,02239,Scott Verplank,.171,11.610,68
60,0,02206,David Toms,.164,10.192,62
61,0,24502,Adam Scott,.160,8.161,51
62,0,24925,Jonathan Byrd,.153,8.262,54
63,0,19846,Brian Gay,.151,15.122,100
64,0,11032,Frank Lickliter II,.143,12.190,85
65,0,27095,Nick Watney,.141,12.122,86
66,0,01810,Phil Mickelson,.136,6.375,47
67,0,23718,Nathan Green,.134,12.583,94
68,0,23623,Bo Van Pelt,.127,11.420,90
69,0,07867,Woody Austin,.122,11.361,93
70,0,21961,Charles Howell III,.114,9.039,79
71,0,20099,Doug Barron,.112,7.474,67
72,0,20850,Daniel Chopra,.111,9.976,90
73,0,24924,Bill Haas,.109,9.601,88
74,0,08793,Tiger Woods,.107,3.949,37
75,0,20382,Stephen Leaney,.106,8.192,77
76,0,01766,Billy Mayfair,.101,7.781,77
77,0,08537,J.P. Hayes,.100,5.018,50
78,0,24357,K.J. Choi,.094,7.418,79
78,0,01219,John Cook,.094,5.166,55
80,0,12823,Carlos Franco,.093,7.168,77
81,0,12760,Danny Ellis,.091,5.467,60
82,0,01381,Fred Funk,.090,7.668,85
83,0,24024,Zach Johnson,.089,6.849,77
84,0,12660,Jesper Parnevik,.086,6.313,73
85,0,20548,Hidemichi Tanaka,.083,5.408,65
86,0,21949,Joe Ogilvie,.082,6.366,78
87,0,21731,Freddie Jacobson,.078,4.202,54
87,0,22405,Justin Rose,.078,6.731,86
89,0,01553,John Huston,.077,4.996,65
90,0,20766,Padraig Harrington,.074,2.815,38
91,0,20472,Alex Cejka,.066,5.305,80
92,0,01677,Tom Lehman,.065,3.058,47
93,0,01320,Bob Estes,.064,4.763,75
94,0,02223,Bob Tway,.057,3.843,67
95,0,06515,Shaun Micheel,.056,4.391,78
96,0,20691,Greg Owen,.053,3.279,62
97,0,23409,James Driscoll,.050,3.837,76
98,0,19881,Robert Damron,.048,3.896,82
99,0,10733,Kent Jones,.047,4.153,88
100,0,27770,Camilo Villegas,.045,3.649,82
101,0,23353,J.J. Henry,.039,3.023,77
102,0,01577,Lee Janzen,.031,2.141,68
103,0,21407,Arjun Atwal,.027,2.187,82
104,0,20645,John Senden,.026,2.067,79
105,0,25842,Jon Mills,.024,1.312,54
106,0,01823,Larry Mize,.023,.926,41
107,0,25240,D.A. Points,.022,1.553,71
108,0,21209,Sergio Garcia,.020,.771,39
109,0,01707,Steve Lowery,.011,.943,83
110,0,20094,Jonathan Kaye,.008,.701,86
111,0,08835,Kris Cox,-.007,-.487,72
112,0,06350,Bob May,-.025,-1.347,54
113,0,24912,Will MacKenzie,-.027,-2.021,75
114,0,25935,John Engler Jr.,-.029,-1.820,63
115,0,22913,John Rollins,-.036,-2.735,76
116,0,01599,Steve Jones,-.038,-2.630,69
117,0,20812,Tjaart van der Walt,-.042,-2.186,52
118,0,12716,Charley Hoffman,-.047,-4.227,89
119,0,01139,Olin Browne,-.048,-4.095,86
120,0,01619,Skip Kendall,-.054,-3.182,59
121,0,26420,Richard Johnson,-.055,-4.650,85
122,0,01161,Mark Calcavecchia,-.056,-4.432,79
123,0,24140,Sean O'Hair,-.057,-4.315,76
124,0,06251,Chris DiMarco,-.060,-3.664,61
125,0,20229,Stewart Cink,-.063,-4.598,73
126,0,01226,Fred Couples,-.072,-2.291,32
127,0,06004,Stephen Ames,-.079,-3.472,44
128,0,23616,Ryan Hietala,-.084,-4.280,51
129,0,22621,Ben Curtis,-.090,-6.046,67
130,0,23322,Brett Wetterich,-.092,-6.726,73
131,0,20608,David Howell,-.093,-2.790,30
132,0,10885,Robert Allenby,-.103,-6.171,60
133,0,12645,Brent Geiberger,-.104,-9.348,90
133,0,20574,Mathew Goggin,-.104,-6.047,58
135,0,06012,Greg Kraft,-.106,-7.112,67
136,0,23673,Michael Connell,-.108,-4.536,42
137,0,25900,Lucas Glover,-.109,-9.405,86
138,0,01685,J.L. Lewis,-.120,-5.998,50
139,0,26596,Ryan Moore,-.122,-7.088,58
139,0,12755,Vance Veazey,-.122,-6.597,54
141,0,21470,Daisuke Maruyama,-.131,-9.148,70
142,0,10505,Shane Bertsch,-.134,-12.095,90
142,0,21805,Harrison Frazar,-.134,-10.044,75
144,0,07223,Brian Bateman,-.143,-8.433,59
145,0,01142,Bart Bryant,-.145,-10.272,71
145,0,01761,Len Mattiace,-.145,-7.563,52
147,0,01473,Todd Hamilton,-.146,-8.200,56
148,0,20498,Briny Baird,-.147,-10.264,70
148,0,21959,Ted Purdy,-.147,-11.778,80
150,0,23135,Tim Clark,-.151,-8.784,58
150,0,27141,J.B. Holmes,-.151,-9.541,63
152,0,20378,Mathias Grönberg,-.156,-12.292,79
152,0,02246,Duffy Waldorf,-.156,-12.762,82
154,0,25804,Bubba Watson,-.157,-11.272,72
155,0,08375,Paul Stankowski,-.162,-10.193,63
156,0,19913,Ron Whittaker,-.163,-11.573,71
157,0,01724,Jeff Maggert,-.170,-11.528,68
158,0,20593,Greg Chalmers,-.172,-9.782,57
159,0,09011,David Duval,-.178,-9.436,53
160,0,01329,Brad Faxon,-.182,-13.275,73
161,0,28475,Jeff Overton,-.191,-16.614,87
162,0,22293,Heath Slocum,-.192,-16.122,84
163,0,23349,Charles Warren,-.209,-16.955,81
164,0,24358,Robert Garrigus,-.217,-16.072,74
165,0,24980,Scott Gutschewski,-.218,-9.812,45
166,0,01388,Robert Gamez,-.219,-17.918,82
167,0,22946,Henrik Bjornstad,-.221,-19.657,89
168,0,28780,Nicholas Thompson,-.223,-17.406,78
169,0,08123,Jeff Brehaut,-.226,-19.230,85
170,0,26360,Bubba Dickerson,-.229,-19.710,86
171,0,27120,Troy Matteson,-.231,-20.352,88
172,0,10565,Ian Leggatt,-.232,-16.226,70
173,0,22548,Patrick Sheehan,-.233,-20.261,87
174,0,01945,Kenny Perry,-.236,-14.152,60
175,0,01249,John Daly,-.239,-9.800,41
176,0,06621,Joe Durant,-.244,-23.462,96
176,0,06573,Brandt Jobe,-.244,-17.094,70
178,0,23614,Rich Beem,-.251,-16.294,65
179,0,23320,Ryan Palmer,-.259,-21.261,82
180,0,24781,Hunter Mahan,-.261,-23.227,89
181,0,23497,Tag Ridings,-.288,-25.896,90
182,0,23788,D.J. Trahan,-.289,-21.988,76
183,0,12662,Thomas Levet,-.294,-14.117,48
184,0,20631,David McKenzie,-.304,-20.959,69
185,0,27943,Matt Hansen,-.323,-18.751,58
186,0,21646,David Branshaw,-.343,-29.871,87
187,0,01706,Davis Love III,-.347,-19.764,57
188,0,23048,Eric Axley,-.351,-27.727,79
189,0,02101,Joey Sindelar,-.355,-26.997,76
190,0,25936,Alex Aragon,-.396,-21.365,54
191,0,22892,Jason Gore,-.398,-28.633,72
192,0,23307,Roger Tambellini,-.400,-21.174,53
193,0,07013,Wes Short Jr.,-.427,-36.269,85
194,0,02106,Chris Smith,-.431,-25.438,59
195,0,01035,Tommy Armour III,-.453,-24.011,53
196,0,11123,Chris Couch,-.530,-35.477,67
